Msex2.02682,jdp
Msex2.07389,mus81
Msex2.08455,CG34312
Msex2.07382,Smyd5
Msex2.07383,SMC3
Msex2.07384,Pld3
Msex2.07385,thoc7
Msex2.12976,NKCC
Msex2.07036,CG11858
Msex2.07037,kto
Msex2.07034,CG7785
Msex2.07035,CG4115
Msex2.07038,mtDNA-helicase
Msex2.02608,Itgbn
Msex2.02609,CG9265
Msex2.02602,Tak1
Msex2.02603,Pgant5
Msex2.02606,NoSymbolFound
Msex2.02604,RpL37A
Msex2.13449,knk
Msex2.13446,Ugalt
Msex2.13447,eas
Msex2.13445,mRpL22
Msex2.13443,CG9951
Msex2.13337,CG7742
Msex2.12319,CG3008
Msex2.12318,CG8134
Msex2.12315,Hsp60A
Msex2.01452,yem
Msex2.12317,p115
Msex2.12313,jet
Msex2.04608,Cog1
Msex2.01450,CG30015
Msex2.04604,Nep3
Msex2.04606,CRMP
Msex2.04601,Cirl
Msex2.04602,myo
Msex2.04603,HisCl1
Msex2.14875,RpS28b
Msex2.02468,CG8187
Msex2.02469,CG13607
Msex2.02466,EMC1
Msex2.02467,CG16908
Msex2.02464,CG42613
Msex2.02465,Syp
Msex2.02462,CG5377
Msex2.02463,CCT1
Msex2.02460,wts
Msex2.10420,dre4
Msex2.11500,dl
Msex2.11506,CG8774
Msex2.09863,Cfp1
Msex2.09862,Wdr92
Msex2.09861,Pli
Msex2.09860,lute
Msex2.09867,CG14607
Msex2.14258,CG1647
Msex2.00121,gprs
Msex2.05957,bcn92
Msex2.05956,CG30036
Msex2.05954,ergic53
Msex2.00129,geminin
Msex2.00128,CG9784
Msex2.05958,CG14132
Msex2.08356,beat-IIIc
Msex2.08354,resilin
Msex2.03739,CG5022
Msex2.08351,CG32483
Msex2.03735,Klp31E
Msex2.03734,CG9346
Msex2.03736,lft
Msex2.03731,Rab6
Msex2.03733,krz
Msex2.03732,CG8237
Msex2.09404,CG31760
Msex2.09409,Pde11
Msex2.00386,Sod1
Msex2.00381,CG14880
Msex2.11759,CG33099
Msex2.11206,mid
Msex2.11755,Cbp80
Msex2.11204,tilB
Msex2.11757,CG8311
Msex2.11750,Syt4
Msex2.11751,Tm2
Msex2.11752,Tm1
Msex2.11753,MRG15
Msex2.12811,CG4269
Msex2.06970,CG9281
Msex2.06607,flfl
Msex2.06972,tll
Msex2.06973,CG8519
Msex2.06974,CG12121
Msex2.06975,CG1309
Msex2.06976,Coq8
Msex2.06977,nwk
Msex2.06978,rno
Msex2.06979,RhoGAP68F
Msex2.13963,NoSymbolFound
Msex2.06608,CG14367
Msex2.06609,PIG-H
Msex2.07555,Snx27
Msex2.07554,CG33080
Msex2.07556,ClpX
Msex2.05776,Ir64a
Msex2.05775,RpS9
Msex2.05774,CG5645
Msex2.05772,Cpsf73
Msex2.05771,mrn
Msex2.05770,Krn
Msex2.05778,CG1636
Msex2.01388,sl
Msex2.01389,PAN3
Msex2.01382,Egfr
Msex2.01383,Prm
Msex2.01380,syd
Msex2.01381,wus
Msex2.01386,CG43780
Msex2.01387,babo
Msex2.01385,Fhos
Msex2.10403,Taf2
Msex2.01475,Jafrac1
Msex2.10401,Ntf-2
Msex2.01477,NoSymbolFound
Msex2.10159,CG14516
Msex2.01471,CG14142
Msex2.10404,cn
Msex2.10156,CG31198
Msex2.08921,Stt3A
Msex2.08923,subdued
Msex2.08925,mAChR-C
Msex2.08927,CG5274
Msex2.08926,CG9107
Msex2.08929,NoSymbolFound
Msex2.08928,Clp
Msex2.02511,Dhc64C
Msex2.07731,NT5E-2
Msex2.07730,Smyd4-4
Msex2.07735,insb
Msex2.12128,ppan
Msex2.12129,EloB
Msex2.12123,CG31224
Msex2.12121,Ppcs
Msex2.12126,CG5412
Msex2.12127,NoSymbolFound
Msex2.12124,EMC2B
Msex2.12125,CG1074
Msex2.09486,Hsc70Cb
Msex2.03913,Rrp42
Msex2.03660,FoxP
Msex2.14407,CG8372
Msex2.14405,abs
Msex2.14404,NoSymbolFound
Msex2.03917,T3dh
Msex2.08724,CG30157
Msex2.08723,Dhc98D
Msex2.08722,CG5756
Msex2.08721,CG17681
Msex2.04411,CG14231
Msex2.04410,CG13220
Msex2.04412,dib
Msex2.04414,CG1136
Msex2.04416,l(3)mbn
Msex2.07625,CG11710
Msex2.10368,Snx16
Msex2.04814,CG8209
Msex2.10362,eIF4A
Msex2.10363,chic
Msex2.10360,Schip1
Msex2.10361,CG12129
Msex2.09498,mRpL13
Msex2.10364,CycG
Msex2.09499,CG10602
Msex2.11251,CG34462
Msex2.11188,Mlh1
Msex2.10099,CG14085
Msex2.09099,Surf1
Msex2.09097,AcCoAS
Msex2.09094,Ir52c
Msex2.09095,S1P
Msex2.09093,CG6567
Msex2.09090,Gycbeta100B
Msex2.09091,stops
Msex2.00248,CG3662
Msex2.00249,Kap-alpha3
Msex2.05549,CG11095
Msex2.05544,CG5110
Msex2.00241,tapas
Msex2.00242,CG8108
Msex2.05547,Clic
Msex2.00244,Nmt
Msex2.00245,pAbp
Msex2.00246,RpL13
Msex2.05543,CG31674
Msex2.06013,Fer1
Msex2.06011,nes
Msex2.06010,Uch-L5
Msex2.01049,crc
Msex2.06016,CG3777
Msex2.06015,Atg9
Msex2.01045,Fife
Msex2.01047,TfIIA-L
Msex2.06018,CG9782
Msex2.01040,CG33051
Msex2.01043,Oseg2
Msex2.01042,RpL14
Msex2.09670,CG8997
Msex2.09676,nclb
Msex2.09677,Got1
Msex2.10893,Cyp12a4
Msex2.09679,CG9034
Msex2.10898,Rgk3
Msex2.07946,Atg14
Msex2.05496,CG1354
Msex2.12946,CG8665
Msex2.12947,ND-B14.5A
Msex2.07942,CG12679
Msex2.12941,Btnd
Msex2.05494,Drice
Msex2.11949,mad2
Msex2.11948,CG33230
Msex2.11419,SrpRalpha
Msex2.05495,BBS9
Msex2.03616,Tao
Msex2.11941,Cow
Msex2.11412,AANATL7
Msex2.11943,CG3634
Msex2.11410,Actbeta
Msex2.11417,Rrp47
Msex2.11416,CG6650
Msex2.11415,mei-217
Msex2.11414,IKKbeta
Msex2.12800,Arpc3A
Msex2.12803,CG14817
Msex2.12802,SppL
Msex2.12805,CG42668
Msex2.12804,CG4199
Msex2.10909,CG11367
Msex2.10498,Trim9
Msex2.10499,beat-IV
Msex2.02121,CG3107
Msex2.07054,CG10869
Msex2.07056,Zir
Msex2.07057,Dyrk2
Msex2.07050,CG13807
Msex2.06419,CG6195
Msex2.07053,CG3732
Msex2.07058,CG43333
Msex2.02668,CG4341
Msex2.12382,baf
Msex2.02665,ry
Msex2.02666,NoSymbolFound
Msex2.02667,CG13243
Msex2.02660,CG3222
Msex2.02661,bchs
Msex2.02662,numb
Msex2.02663,l(3)87Df
Msex2.13313,MFS3
Msex2.13310,pcs
Msex2.13316,EloC
Msex2.13317,Fak
Msex2.12372,oys
Msex2.12370,SCCRO3
Msex2.04624,Fkbp39
Msex2.04625,CG18508
Msex2.04622,fd102C
Msex2.04623,RpS17
Msex2.04621,FucTC
Msex2.02482,temp
Msex2.02483,Pdh
Msex2.02484,vap
Msex2.02485,EndoA
Msex2.02486,Rbcn-3A
Msex2.02487,IleRS
Msex2.02488,Vlet
Msex2.02489,ari-1
Msex2.06890,CG14812
Msex2.03533,CG5280
Msex2.03530,Gycalpha99B
Msex2.03537,CG2519
Msex2.03536,unk
Msex2.03285,CG1575
Msex2.03284,ReepA
Msex2.03539,CG3184
Msex2.03538,CDK2AP1
Msex2.03280,Kaz1-ORFB
Msex2.09843,Osi24
Msex2.09842,Osi2
Msex2.04083,rols
Msex2.04080,CG3902
Msex2.04081,CG1416
Msex2.04087,5-HT2B
Msex2.04088,CG16995
Msex2.14235,Rh50
Msex2.14237,Atg17
Msex2.12362,Zip71B
Msex2.05973,CG5493
Msex2.05972,mdlc
Msex2.12363,CG33170
Msex2.05979,CG4744
Msex2.03757,exp
Msex2.03754,Khc-73
Msex2.03753,PI31
Msex2.03751,PRL-1
Msex2.03750,phr
Msex2.00290,mop
Msex2.11642,sicily
Msex2.11640,alpha-Cat
Msex2.05286,wdb
Msex2.05285,PDZ-GEF
Msex2.05284,Dph5
Msex2.05283,sav
Msex2.05281,CG13365
Msex2.05280,mRpL9
Msex2.05289,Cbs
Msex2.05288,PQBP1
Msex2.13959,Rpb8
Msex2.06958,NoSymbolFound
Msex2.06959,dnr1
Msex2.06952,CG45002
Msex2.06953,COX4
Msex2.01671,Swip-1
Msex2.01676,GXIVsPLA2
Msex2.01677,Spt
Msex2.01674,CG3226
Msex2.01675,RpL13A
Msex2.04888,CG18335
Msex2.04889,Kyat
Msex2.09468,DNApol-epsilon255
Msex2.04882,fzr
Msex2.09466,CG1523
Msex2.09465,CG7834
Msex2.09464,Sf3b2
Msex2.09462,CG7483
Msex2.09461,H
Msex2.09460,MTA1-like
Msex2.00509,Hers
Msex2.00508,Ykt6
Msex2.05751,bru1
Msex2.00502,CG14194
Msex2.05021,nmo
Msex2.05020,CG5087
Msex2.00507,Taf8
Msex2.00506,CG3021
Msex2.05757,CG14204
Msex2.00504,drosha
Msex2.06489,CG31460
Msex2.06485,CG34351
Msex2.06487,Rip11
Msex2.06480,DIP-alpha
Msex2.01453,kek6
Msex2.06482,IntS6
Msex2.06483,Snup
Msex2.10425,CG7888
Msex2.10424,Vps13B
Msex2.10135,CG10413
Msex2.10134,SNRPG
Msex2.10421,NoSymbolFound
Msex2.10132,Mitf
Msex2.10423,angel
Msex2.10422,Sh
Msex2.10429,fray
Msex2.10428,gb
Msex2.09289,Diedel
Msex2.13280,CG43867
Msex2.09287,CG5196
Msex2.09286,Moe
Msex2.06228,TBPH
Msex2.06221,Taf6
Msex2.06222,Nup358
Msex2.06223,CG34027
Msex2.06224,NoSymbolFound
Msex2.06225,NoSymbolFound
Msex2.06226,GCC185
Msex2.06227,NoSymbolFound
Msex2.07289,Eh
Msex2.13760,GNBP3
Msex2.12145,eEF2
Msex2.12146,Cmpk
Msex2.12141,ND-24
Msex2.12143,Cbl
Msex2.14429,fs(1)Ya
Msex2.08513,wech
Msex2.15089,Fit2
Msex2.13865,CG9839
Msex2.02407,CG32085
Msex2.05221,CG8562
Msex2.05223,CG8079
Msex2.14933,CG5805
Msex2.02838,Pex16
Msex2.05222,Dg
Msex2.14426,CG31301
Msex2.02343,CG7841
Msex2.00617,CG13855
Msex2.02833,BtbVII
Msex2.02340,nuf
Msex2.02835,Jarid2
Msex2.02834,Drat
Msex2.02837,NoSymbolFound
Msex2.02344,Hexo2
Msex2.08701,Eip74EF
Msex2.08700,Sec22
Msex2.08251,CG2909
Msex2.08705,CG13692
Msex2.08256,CG3626
Msex2.08707,MKP-4
Msex2.08708,CG32645
Msex2.08259,CG10508
Msex2.08258,CG16984
Msex2.05885,ATPsynB
Msex2.05887,UGP
Msex2.04161,CG18048
Msex2.04160,ArfGAP3
Msex2.04163,Mip
Msex2.04162,sud1
Msex2.04165,Hcf
Msex2.04164,CG5157
Msex2.04169,Traf-like
Msex2.04168,CG5111
Msex2.14683,Amnionless
Msex2.10999,CG11319
Msex2.10998,CG12702
Msex2.10308,CG5009
Msex2.10305,CG6550
Msex2.10301,CG10077
Msex2.10302,ATPsynD
Msex2.10303,Tre1
Msex2.03837,Amt
Msex2.03522,CG5504
Msex2.05401,CG31935
Msex2.03835,G6P
Msex2.00086,Rpn6
Msex2.03524,RpL28
Msex2.00082,p
Msex2.03297,NoSymbolFound
Msex2.05402,smog
Msex2.09854,alpha-Man-IIa
Msex2.03527,l(1)G0020
Msex2.02831,Blos2
Msex2.09073,Nckx30C
Msex2.05407,CG31019
Msex2.09076,CG4972
Msex2.02830,Glut1
Msex2.09078,Tg
Msex2.02341,CG12355
Msex2.09225,Fmr1
Msex2.02832,l(1)G0289
Msex2.09224,CG33635
Msex2.00262,Fis1
Msex2.05567,Mp20
Msex2.05564,Cad86C
Msex2.00261,ab
Msex2.02345,CG11294
Msex2.00264,tweek
Msex2.00265,CG17687
Msex2.00268,CG17883
Msex2.00269,CG8192
Msex2.12883,Gasz
Msex2.05568,Ask1
Msex2.09220,CG16965
Msex2.01027,Ilp6
Msex2.08253,CG9095
Msex2.01025,CG7966
Msex2.01024,CG31248
Msex2.06031,CG31688
Msex2.09223,CG12338
Msex2.06033,Arpc2
Msex2.01020,st
Msex2.06039,heix
Msex2.06038,CG9934
Msex2.01028,CG2681
Msex2.09610,NPF
Msex2.12968,CG1142
Msex2.12969,CG3603
Msex2.12965,CG10866
Msex2.09618,en
Msex2.09619,or
Msex2.10049,rasp
Msex2.11431,CG7379
Msex2.11430,RASSF8
Msex2.11432,CG16791
Msex2.10166,Det
Msex2.08888,Neto
Msex2.08886,CG14230
Msex2.08885,mRpS9
Msex2.08882,CG30344
Msex2.08883,Eb1
Msex2.08881,bel
Msex2.13151,CG32176
Msex2.13156,Klp54D
Msex2.13157,Phf5a
Msex2.13158,CG9253
Msex2.13159,Not3
Msex2.12686,Su(fu)
Msex2.12685,opm
Msex2.12682,CG3061
Msex2.07072,ush
Msex2.07070,MED15
Msex2.11827,Zip99C
Msex2.02130,CG4681
Msex2.02131,CG9005
Msex2.02644,CG15365
Msex2.02645,Ir25a
Msex2.02642,NoSymbolFound
Msex2.02135,CG13675
Msex2.02136,CG14968
Msex2.02641,CG10214
Msex2.02139,conv
Msex2.02648,Pka-C1
Msex2.11823,Oga
Msex2.13371,Gos28
Msex2.13373,c11.1
Msex2.13379,CG17544
Msex2.06575,Pfdn1
Msex2.09958,Alh
Msex2.06576,wcy
Msex2.09957,Snmp2
Msex2.09955,GlcAT-S
Msex2.00869,Rrp46
Msex2.09953,Ubc4
Msex2.00862,Rpt5
Msex2.01253,RpL23A
Msex2.00864,PTPMT1
Msex2.00866,hth
Msex2.09952,Ddr
Msex2.09950,Rrp6
Msex2.01258,Eip75B
Msex2.02348,Ppt1
Msex2.01259,CG8939
Msex2.04445,CG33290
Msex2.09827,CG5882
Msex2.09826,CtBP
Msex2.12428,EMC7
Msex2.09823,ATPCL
Msex2.03513,CG13698
Msex2.12423,CG3511
Msex2.12422,Jra
Msex2.12421,ITP
Msex2.12420,CG3589
Msex2.12427,NoSymbolFound
Msex2.12354,sage
Msex2.09829,Scgalpha
Msex2.09828,e
Msex2.14210,bdl
Msex2.05918,CG10137
Msex2.05916,CG30371
Msex2.05915,Cep89
Msex2.05910,Dys
Msex2.03779,CG1407
Msex2.03778,Msh6
Msex2.03770,CG5618
Msex2.03773,DhpD
Msex2.03775,CG7878
Msex2.03774,RhoGAP71E
Msex2.03777,CG1129
Msex2.03776,Scsalpha1
Msex2.09981,His2A:CG31618
Msex2.00699,mRpL2
Msex2.00698,CG10075
Msex2.00693,CG9231
Msex2.00692,Kap-alpha1
Msex2.00690,2mit
Msex2.00697,Nmd3
Msex2.00695,RpL24
Msex2.00694,Ccdc58
Msex2.08068,CG8135
Msex2.08069,CG8858
Msex2.08060,Gprk2
Msex2.08061,MetRS-m
Msex2.08062,Nmnat
Msex2.08063,beta4GalT7
Msex2.08064,ems
Msex2.13973,Jupiter
Msex2.13971,CG5913
Msex2.13976,CG6762
Msex2.06939,rha
Msex2.13974,GlyRS
Msex2.13975,exd
Msex2.01614,CG4572
Msex2.01615,Hel25E
Msex2.01617,CG11679
Msex2.01610,CG15027
Msex2.01611,CG32104
Msex2.01612,Cdc45
Msex2.09441,CG16865
Msex2.04209,ome
Msex2.09443,UbcE2H
Msex2.09442,Tom40
Msex2.09444,Crk
Msex2.09447,Hr78
Msex2.04200,Pi3K68D
Msex2.09448,CG13097
Msex2.04203,CG6903
Msex2.04205,CG4041
Msex2.04206,CG4294
Msex2.04207,Sytbeta
Msex2.00529,mbt
Msex2.05008,DNApol-alpha50
Msex2.00525,CG32687
Msex2.00524,sgg
Msex2.00527,CG17187
Msex2.05006,milt
Msex2.00521,Mf
Msex2.00523,Vps39
Msex2.05002,CG8112
Msex2.10119,mim
Msex2.10449,RpL32
Msex2.10448,Ssdp
Msex2.10111,CG5281
Msex2.10446,Egm
Msex2.10443,cv-d
Msex2.10114,CG3632
Msex2.07513,CG30069
Msex2.07512,CG7656
Msex2.07515,Crtc
Msex2.07516,CG1271
Msex2.07519,GatB
Msex2.06203,Grip91
Msex2.06200,Esyt2
Msex2.06201,Cbp20
Msex2.06206,ebi
Msex2.06205,CG2006
Msex2.06208,faf
Msex2.06209,CG18003
Msex2.00081,Sox102F
Msex2.00988,Syn2
Msex2.00987,Corin
Msex2.00984,shop
Msex2.00983,CG5321
Msex2.00982,Rev7
Msex2.00981,TppII
Msex2.12164,CG1307
Msex2.12165,p53
Msex2.03186,Psc
Msex2.03184,CG6055
Msex2.03185,Cdc6
Msex2.03180,CG3294
Msex2.03188,Tpr2
Msex2.09071,CG6867
Msex2.05296,Afti
Msex2.02589,CG6841
Msex2.02588,CG15412
Msex2.02581,CG6227
Msex2.02580,E(spl)mbeta-HLH
Msex2.02583,CG12301
Msex2.02582,LSm3
Msex2.02585,Regnase-1
Msex2.02587,insv
Msex2.02883,CG14838
Msex2.03986,Gnmt
Msex2.03987,CG9776
Msex2.03984,Exo70
Msex2.03985,Sec61gamma
Msex2.07803,ValRS
Msex2.05298,Npc2b
Msex2.07800,Cht6
Msex2.02369,NoSymbolFound
Msex2.02368,p130CAS
Msex2.02365,CG6674
Msex2.02364,axed
Msex2.02367,CG32813
Msex2.02366,vnc
Msex2.02361,CIAPIN1
Msex2.02360,CG10089
Msex2.02362,Atx-1
Msex2.08271,Hat1
Msex2.08270,Kcmf1
Msex2.08273,Cpr92A
Msex2.08272,msl-3
Msex2.06283,Ts
Msex2.13965,TBC1D23
Msex2.13967,Sec16
Msex2.13966,beat-VII
Msex2.06922,CG12730
Msex2.10326,Ent3
Msex2.10324,UQCR-C2
Msex2.10325,elg1
Msex2.10322,CG11370
Msex2.10323,CG12975
Msex2.10328,CG16758
Msex2.10329,CG8768
Msex2.05566,CG14457
Msex2.00263,Atg3
Msex2.00063,Capa
Msex2.07150,Taf5
Msex2.00068,tsl
Msex2.07621,Rme-8
Msex2.00267,CG18858
Msex2.07620,SerRS
Msex2.09055,Ufd4
Msex2.09585,CG14186
Msex2.09586,Ets98B
Msex2.09581,CG12344
Msex2.07624,ND-15
Msex2.14006,EMC8-9
Msex2.14005,CG10802
Msex2.14004,CG11241
Msex2.09477,CG44153
Msex2.09471,Sec13
Msex2.00204,CG13318
Msex2.00206,NoSymbolFound
Msex2.00207,bgm
Msex2.00200,Hsf
Msex2.09472,CG30159
Msex2.11635,CG30105
Msex2.08188,RagA-B
Msex2.08187,HBS1
Msex2.08186,dally
Msex2.11187,Mcm6
Msex2.08184,Dnah3
Msex2.08183,FoxK
Msex2.11183,CG12909
Msex2.11182,5-HT7
Msex2.10582,CG32344
Msex2.05038,cl
Msex2.10580,DCTN6-p27
Msex2.10581,fwd
Msex2.10586,Cad96Ca
Msex2.10584,CAH3
Msex2.09639,CG16998
Msex2.09636,CG31643
Msex2.09637,kcc
Msex2.09634,Oat
Msex2.10589,dpr9
Msex2.09632,CG3402
Msex2.09633,CG43346
Msex2.09630,Topors
Msex2.09631,ND-13B
Msex2.12980,Oli
Msex2.12981,Axud1
Msex2.06036,CG8360
Msex2.12984,IKKepsilon
Msex2.12985,cactin
Msex2.12986,ND-30
Msex2.06030,CG5080
Msex2.14366,cype
Msex2.03136,RpL35
Msex2.06032,CG15130
Msex2.11987,Npl4
Msex2.11451,Sclp
Msex2.05747,Myb
Msex2.11988,Atg18a
Msex2.02501,MBD-like
Msex2.05033,cta
Msex2.02500,ATP8B
Msex2.05742,CG13442
Msex2.03130,Pfas
Msex2.02503,Ubqn
Msex2.05035,CG14414
Msex2.14818,CG6583
Msex2.02502,PIG-V
Msex2.00516,CG32815
Msex2.02957,arx
Msex2.02057,DIP2
Msex2.02954,CG3652
Msex2.07877,NoSymbolFound
Msex2.02953,lmgA
Msex2.01009,Tsp39D
Msex2.01008,Ubc2
Msex2.02950,Rsph1
Msex2.06059,Art4
Msex2.06058,CG11396
Msex2.01001,Arfrp1
Msex2.06056,CG6472
Msex2.06055,CG8910
Msex2.06054,ND-SGDH
Msex2.06053,CG5937
Msex2.06052,Reck
Msex2.01007,CG7747
Msex2.06050,ND-75
Msex2.07891,DIP-beta
Msex2.07892,lobo
Msex2.07893,Bili
Msex2.07894,CG13663
Msex2.07895,CG13654
Msex2.07896,AdSS
Msex2.07897,Sgf11
Msex2.08862,cpx
Msex2.08864,CG14309
Msex2.08865,Hr96
Msex2.08866,dtr
Msex2.08867,TBC1d7
Msex2.08869,lqfR
Msex2.07091,Cpr66D
Msex2.07092,CG17672
Msex2.07093,MTF-1
Msex2.07094,CG4101
Msex2.07095,tap
Msex2.07097,CG2082
Msex2.07099,vimar
Msex2.02113,fra
Msex2.02110,Dip-B
Msex2.02111,RYa
Msex2.02116,Gad1
Msex2.02117,CG14989
Msex2.02114,MED16
Msex2.13357,unc-5
Msex2.13354,Pi3K21B
Msex2.13352,rdgB
Msex2.13353,CG9304
Msex2.00842,Calx
Msex2.00841,Gcn2
Msex2.00846,PNPase
Msex2.00847,CG3308
Msex2.00845,Rpp21
Msex2.00848,CG7236
Msex2.00849,CG2617
Msex2.14580,CG4619
Msex2.09808,CG3500
Msex2.09800,DZIP1
Msex2.03575,CG13671
Msex2.03574,nudE
Msex2.03573,PIG-Q
Msex2.03572,yellow-d2
Msex2.03571,yellow-e
Msex2.03570,yellow-g2
Msex2.12404,CG17715
Msex2.12406,Vps13D
Msex2.12400,CG7484
Msex2.12403,CG14764
Msex2.12402,CG40191
Msex2.14768,mRpL30
Msex2.05932,IFT52
Msex2.05243,Hnf4
Msex2.05242,cv
Msex2.05241,Amyrel
Msex2.05240,CG10361
Msex2.05247,Zip42C.1
Msex2.05246,Snap25
Msex2.05249,CG13599
Msex2.05248,CG3038
Msex2.08510,Aos1
Msex2.08043,CG12395
Msex2.08040,Hmx
Msex2.08041,srl
Msex2.08046,Nop56
Msex2.08047,RpI135
Msex2.08044,CG7675
Msex2.08045,dgt6
Msex2.08518,CG7945
Msex2.08519,CG7600
Msex2.01636,qtc
Msex2.01637,smo
Msex2.01634,Grx1t
Msex2.06910,CG6024
Msex2.01631,CG5267
Msex2.13919,AttC
Msex2.06918,Cog4
Msex2.04227,CG5367
Msex2.11848,cyc
Msex2.05066,wbl
Msex2.00545,CG4884
Msex2.05064,Lztr1
Msex2.00543,Prp18
Msex2.05062,NoSymbolFound
Msex2.05061,Ufd1-like
Msex2.05060,Chc
Msex2.11841,shtd
Msex2.11842,bbx
Msex2.11843,NijA
Msex2.05798,CG7956
Msex2.00549,CG13324
Msex2.01498,Achl
Msex2.01499,CG17333
Msex2.01493,CG17834
Msex2.01497,homer
Msex2.10465,Acn
Msex2.10464,CG11034
Msex2.10467,312
Msex2.10466,CycY
Msex2.10468,CG18635
Msex2.10244,CG2875
Msex2.11870,Spn100A
Msex2.11951,CG8176
Msex2.11636,CG2017
Msex2.06261,fne
Msex2.06262,CG13458
Msex2.06268,tup
Msex2.07799,Rtc1
Msex2.07798,Rrp40
Msex2.07797,ksr
Msex2.07796,CG15312
Msex2.07794,Pfrx
Msex2.07793,chif
Msex2.07791,CG8841
Msex2.07790,CG10713
Msex2.13727,CG42846
Msex2.13722,Zpr1
Msex2.13729,COX8
Msex2.05311,Sap130
Msex2.05310,mRpS23
Msex2.00141,sgll
Msex2.12494,dsh
Msex2.05312,inc
Msex2.07139,kat80
Msex2.07138,CG30010
Msex2.07133,Eogt
Msex2.07132,esg
Msex2.07131,Ccm3
Msex2.07130,Arpc5
Msex2.07137,NoSymbolFound
Msex2.07136,Bgb
Msex2.07135,CG1434
Msex2.07134,Dp
Msex2.02563,dgt1
Msex2.02562,CycT
Msex2.02560,ced-6
Msex2.02567,BoYb
Msex2.02566,CG8230
Msex2.02565,vlc
Msex2.02564,E(Pc)
Msex2.03965,Toll-6
Msex2.14977,Dpck
Msex2.14970,CG11444
Msex2.02304,mthl12
Msex2.02303,CG13344
Msex2.02301,CG13168
Msex2.02300,Obp59a
Msex2.02308,CG45263
Msex2.14399,mei-P26
Msex2.14396,fab1
Msex2.05034,Tif-IA
Msex2.00044,CARPA
Msex2.00208,Patj
Msex2.08212,nan
Msex2.08210,polo
Msex2.09035,Xpd
Msex2.09036,Octbeta2R
Msex2.09037,Octbeta3R
Msex2.09030,CG43736
Msex2.09033,CG8132
Msex2.14024,Hexim
Msex2.14022,HSPBAP1
Msex2.00228,Rca1
Msex2.00229,CG6254
Msex2.00227,CG3376
Msex2.00225,Ars2
Msex2.00222,TRAM
Msex2.00223,hui
Msex2.00220,ari-2
Msex2.00221,Pfk
Msex2.11615,CG8195
Msex2.11614,Oamb
Msex2.11617,Fmo-1
Msex2.11616,wge
Msex2.11610,CG6665
Msex2.11479,cdc14
Msex2.11268,CG4074
Msex2.11269,Klp68D
Msex2.00365,gas
Msex2.11477,Dpit47
Msex2.01799,CG33181
Msex2.10394,CG18766
Msex2.01791,CG15111
Msex2.01790,oc
Msex2.00490,fend
Msex2.10643,CG42594
Msex2.10390,CG2260
Msex2.05479,Ctf4
Msex2.04052,RpS13
Msex2.12689,CG9588
Msex2.05470,NoSymbolFound
Msex2.05473,CG4306
Msex2.05476,imd
Msex2.11799,CG3744
Msex2.11265,Tmem131
Msex2.06071,CG9067
Msex2.06072,RpS20
Msex2.01579,Prestin
Msex2.06077,borr
Msex2.06076,sax
Msex2.06079,CG4743
Msex2.06078,CG11449
Msex2.01577,CG10973
Msex2.01576,CG11504
Msex2.01570,Mdh2
Msex2.10874,CG10960
Msex2.01572,Smr
Msex2.01364,Nulp1
Msex2.07302,ninaG
Msex2.07306,CG2150
Msex2.01365,Qsox1
Msex2.07308,CG10435
Msex2.07309,Gld2
Msex2.06406,Cpr97Eb
Msex2.08849,Rab3-GEF
Msex2.06400,Pvf3
Msex2.08840,NoSymbolFound
Msex2.08844,eIF2Bepsilon
Msex2.08845,APC10
Msex2.13119,Nup98-96
Msex2.13115,Bruce
Msex2.13116,sas
Msex2.13110,CG41284
Msex2.13111,eIF3a
Msex2.10531,Osi4
Msex2.10700,CG32486
Msex2.10701,CG12134
Msex2.10704,RanBPM
Msex2.02132,CG12017
Msex2.02134,CG13676
Msex2.00824,vtd
Msex2.00825,ATPsynC
Msex2.00826,CG12054
Msex2.00827,NoSymbolFound
Msex2.00820,eIF4B
Msex2.00823,RpL15
Msex2.12644,CG3556
Msex2.02790,kek2
Msex2.14569,Osi12
Msex2.02792,Psf1
Msex2.02793,cact
Msex2.03551,CG5500
Msex2.03550,Gyc32E
Msex2.03220,CG14312
Msex2.03555,mwh
Msex2.03556,Cht7
Msex2.03559,CG13806
Msex2.03558,Ggamma30A
Msex2.12395,Dronc
Msex2.10021,PIG-P
Msex2.12393,Unr
Msex2.12468,CG11180
Msex2.03417,Taf7
Msex2.10539,Osi11
Msex2.06597,tst
Msex2.11859,CG31195
Msex2.11287,Gba1b
Msex2.11284,org-1
Msex2.11285,AsnRS
Msex2.11288,stai
Msex2.11289,Ocrl
Msex2.04792,CG31100
Msex2.04790,scu
Msex2.04791,yps
Msex2.04025,prom
Msex2.04794,eIF4G1
Msex2.04027,CG8543
Msex2.05264,CG2126
Msex2.05261,Ada2b
Msex2.05260,Wdr37
Msex2.05262,CG6800
Msex2.08532,CG4896
Msex2.08533,CG3776
Msex2.08530,blw
Msex2.05268,Max
Msex2.08534,Mat1
Msex2.02951,Dpy-30L2
Msex2.08026,CG4830
Msex2.08020,CG6123
Msex2.08021,CG3955
Msex2.13938,Best1
Msex2.13937,RpL39
Msex2.13935,l(1)G0320
Msex2.04244,ChAT
Msex2.04245,NoSymbolFound
Msex2.04247,ChT
Msex2.04243,Mekk1
Msex2.04248,CG10841
Msex2.04249,sqd
Msex2.11863,GstD1
Msex2.11860,mRpL1
