GeneName	Orthologs	GeneSymbolOrthologs	Dmel_paralogs	GeneSymbolDmel_paralogs	ParalogsThatHaveOrthologs	GeneSymbolParalogs
AGAP006890	FBgn0013750	Arf51F	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006891	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006892	FBgn0033108	CG15236	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP029136	geneIDnotMapped	-	-	-	-	-
AGAP029142	geneIDnotMapped	-	-	-	-	-
AGAP029137	geneIDnotMapped	-	-	-	-	-
AGAP029158	geneIDnotMapped	-	-	-	-	-
AGAP006893	FBgn0053993	CG33993	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006894	FBgn0019662	qm	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006895	FBgn0015298	Srp19	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006896	FBgn0035768	CG14834	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006897	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006898	FBgn0035398	Cht7	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006899	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP029170	geneIDnotMapped	-	-	-	-	-
AGAP029171	geneIDnotMapped	-	-	-	-	-
AGAP006900	FBgn0052369	CG32369	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006901	FBgn0265991	Zasp52	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006902	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006903	FBgn0035050	SiaT	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006904	FBgn0035049	Mmp1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006905	FBgn0085280	CG34251	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006906	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006907	FBgn0036752	Adgf-A	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006908	FBgn0052183	Ccn	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006909	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006910	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006911	FBgn0028990	Spn27A	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006913	FBgn0035941	CG13313	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006914	FBgn0051832	CG31832	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006915	FBgn0035372	CG12093	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006916	FBgn0034579	mRpL54	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006917	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006918	FBgn0035046	ND-19	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006920	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006921	FBgn0029092	ced-6	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006923	FBgn0015561	unpg	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006924	FBgn0086446	DCTN6-p27	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006925	FBgn0034025	Pgant1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006926	FBgn0011693	Pdh	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006927	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006928	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006929	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006930	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006931	FBgn0036619	Cpr72Ec	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006932	FBgn0002466	sti	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006933	FBgn0035285	CG12025	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006934	FBgn0035286	CG13924	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006935	FBgn0041775	tral	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006936	FBgn0035600	Cyt-c1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006937	FBgn0035601	Uev1A	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006938	FBgn0034817	Art7	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006939	FBgn0041164	armi	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP013107	FBgn0263112	Mitf	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006940	FBgn0029914	CG4558	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006941	FBgn0004556	Dbp73D	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006942	FBgn0042177	Arts	['FBgn0042177', 'FBgn0042178']	['Arts', 'Apl']	NoNeedOfParalogs	NULL
AGAP006943	FBgn0036662	CG9706	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006944	FBgn0025582	eIF3e	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006945	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006946	FBgn0035603	Pfdn4	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006947	FBgn0036710	CG6479	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006948	FBgn0266417	ringer	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006949	FBgn0036702	CG6512	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006950	FBgn0035109	CG13876	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006951	FBgn0030435	CG4645	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006952	FBgn0036615	NoSymbolFound	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006953	FBgn0260460	NoSymbolFound	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006954	FBgn0036612	CG4998	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006955	FBgn0033793	CG3955	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006956	FBgn0034972	CG10339	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006958	FBgn0001233	Hsp83	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006959	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006960	FBgn0046685	Wsck	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006961	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006962	FBgn0026061	Mipp1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006963	FBgn0027786	Mtch	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006964	FBgn0047178	CG32147	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006965	FBgn0260655	l(3)76BDm	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006966	FBgn0036927	Gabat	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006967	FBgn0052521	CG32521	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006968	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006969	FBgn0034032	CG8195	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006970	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006971	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006972	NoDirectOrtholog	NULL	-	-	HasParalogButNoChanceOfOrthologOfParalogs	NULL
AGAP006973	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP006974	FBgn0036978	Toll-9	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006975	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006976	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006977	FBgn0038009	CG17738	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006978	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006979	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006980	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006981	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006982	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006983	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006984	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006985	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006986	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006987	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP006988	FBgn0020391	Nrk	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006989	FBgn0003545	sub	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006990	FBgn0042085	Bap170	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006991	FBgn0040609	CG3348	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006992	FBgn0036741	anchor	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006993	FBgn0028487	f-cup	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006994	FBgn0035207	Herc4	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006995	FBgn0052484	Sk2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006996	FBgn0024556	mEFTu1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006997	FBgn0028962	AlaRS-m	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006998	FBgn0020616	SA	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP006999	FBgn0036860	CG14086	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007000	FBgn0035592	CG10674	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007001	FBgn0035593	CG4603	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007002	FBgn0010421	TfIIFbeta	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007003	FBgn0036908	TORIP	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007004	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007005	FBgn0050089	CG30089	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007006	FBgn0028371	jbug	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007007	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007008	FBgn0259145	CG42260	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007010	FBgn0035227	Iml1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007012	FBgn0085442	NKAIN	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007013	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007014	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007015	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007016	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007017	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007018	FBgn0033748	vis	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007019	FBgn0036571	Strump	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007020	FBgn0031479	Prx6005	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007021	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007022	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007023	FBgn0011204	cue	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007024	FBgn0031145	Ntf-2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007025	FBgn0050001	CG30001	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007026	FBgn0010531	Ccs	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007027	FBgn0033785	Sans	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007028	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007029	FBgn0040259	Ugt302C1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028734	geneIDnotMapped	-	-	-	-	-
AGAP028733	geneIDnotMapped	-	-	-	-	-
AGAP028735	geneIDnotMapped	-	-	-	-	-
AGAP028463	geneIDnotMapped	-	-	-	-	-
AGAP007031	FBgn0003326	sca	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007032	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007033	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007034	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007035	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007036	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007037	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007038	FBgn0040765	luna	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007039	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007040	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007041	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007042	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007043	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007044	FBgn0034636	twz	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007045	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007046	FBgn0005564	Shal	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007048	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007049	FBgn0034638	CG10433	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007050	FBgn0028473	Non1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007051	FBgn0020521	pio	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007052	FBgn0069913	CG4681	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007053	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007054	FBgn0036816	Indy	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007055	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007056	FBgn0053527	SIFa	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007057	FBgn0035028	Start1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007058	FBgn0000157	Dll	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007059	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007060	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007061	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007062	FBgn0028738	ETH	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007063	FBgn0023181	Orc4	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007064	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007065	FBgn0050011	gem	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007066	FBgn0034360	CG10927	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007068	FBgn0038772	mdlc	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007069	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007070	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007071	FBgn0038366	CG4576	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007072	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007073	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007074	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007075	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007076	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007077	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007078	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007079	FBgn0033110	CG9447	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007080	FBgn0045063	fdl	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007081	FBgn0050044	s-cup	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007082	FBgn0031021	ND-18	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007083	FBgn0032521	CG7110	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007084	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007085	FBgn0037592	CG11737	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007086	FBgn0085434	NaCP60E	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007087	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007088	FBgn0034753	CG2852	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007089	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007090	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007091	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007092	FBgn0263219	Dscam4	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007093	FBgn0027569	cert	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007094	FBgn0035865	CG7201	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007095	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007096	FBgn0015793	Rab19	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007097	FBgn0024996	eIF2Bbeta	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007098	FBgn0033400	CG2063	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007099	FBgn0003382	sha	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007100	FBgn0016047	nompA	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007101	FBgn0025390	Mur2B	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007102	FBgn0033615	CG7741	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007103	FBgn0039928	Cals	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007104	FBgn0025373	Fpps	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007105	FBgn0036859	CG14085	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007106	FBgn0016756	Usp47	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007107	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007108	FBgn0067864	Patj	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007109	FBgn0035643	CG13287	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007110	FBgn0003984	vn	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007111	FBgn0035639	kri	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007112	FBgn0032138	CG4364	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007113	FBgn0036623	Agpat3	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007114	FBgn0036621	roq	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007115	FBgn0023522	CG11596	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007116	FBgn0037468	CG1943	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007117	FBgn0034963	Not11	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007118	FBgn0016641	PTP-ER	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007119	FBgn0036843	Sfxn2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007120	FBgn0000150	awd	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007121	FBgn0264294	Cyt-b5	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007122	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007123	FBgn0034276	Sardh	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007124	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007125	FBgn0022288	l(2)09851	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007126	FBgn0011660	Pms2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007127	FBgn0028743	Dhit	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007128	FBgn0028744	CG5033	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007129	FBgn0035137	CG1233	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007130	FBgn0261985	Ptpmeg	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007131	FBgn0263351	AP-2mu	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007133	FBgn0259234	NoSymbolFound	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007134	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007135	FBgn0265356	tn	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007136	FBgn0004168	5-HT1A	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007137	FBgn0034720	Liprin-gamma	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007138	FBgn0030805	wus	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007139	FBgn0259101	CG42249	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007140	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007141	FBgn0051269	CG31269	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007142	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007143	FBgn0262517	Ltn1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007144	FBgn0260461	Rcd7	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007145	FBgn0036886	CG9300	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007146	FBgn0036887	CG9231	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007147	FBgn0030711	Rrp47	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007148	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007149	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007150	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007151	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007152	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007153	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007154	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007155	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007156	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007157	FBgn0039300	RpS27	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007158	NoDirectOrtholog	NULL	-	-	HasParalogButNoChanceOfOrthologOfParalogs	NULL
AGAP007159	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP007160	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007161	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007162	FBgn0011296	l(2)efl	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007163	FBgn0266377	Pde8	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007164	FBgn0031001	CG7884	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007165	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007166	FBgn0013548	l(2)dtl	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007167	FBgn0027358	Tim9b	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007168	FBgn0011297	Alg3	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007169	FBgn0034897	Sesn	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007170	FBgn0032493	Mabi	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007171	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007172	FBgn0015218	eIF4E1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007173	FBgn0038928	Fadd	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007174	FBgn0035983	CG4080	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007175	FBgn0010350	Cds	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007176	FBgn0034265	Snx16	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007177	FBgn0035379	spz5	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007178	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007180	FBgn0263392	Tet	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007181	FBgn0266696	Svil	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007182	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007184	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007185	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007186	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007187	NoDirectOrtholog	NULL	-	-	HasParalogButNoChanceOfOrthologOfParalogs	NULL
AGAP007188	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP007189	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP007190	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP007191	NoDirectOrtholog	NULL	-	-	HasParalogButNoChanceOfOrthologOfParalogs	NULL
AGAP007192	NoDirectOrtholog	NULL	-	-	HasParalogButNoOrthologOfParalogs	NULL
AGAP007193	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007194	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007195	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007196	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007197	FBgn0037782	Npc2d	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007198	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007199	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007200	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007201	FBgn0035334	CG8993	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007202	FBgn0035337	CG15877	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007203	FBgn0003391	shg	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007204	FBgn0035333	CG1317	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007205	FBgn0030793	Rai1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007206	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007207	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007208	FBgn0034576	ND-B14.7	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028464	geneIDnotMapped	-	-	-	-	-
AGAP007209	FBgn0029508	Tsp42Ea	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007210	FBgn0020372	TM4SF	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007211	FBgn0034351	rswl	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007212	FBgn0086895	pea	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007213	FBgn0034350	CG5189	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007214	FBgn0034352	CG17669	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007215	FBgn0036298	nst	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007216	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP007217	FBgn0261119	Prp19	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007218	FBgn0004926	eIF2beta	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP007219	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
