AAEL007235,Ucp4A
AAEL011925,mRpS31
AAEL001905,CG15130
AAEL000618,Wnt6
AAEL017319,CG14812
AAEL001906,PNUTS
AAEL009515,sba
AAEL016999,w
AAEL010900,Kap-alpha1
AAEL009510,NoSymbolFound
AAEL008414,CG6026
AAEL018339,Rassf
AAEL008416,Prp18
AAEL008417,CG6013
AAEL008412,CG11779
AAEL018331,ohgt
AAEL013812,Mur2B
AAEL018333,CG6867
AAEL013814,CG10268
AAEL008419,CG31301
AAEL018336,Roc2
AAEL007889,CG17739
AAEL007883,Fkbp12
AAEL007880,Odc1
AAEL007881,CG44243
AAEL007884,stmA
AAEL007885,mIF3
AAEL007080,mino
AAEL010821,RpLP0
AAEL007084,metl
AAEL007088,CG11594
AAEL013761,Arl5
AAEL013766,Gasp
AAEL013764,Oseg1
AAEL002106,Pbp49
AAEL002107,CG14997
AAEL012148,CG4702
AAEL002102,Ero1L
AAEL012144,Cyp303a1
AAEL012147,CG4554
AAEL002108,CG3527
AAEL012140,CG1434
AAEL012143,Drice
AAEL000925,Lztr1
AAEL007816,Cyp4d2
AAEL000885,btv
AAEL000883,stv
AAEL014594,Cyp301a1
AAEL003509,CG8243
AAEL003503,Rab7
AAEL003501,CG10252
AAEL003506,ems
AAEL003505,Jra
AAEL003504,E5
AAEL000088,Cog2
AAEL000085,CG14770
AAEL000084,EloB
AAEL000081,smid
AAEL008253,Blos3
AAEL008250,CG6983
AAEL008256,CycJ
AAEL008257,Hrb27C
AAEL008255,Trs20
AAEL008258,Tasp1
AAEL014771,TBC1D23
AAEL014772,SiaT
AAEL005909,Sf3b6
AAEL005908,rols
AAEL005905,CG8097
AAEL005904,CG8223
AAEL005907,CG10307
AAEL005906,Sb
AAEL005901,RpS3A
AAEL005902,ema
AAEL003769,CG13630
AAEL003768,srl
AAEL003766,CG14309
AAEL003762,Ppox
AAEL000263,jing
AAEL000260,CG8229
AAEL004238,CG13409
AAEL000266,DopEcR
AAEL000265,NoSymbolFound
AAEL004234,Cisd2
AAEL004235,Klp10A
AAEL000269,CG15019
AAEL000268,CG6472
AAEL004231,Gas8
AAEL013935,CG40439
AAEL013286,CG5285
AAEL006900,CG34174
AAEL006905,CG5758
AAEL006908,CG6153
AAEL007505,ara
AAEL007502,mirr
AAEL007501,sud1
AAEL007509,Vps24
AAEL001024,CG7943
AAEL005016,CG9257
AAEL005014,Trpgamma
AAEL005019,alpha4GT1
AAEL011857,RIOK1
AAEL001029,Nup58
AAEL009615,Rh3
AAEL009614,sina
AAEL009616,Cad74A
AAEL010459,CG5877
AAEL010108,Fem-1
AAEL010107,DMAP1
AAEL010456,CG42497
AAEL010102,Tsp5D
AAEL010453,mago
AAEL013151,Bug22
AAEL013150,CG5188
AAEL013153,Ir31a
AAEL017101,rnh1
AAEL017458,CG6574
AAEL013154,CG10366
AAEL013159,trn
AAEL017452,antdh
AAEL013374,NoSymbolFound
AAEL006277,CG15673
AAEL006275,CG18870
AAEL006270,slv
AAEL006271,Sod3
AAEL006279,CG8180
AAEL008887,COX6B
AAEL008886,CG12909
AAEL002597,Wbp2
AAEL002595,CG5390
AAEL002593,CG40160
AAEL012686,RpS23
AAEL012684,CG32276
AAEL012681,RpL24-like
AAEL012689,ninaG
AAEL013489,CG4324
AAEL013488,CG4610
AAEL013487,cyst
AAEL002372,RpS11
AAEL002371,CG16865
AAEL002370,EDTP
AAEL002377,SmB
AAEL009823,bchs
AAEL002375,CG9586
AAEL009821,CG15894
AAEL012350,Lip3
AAEL012351,CG3734
AAEL012352,CG31221
AAEL012421,shg
AAEL012426,CG3803
AAEL012355,Ino80
AAEL009828,Ccz1
AAEL009829,SrpRbeta
AAEL003972,CG7222
AAEL003973,Eaf
AAEL003976,Rtf1
AAEL003977,Elo68beta
AAEL003978,Kah
AAEL014900,tefu
AAEL014904,Dbp45A
AAEL004350,janA
AAEL011193,CG13284
AAEL011191,Gbs-70E
AAEL011197,Act5C
AAEL009445,CG17249
AAEL011627,Rpi
AAEL011626,Snm1
AAEL009448,Sgf29
AAEL014695,CG31224
AAEL011199,CG18048
AAEL011198,mRpL38
AAEL011447,RpL14
AAEL011441,CaMKI
AAEL011440,b6
AAEL011442,eIF2Bgamma
AAEL000699,Nufip
AAEL000692,Psf1
AAEL000697,CG42231
AAEL008069,uif
AAEL008068,IntS3
AAEL008061,PIG-N
AAEL008063,CG8677
AAEL008062,Tsp
AAEL008064,CG8320
AAEL008067,Dmtn
AAEL014016,Brms1
AAEL001619,Csl4
AAEL001615,mRpS18C
AAEL001616,comt
AAEL001610,CG2218
AAEL001612,Dcr-1
AAEL007824,RpS29
AAEL006048,CG5641
AAEL013073,CG15429
AAEL007826,for
AAEL006043,CG1965
AAEL010864,CG11436
AAEL007827,CG4751
AAEL010860,Vps50
AAEL010861,MED8
AAEL013076,Srp54k
AAEL007821,CSN8
AAEL013074,capt
AAEL018139,loco
AAEL018136,snsl
AAEL018132,CG8311
AAEL018133,JHDM2
AAEL018130,Tak1
AAEL018131,NoSymbolFound
AAEL001922,msb1l
AAEL001920,SmydA-4
AAEL011993,mus81
AAEL011992,ND-15
AAEL011991,CG11843
AAEL011996,Akh
AAEL011995,CG11007
AAEL010712,Lrp4
AAEL010710,Lcch3
AAEL008478,CG9917
AAEL008476,BHD
AAEL008475,Vps8
AAEL008472,CG1271
AAEL008473,CG16995
AAEL005468,PIG-A
AAEL005469,CG2186
AAEL005463,Cbp53E
AAEL005460,CG5731
AAEL005466,CG12929
AAEL005464,CG8740
AAEL005465,CG15120
AAEL007313,CG12822
AAEL007310,CG6454
AAEL007311,CG13310
AAEL007316,Hil
AAEL007317,in
AAEL007314,link
AAEL011636,Ice2
AAEL007318,CG12768
AAEL011637,thoc5
AAEL009477,CG15865
AAEL004237,dor
AAEL013749,rho-7
AAEL013744,ND-18
AAEL013746,CG5447
AAEL013741,CG7110
AAEL002165,Gip
AAEL002163,CDC50
AAEL002160,CG1354
AAEL002161,CG14818
AAEL012167,mEFTu2
AAEL012164,spz6
AAEL012162,Aldh-III
AAEL012169,Tmem18
AAEL012168,CG10543
AAEL002423,Hand
AAEL000214,car
AAEL003829,Opa1
AAEL002788,CG1737
AAEL002789,Rpn12
AAEL014577,Rai1
AAEL002782,XRCC1
AAEL002783,mRpL37
AAEL002784,Zpr1
AAEL002785,DNApol-epsilon58
AAEL003569,CG1635
AAEL003564,Srr
AAEL003566,CG42402
AAEL003561,CG14507
AAEL003560,vvl
AAEL003563,mTerf5
AAEL003562,Brd8
AAEL004032,nAChRalpha2
AAEL004030,CG17782
AAEL004036,CG9514
AAEL004034,mRpS6
AAEL004035,NoSymbolFound
AAEL004039,Blm
AAEL004783,Oda
AAEL008275,CG33966
AAEL014713,AgmNAT
AAEL005921,D2hgdh
AAEL005929,CG5789
AAEL005928,bcn92
AAEL003781,CG2915
AAEL003785,EMC1
AAEL003789,ebo
AAEL000204,CG2556
AAEL000201,CG2990
AAEL000200,CG14132
AAEL008188,RpL6
AAEL008189,CG7156
AAEL008184,NoSymbolFound
AAEL008185,CG1105
AAEL000208,CHOp24
AAEL004259,lin-28
AAEL011293,Vkor
AAEL005252,Crz
AAEL005255,Pdp1
AAEL005254,DCTN4-p62
AAEL005258,Syx8
AAEL009585,Peritrophin-A
AAEL009584,Ets97D
AAEL009588,Hr3
AAEL001009,cindr
AAEL001559,Mos
AAEL001000,Agpat1
AAEL001553,CG8192
AAEL001557,CG42638
AAEL005785,CG14669
AAEL001007,sbr
AAEL005075,ECSIT
AAEL005076,CG4467
AAEL005071,CG2017
AAEL005070,CG10375
AAEL009639,UBL3
AAEL005072,CG8500
AAEL011874,CG13924
AAEL009636,Ranbp16
AAEL009635,CG42553
AAEL011877,Art7
AAEL011870,tral
AAEL011871,Cyt-c1
AAEL011872,CG12025
AAEL009630,Pde9
AAEL010474,CG4975
AAEL010473,CG5854
AAEL010472,HLH3B
AAEL010471,ChAT
AAEL010470,CanB
AAEL010479,CG1213
AAEL017437,nop5
AAEL017435,CG17068
AAEL017120,Trh
AAEL000166,CG17162
AAEL006786,RhoL
AAEL006787,CG1239
AAEL006785,RpL18A
AAEL006782,Art4
AAEL006780,Hip14
AAEL006788,CG8142
AAEL006789,e(y)1
AAEL006258,ppk15
AAEL006522,tutl
AAEL006251,Ufm1
AAEL006520,CG42371
AAEL006521,CG17996
AAEL006254,GlcAT-P
AAEL006525,CG12081
AAEL008072,ND-20
AAEL008863,sofe
AAEL008865,CG10214
AAEL007788,IntS12
AAEL008073,FDY
AAEL013172,Clamp
AAEL007787,Alas
AAEL013170,CG18858
AAEL013177,CG3262
AAEL013176,CG1142
AAEL003847,Dph3
AAEL002571,CG34347
AAEL002572,Mlc2
AAEL002575,ppk24
AAEL002579,CG10713
AAEL002578,Ssk
AAEL009339,tkv
AAEL013359,eIF4A
AAEL013356,CG31886
AAEL013353,chic
AAEL002317,NoSymbolFound
AAEL002311,Arl6
AAEL012409,fbl
AAEL002313,CG42826
AAEL002312,Grip163
AAEL012404,Sp1
AAEL002318,CG13001
AAEL007129,dpr2
AAEL007120,Lim3
AAEL007125,CG11562
AAEL007127,CG13708
AAEL007126,CG33281
AAEL003954,CG31300
AAEL003955,CG2926
AAEL003956,CG8785
AAEL003957,tsr
AAEL003952,CalpA
AAEL003953,par-1
AAEL003958,CG12344
AAEL009808,Vha36-1
AAEL014965,ps
AAEL004645,pre-mod(mdg4)-J
AAEL014961,Gmd
AAEL014960,CG5961
AAEL009806,arr
AAEL003049,Cpr100A
AAEL003043,CG7058
AAEL003041,Cpr97Eb
AAEL003046,Sap-r
AAEL003443,CG5955
AAEL010856,Tbh
AAEL011850,sad
AAEL014389,CG11710
AAEL010588,Tango4
AAEL008042,PIG-V
AAEL014031,wrd
AAEL014037,CG14805
AAEL008046,Rh50
AAEL008044,mRpL34
AAEL014039,roh
AAEL014038,CG4278
AAEL012610,CG12093
AAEL001637,cato
AAEL001636,stc
AAEL001635,Grip71
AAEL001631,CG2662
AAEL011603,Top3beta
AAEL011602,pn
AAEL011606,Pmi
AAEL001639,Rcd6
AAEL001638,CG16812
AAEL006066,CG1307
AAEL006065,CG14683
AAEL006064,lmd
AAEL006063,CG11920
AAEL006062,neur
AAEL010808,Lrr47
AAEL010809,Set
AAEL010804,CG17698
AAEL010805,ZIPIC
AAEL010802,CG8501
AAEL010803,ncd
AAEL006069,CG33111
AAEL010801,UQCR-11
AAEL000542,NoSymbolFound
AAEL000549,CG31999
AAEL018112,f
AAEL001498,CG13082
AAEL018114,CG42663
AAEL018117,vir-1
AAEL018118,lds
AAEL018119,CG32066
AAEL001491,CG3769
AAEL001490,CG14022
AAEL001497,scat
AAEL001496,TfIIS
AAEL001495,CG7384
AAEL001494,CG43333
AAEL001940,Cds
AAEL011468,HINT1
AAEL011466,Pldn
AAEL011465,Sugb
AAEL011463,dib
AAEL011462,TfIIEbeta
AAEL010738,Ndae1
AAEL010739,Wnt4
AAEL015041,Mtch
AAEL010730,Not10
AAEL010731,Snx21
AAEL010732,l(2)37Cb
AAEL008450,CG34375
AAEL008452,Amyrel
AAEL005843,nocte
AAEL008454,CG3663
AAEL008458,ubl
AAEL008459,CG4557
AAEL005845,beta-Spec
AAEL005449,PICK1
AAEL005444,Capa
AAEL005440,CG9795
AAEL010450,Tim10
AAEL011063,l(1)G0289
AAEL013152,CG33003
AAEL007332,cni
AAEL013724,lqfR
AAEL013725,TAF1B
AAEL013722,Pburs
AAEL013723,heph
AAEL013728,ave
AAEL013729,gek
AAEL002140,TfIIA-S
AAEL009320,CCT1
AAEL002142,NoSymbolFound
AAEL009325,CG31157
AAEL009324,scu
AAEL009326,Fmr1
AAEL002148,NoSymbolFound
AAEL011710,CG14464
AAEL014555,Pomp
AAEL014557,cad
AAEL013971,CG30471
AAEL003230,Ublcp1
AAEL003545,CG12869
AAEL003544,Fgop2
AAEL003543,Sin1
AAEL003234,levy
AAEL003237,CG31469
AAEL003540,bin3
AAEL003238,CG5880
AAEL003549,CG15435
AAEL003548,Prestin
AAEL004016,CG5768
AAEL004017,Mybbp1A
AAEL004010,eIF4H1
AAEL008218,CG10472
AAEL008216,Irp-1B
AAEL014731,CheA86a
AAEL014732,Herp
AAEL014733,Nup214
AAEL014734,NoSymbolFound
AAEL014735,CG43322
AAEL000049,CG3165
AAEL000048,Gr64f
AAEL000042,CG17187
AAEL000041,CG32006
AAEL000046,vito
AAEL001798,PRL-1
AAEL001799,CG9919
AAEL005279,CG1750
AAEL005278,CG10804
AAEL005273,CG10681
AAEL005271,Rip11
AAEL005277,CG8108
AAEL005276,CG3529
AAEL001796,Hr78
AAEL001797,ClpP
AAEL004278,Cyt-b5-r
AAEL000958,CG33170
AAEL000227,CG3829
AAEL000226,CG6693
AAEL004273,CG17121
AAEL000955,Atg3
AAEL004275,Osi8
AAEL000221,MED9
AAEL004277,Mppe
AAEL001575,CG8389
AAEL005054,CG7789
AAEL001570,nahoda
AAEL001571,Rgk2
AAEL001573,asrij
AAEL011817,Upf1
AAEL011814,mRpS30
AAEL011815,Parp
AAEL011813,EMC2B
AAEL011811,NoSymbolFound
AAEL011819,Mau2
AAEL004902,Rab2
AAEL004903,CG13675
AAEL004900,qm
AAEL004907,CG32040
AAEL004905,chk
AAEL006508,Tsen2
AAEL006509,ATPsynG
AAEL006501,Sld5
AAEL006502,CG14543
AAEL006503,CheA7a
AAEL008849,Sps1
AAEL008848,ATPsyngamma
AAEL008843,arx
AAEL008842,Crtc
AAEL008841,CG9527
AAEL008844,Scp1
AAEL017419,CNBP
AAEL013119,Chmp1
AAEL018334,snu
AAEL013115,PGAP1
AAEL013114,CG7872
AAEL013116,mRpL3
AAEL013110,CG14814
AAEL013113,CG12375
AAEL013171,Irc
AAEL012642,CG13806
AAEL002084,CG14220
AAEL002080,sip2
AAEL002083,CG10077
AAEL012649,CG32302
AAEL002089,Rlip
AAEL002088,Teh2
AAEL012394,GCS2beta
AAEL012395,rdog
AAEL012397,CG1764
AAEL012390,CG12945
AAEL012460,CG33722
AAEL012393,CG8516
AAEL007103,CG4950
AAEL007100,Naa35
AAEL007105,twz
AAEL007104,Shal
AAEL002559,CG31028
AAEL002551,Top1
AAEL002550,Paip2
AAEL002557,CG1607
AAEL002556,CG33172
AAEL002555,CG7720
AAEL002554,Kal1
AAEL003938,CstF50
AAEL003936,CG2150
AAEL003681,CG13186
AAEL003682,nudE
AAEL003683,CG34140
AAEL003684,Ku80
AAEL014946,Sras
AAEL014945,CG5316
AAEL014944,COX5A
AAEL014943,p23
AAEL002888,Nsun5
AAEL002337,Pfdn4
AAEL002335,zfh2
AAEL002886,Trxr-1
AAEL002881,ND-MLRQ
AAEL002331,NoSymbolFound
AAEL003069,CG11550
AAEL003064,MFS16
AAEL003065,ZC3H3
AAEL003066,Cht8
AAEL003067,CG9812
AAEL003063,Sema1b
AAEL001144,Vps39
AAEL004485,Nhe1
AAEL004482,CG3817
AAEL004480,fzr
AAEL004489,Daxx
AAEL004488,Ephrin
AAEL001143,CG31344
AAEL005191,Cdc2rk
AAEL008025,CG16787
AAEL008024,CG12991
AAEL014057,CG9776
AAEL008021,Sra-1
AAEL014050,CG10194
AAEL014053,Vha100-2
AAEL008022,Ptx1
AAEL014059,uex
AAEL008028,Mct1
AAEL011665,CG14229
AAEL011667,CG6843
AAEL011666,mRpL41
AAEL011661,CG14551
AAEL011663,Pcf11
AAEL000568,Rpn10
AAEL010533,CG1620
AAEL010822,CG6928
AAEL010823,ATPsynO
AAEL010536,Mal-B2
AAEL010289,Itgbn
AAEL010826,Su(var)3-9
AAEL010827,CG5728
AAEL010284,pyd3
AAEL010829,Art3
AAEL010538,Trp1
AAEL000564,CG3632
AAEL000566,CG4269
AAEL004568,dnd
AAEL001969,EbpIII
AAEL001968,Catsup
AAEL001963,Phk-3
AAEL001962,CG5850
AAEL011934,GstZ2
AAEL004564,CG8420
AAEL011483,Obp50c
AAEL009507,Zw
AAEL010756,RpS19a
AAEL010757,CG11122
AAEL010755,wcy
AAEL010753,CG2608
AAEL010759,Rad9
AAEL009779,CG15432
AAEL005422,P5CDh1
AAEL005423,CG9467
AAEL009772,Ntf-2
AAEL009773,geminin
AAEL009777,Hs3st-B
AAEL005428,CG33998
AAEL005429,CG1544
AAEL012359,awd
AAEL007356,CG11980
AAEL007357,CG7168
AAEL007354,Pus1
AAEL007355,mRpS18A
AAEL007353,Cul5
AAEL007351,PSMG1
AAEL017082,x16
AAEL017081,CG9065
AAEL009825,RpL13A
AAEL017085,GstO3
AAEL001211,Wdr82
AAEL001210,ND-13A
AAEL001212,Wdfy2
AAEL001215,CG4230
AAEL001216,Hel25E
AAEL002374,CG5886
AAEL013258,sstn
AAEL013252,Rab14
AAEL013253,CYLD
AAEL013250,CG8155
AAEL013251,qvr
AAEL013256,Sirup
AAEL013254,JMJD4
AAEL012427,CG15717
AAEL009309,ppan
AAEL009308,CG9799
AAEL012356,AstC-R2
AAEL009303,CG3862
AAEL009302,cbc
AAEL009307,Oga
AAEL009306,Not11
AAEL001452,CG8138
AAEL000936,Dph4
AAEL000281,CG43780
AAEL001451,Nse4
AAEL000930,fwe
AAEL014536,escl
AAEL014534,Wdr59
AAEL014533,CG8060
AAEL014531,CG12795
AAEL012079,CG2747
AAEL012078,CG2540
AAEL012071,Ras85D
AAEL012074,mRpL47
AAEL012076,CG10435
AAEL003213,DhpD
AAEL003211,ninaB
AAEL003210,Tsp29Fa
AAEL003216,Cpr49Ah
AAEL003214,Adgf-C
AAEL014280,Snapin
AAEL014281,Noa36
AAEL014282,CSN6
AAEL014283,CG11164
AAEL008234,dsh
AAEL014286,Myb
AAEL014287,CG6951
AAEL004076,Uba5
AAEL000024,yellow-f
AAEL004074,be
AAEL004075,CG3335
AAEL000021,CG11382
AAEL000020,CG9590
AAEL004070,CG5541
AAEL004071,IscU
AAEL005218,sinu
AAEL001775,CCDC53
AAEL005215,CG2162
AAEL005217,Membrin
AAEL001779,BI-1
AAEL005211,chb
AAEL009542,Pop1
AAEL009544,galene
AAEL009547,CG3626
AAEL004292,CG8736
AAEL004293,tra2
AAEL004290,egg
AAEL004291,trsn
AAEL000793,CG32679
AAEL004297,ATPCL
AAEL000791,CG44242
AAEL004295,G6P
AAEL004298,Osi11
AAEL000978,CG11417
AAEL001516,Sec31
AAEL011349,CG10663
AAEL001513,Oseg4
AAEL011830,CG11134
AAEL011832,l(1)G0004
AAEL001518,CG1231
AAEL011837,Pka-C3
AAEL008375,Edc3
AAEL006740,udt
AAEL006747,aft
AAEL006744,NoSymbolFound
AAEL006748,tsu
AAEL006749,CG13022
AAEL004920,CG10286
AAEL006294,CG7685
AAEL006567,Mnt
AAEL006564,mfrn
AAEL006560,loj
AAEL006293,CG10864
AAEL006298,CG31111
AAEL006299,Mettl14
AAEL008829,fs(1)N
AAEL008828,CAH9
AAEL008827,boi
AAEL008826,Fie
AAEL008793,CG7083
AAEL008823,Akt1
AAEL008790,CG10731
AAEL017161,CG9344
AAEL013134,RpI1
AAEL017164,Cpsf6
AAEL001730,CG8401
AAEL017167,CG11318
AAEL013139,Rho1
AAEL013138,CG10939
AAEL013392,CG33331
AAEL013391,CG33332
AAEL013390,polo
AAEL013397,CycC
AAEL013396,SCCRO
AAEL013394,Dpck
AAEL007164,Vdup1
AAEL007160,Ubqn
AAEL007162,Atg8a
AAEL007169,AstA-R1
AAEL005160,Esp
AAEL002539,Fim
AAEL002538,clumsy
AAEL002534,RpL10
AAEL002537,dy
AAEL003910,Tace
AAEL003911,CG14650
AAEL003912,Trs33
AAEL003661,eIF6
AAEL003666,CG10602
AAEL003916,CG7903
AAEL003917,CG9240
AAEL003919,JhI-21
AAEL009534,mtTFB1
AAEL005169,CROT
AAEL012448,CG9578
AAEL012449,d
AAEL012918,Psa
AAEL012440,CG11655
AAEL012442,CG7099
AAEL012443,Orct
AAEL012916,NKAIN
AAEL012446,Bruce
AAEL003006,Gs1l
AAEL003003,GluClalpha
AAEL003000,Ilp7
AAEL003001,wds
AAEL003009,gzl
AAEL014760,CG5445
AAEL008006,NoSymbolFound
AAEL008005,MTF-1
AAEL014072,Tip60
AAEL008000,Grasp65
AAEL011133,l(3)05822
AAEL011132,CG6974
AAEL011135,CG2656
AAEL011134,CG8202
AAEL011136,CG1598
AAEL011649,mus301
AAEL011648,CycD
AAEL000582,ppk28
AAEL000583,Pex6
AAEL010516,Atg4b
AAEL000581,CG4752
AAEL010511,ZnT77C
AAEL000584,SoxN
AAEL010513,cwo
AAEL000589,GckIII
AAEL017030,Rsf1
AAEL001985,a10
AAEL001986,neb
AAEL001260,MED20
AAEL005153,CG13380
AAEL005408,AnxB10
AAEL001188,RagA-B
AAEL013896,Med
AAEL013897,Mgat4a
AAEL005400,CtBP
AAEL005401,CREG
AAEL001183,CG17221
AAEL001182,Ptpa
AAEL001184,CG4984
AAEL001187,DCP1
AAEL009759,CG30109
AAEL009754,EndoB
AAEL009755,dmpd
AAEL009756,CG11275
AAEL009757,SmydA-6
AAEL009753,CG9864
AAEL007370,Dhfr
AAEL007803,LBR
AAEL007372,GABA-B-R1
AAEL007373,Amt
AAEL007806,CG14142
AAEL007375,Pdk
AAEL007804,NoSymbolFound
AAEL013090,tant
AAEL013092,CG10413
AAEL007809,Alg10
AAEL009442,Atf3
AAEL001232,Swim
AAEL001231,mmd
AAEL001237,Vajk4
AAEL001236,CG7453
AAEL001235,Ppt2
AAEL001238,l(2)k09022
AAEL011196,wap
AAEL010778,CG13101
AAEL010779,ppk16
AAEL010770,coil
AAEL010771,CG8245
AAEL010772,dtr
AAEL010777,Trx-2
AAEL013278,Atac3
AAEL013279,CG2852
AAEL013275,Fs(2)Ket
AAEL013277,NaCP60E
AAEL013271,CarT
AAEL013272,RpL37A
AAEL009368,Las
AAEL000562,CG14184
AAEL009364,Cdk12
AAEL009367,M6
AAEL009360,SAK
AAEL009362,CG7255
AAEL006178,Amun
AAEL006171,CG2082
AAEL006172,Atu
AAEL006175,CG15908
AAEL006174,Prosbeta3
AAEL006177,Hat1
AAEL006176,Obp69a
AAEL012279,eIF3j
AAEL012278,CG3107
AAEL008588,Inx7
AAEL008582,mRpS2
AAEL008583,CG8833
AAEL008587,Nmdar1
AAEL008584,CG14450
AAEL008585,ksr
AAEL014510,sty
AAEL009981,CG10340
AAEL012273,CG5721
AAEL002271,CSN3
AAEL012052,CG13203
AAEL012051,CG10795
AAEL012057,E(Pc)
AAEL012056,CG3860
AAEL012059,asun
AAEL003275,CG1647
AAEL003277,NK7.1
AAEL003271,Fancl
AAEL003270,CG11699
AAEL003273,Cdc23
AAEL003272,Cpr49Aa
AAEL003491,CG1983
AAEL003490,CG2321
AAEL003493,Gint3
AAEL003492,RNASEK
AAEL003495,Rnb
AAEL003497,Fpps
AAEL015202,CG5861
AAEL004050,Mvd
AAEL000006,Pepck1
AAEL004052,CG6617
AAEL000004,PIG-B
AAEL004054,Cyp4g15
AAEL004727,Ipk1
AAEL004056,CG5110
AAEL004725,hig
AAEL004059,Eip55E
AAEL004728,CG10621
AAEL000008,adp
AAEL001754,Pdf
AAEL005235,CG43295
AAEL005234,ana1
AAEL005897,CG5903
AAEL005232,Cks85A
AAEL005895,Appl
AAEL011580,CG7694
AAEL005898,CG10495
AAEL011584,Hsp60A
AAEL001759,RpS9
AAEL005239,CG5916
AAEL009564,CG4520
AAEL008319,CG9302
AAEL000663,CG7841
AAEL000914,CG32603
AAEL000911,CG17994
AAEL009698,SIFaR
AAEL009697,CG33469
AAEL011367,CG3552
AAEL009691,PCB
AAEL009690,Mks1
AAEL010185,CG17230
AAEL010182,Tailor
AAEL010181,mRpL51
AAEL006760,CG5964
AAEL006762,BORCS7
AAEL006769,TrpRS-m
AAEL004942,brm
AAEL004941,Cyp6g2
AAEL008613,NoSymbolFound
AAEL008617,H
AAEL005092,Nmt
AAEL001532,CG15309
AAEL005097,RpL13
AAEL006549,l(3)72Dn
AAEL006819,Rrp46
AAEL014018,yki
AAEL006540,RabX5
AAEL006541,CG13930
AAEL006817,ase
AAEL006547,thoc6
AAEL008807,FIG4
AAEL008770,Prosbeta6
AAEL008773,LanA
AAEL008803,CG6665
AAEL008777,Abl
AAEL008800,mRpS26
AAEL008779,Mst98Cb
AAEL003853,sns
AAEL008809,ppk9
AAEL014014,CG4872
AAEL007494,elm
AAEL007496,CG12267
AAEL007492,TBC1d7
AAEL014990,Cralbp
AAEL007149,CG17778
AAEL007147,CG17264
AAEL007146,Shaw
AAEL007633,CRMP
AAEL007634,CG31460
AAEL007637,Kat60
AAEL002043,Cyp305a1
AAEL002512,cold
AAEL002047,NoSymbolFound
AAEL002510,Shmt
AAEL002049,cyc
AAEL002048,HisRS
AAEL003396,RpL32
AAEL003645,CG9743
AAEL003394,Aven
AAEL003393,ATPsynbeta
AAEL003390,CG42516
AAEL015059,CG42382
AAEL003648,CG10336
AAEL003649,CG4553
AAEL003398,NijC
AAEL013513,CG15515
AAEL013515,Cpr65Av
AAEL012939,Chchd2
AAEL012930,Not3
AAEL012931,CG12056
AAEL012932,CG34195
AAEL003106,AP-2mu
AAEL011848,CG32795
AAEL003451,CG13599
AAEL001037,CG8939
AAEL000528,CG13579
AAEL009082,SuUR
AAEL000529,RpS21
AAEL005060,CG34409
AAEL001032,CG14712
AAEL014899,CG3603
AAEL009086,CG6310
AAEL004107,nmdyn-D6
AAEL011842,Bmcp
AAEL005798,Vha55
AAEL005799,Moca-cyp
AAEL003020,tll
AAEL003022,NoSymbolFound
AAEL000523,mura
AAEL003026,CG42450
AAEL004559,Snap25
AAEL004558,wuho
AAEL004551,BOD1
AAEL004553,CG6299
AAEL004552,lin-52
AAEL004554,CG13601
AAEL004557,St2
AAEL014092,CG14086
AAEL014096,CG9386
AAEL014099,ValRS-m
AAEL014098,Pc
AAEL011118,Mps1
AAEL011113,POLDIP2
AAEL011112,Sodh-2
AAEL011111,Nab2
AAEL011117,HDAC3
AAEL011116,14-3-3epsilon
AAEL011114,RIOK2
AAEL012008,CG7747
AAEL014193,CG30357
AAEL005399,spn-B
AAEL005390,cdm
AAEL005392,Ca-Ma2d
AAEL005395,CG15914
AAEL012552,ND-75
AAEL012553,hop
AAEL000001,bys
AAEL005174,CG43340
AAEL005175,Lpin
AAEL005176,scrt
AAEL005177,ACXD
AAEL005170,COX4
AAEL005171,CG11722
AAEL002292,CG42825
AAEL009736,CG14982
AAEL009735,NoSymbolFound
AAEL000809,CG14325
AAEL009731,CG4335
AAEL005850,Hr4
AAEL000807,P58IPK
AAEL010576,mod(mdg4)
AAEL010577,CG14965
AAEL010572,CG5189
AAEL002293,CG34242
AAEL010570,nAChRbeta1
AAEL010571,CG32536
AAEL013072,papi
AAEL007825,MED6
AAEL013070,CG15385
AAEL013071,CG33303
AAEL007820,Lsm12a
AAEL013077,inaF-D
AAEL007822,NoSymbolFound
AAEL007823,AGO3
AAEL013078,Alg12
AAEL001255,CG17002
AAEL001254,ssp2
AAEL001256,CG11370
AAEL001250,CG7638
AAEL001252,vimar
AAEL017447,CkIIbeta
AAEL005858,Mlh1
AAEL013163,CG1927
AAEL010793,FipoQ
AAEL010790,CG4911
AAEL010791,CG11975
AAEL010796,SIDL
AAEL010797,MED21
AAEL010794,CG1418
AAEL010798,CG40045
AAEL013217,Or82a
AAEL017227,Or83c
AAEL013213,E(z)
AAEL017224,Pten
AAEL017229,ham
AAEL009345,l(2)37Cc
AAEL009342,RabX6
AAEL009340,Hcs
AAEL006150,CG5555
AAEL006155,CG4972
AAEL006154,CG41284
AAEL002395,Cdk8
AAEL011233,SmE
AAEL002703,sgll
AAEL002700,Tango11
AAEL002701,CG11999
AAEL002250,Rev1
AAEL002253,fng
AAEL012035,NoSymbolFound
AAEL012034,Alg2
AAEL012031,asl
AAEL012039,ci
AAEL003257,CG13202
