gene14364,sNPF
gene5763,mRpL28
gene5762,CycD
gene5764,CG7766
gene5767,Iswi
gene5766,bbc
gene14588,TMEM216
gene14585,CysRS
gene14586,eIF3m
gene14587,Sec15
gene14580,Fancd2
gene14583,Kr
gene7544,CG9003
gene7543,CG31249
gene7542,CG4789
gene7540,CG4324
gene7549,CG8043
gene7548,CG12288
gene6154,CG15533
gene6153,Trpgamma
gene6152,CG7634
gene6150,Ilp3
gene5499,Top3beta
gene5498,fid
gene5495,egh
gene5494,Tpi
gene5493,baf
gene5490,arr
gene2922,CG10802
gene2923,bc10
gene7400,Caper
gene2921,RpS28b
gene2926,NC2alpha
gene2927,lin
gene2924,CG5913
gene2925,DNApol-eta
gene2928,gek
gene11456,Pino
gene4018,Tsr1
gene4017,CG13185
gene7721,RpL4
gene4173,hppy
gene4171,RyR
gene4177,NijB
gene4175,CG30349
gene4174,Gmap
gene7720,CG14325
gene8810,CG7154
gene8811,NoSymbolFound
gene8812,Pi4KIIIalpha
gene11842,CG7368
gene11840,CG8223
gene11841,CG34135
gene11845,CG14229
gene10460,CG3092
gene10467,CG1116
gene10466,su(Hw)
gene10465,PKD
gene10464,Mthfs
gene10469,Taf8
gene13167,CtBP
gene13166,Ctf4
gene13162,CG7675
gene13160,eIF3g1
gene6713,l(2)37Cc
gene6714,CG3792
gene7724,Pex1
gene6719,slv
gene472,CG11377
gene471,UbcE2H
gene477,VhaAC45
gene8902,Set1
gene479,CG7342
gene478,Strip
gene2725,CG12004
gene2727,Act57B
gene2720,CG12107
gene2721,CSN1b
gene2722,UQCR-C2
gene14004,REG
gene3016,CG13375
gene6438,Zir
gene6439,TfIIEalpha
gene6434,RnrS
gene6435,Vsp37A
gene6436,Sirup
gene6430,Ssu72
gene6432,e(y)2
gene6433,Wdr33
gene5917,CG12024
gene695,mon2
gene694,CG14223
gene693,Ubqn
gene690,CG43736
gene7392,LUBEL
gene7397,mxt
gene7394,Acsl
gene7395,Sec61beta
gene2016,CG11085
gene7398,CG11030
gene6380,NoSymbolFound
gene6381,GC
gene12693,CG5535
gene7063,CG3764
gene12698,Ssl1
gene12699,aurB
gene13349,CG14894
gene13348,HIP-R
gene13343,CG13992
gene13341,Keap1
gene13340,CG42304
gene13347,abs
gene13345,CG11586
gene13344,CG4891
gene12438,Vps20
gene12439,CG4511
gene12348,rempA
gene12349,crol
gene12344,mRpL50
gene12345,hob
gene12430,Clic
gene12340,Top3alpha
gene12341,Cby
gene12434,robo3
gene12435,CG13949
gene16249,NetA
gene3099,CG9945
gene3098,CG3408
gene3094,Cndp2
gene3091,Ubc4
gene3090,Prps
gene3092,NoSymbolFound
gene1525,Abd-B
gene14139,TfIIFalpha
gene10852,CG31344
gene14970,aurA
gene5166,Oseg6
gene15371,SLC22A
gene15372,Cln7
gene5026,SP1173
gene9523,Su(var)2-10
gene13927,pkaap
gene11615,CG10958
gene11614,RpL11
gene11613,CG15629
gene11612,CG8460
gene11611,CG6841
gene11610,cpb
gene11618,drm
gene14399,CG6118
gene5535,CG16959
gene5533,Mdh1
gene5538,Ptp52F
gene8030,l(3)02640
gene14397,Paics
gene14396,Prat
gene8031,MED20
gene14614,Cdc16
gene6948,CG6055
gene6949,CG4593
gene6946,Opa1
gene8035,CG9932
gene6942,Cyp4d2
gene6943,Zasp67
gene8669,RpLP2
gene14028,Rabex-5
gene14027,dsd
gene14025,CG10738
gene8660,CG14905
gene8825,Jafrac1
gene5145,angel
gene5147,Hsc70Cb
gene5146,CanB
gene5141,ND-39
gene5143,CG7453
gene5142,Cap-D2
gene8481,CG31997
gene8480,PPP1R15
gene8486,okr
gene8489,CG14439
gene8488,MFS16
gene8827,Cp7Fa
gene10102,NoSymbolFound
gene10103,NoSymbolFound
gene11475,RpL38
gene11474,sturkopf
gene9524,CG6178
gene10702,FucTC
gene10700,CG3107
gene10706,CG8170
gene10704,ced-6
gene868,RpI12
gene869,CCT7
gene867,DNApol-delta
gene8821,CG11529
gene9820,mRpL37
gene9821,Idi
gene9288,shrb
gene4817,NoSymbolFound
gene4818,Nup37
gene9539,Bdp1
gene9284,CG11318
gene9282,CG34425
gene3843,Balat
gene3841,armi
gene1734,CG13869
gene1732,CG34107
gene1739,AdamTS-B
gene9754,CG1824
gene14137,cac
gene9750,puml
gene9753,CG14763
gene5857,CG1598
gene5856,Arp10
gene5855,CG31111
gene5854,tank
gene5853,Trs23
gene5852,Ets21C
gene5851,nAChRbeta3
gene11713,CG6927
gene5859,Cks85A
gene13753,Smg6
gene13757,tnc
gene7921,AlaRS
gene3460,Kah
gene3462,CG31638
gene5708,Syt1
gene5706,Trf
gene5703,GlyP
gene5702,CG3702
gene5701,eEF1gamma
gene14563,CG14073
gene7569,CG11164
gene7568,kto
gene7567,bys
gene7566,Tango11
gene6171,CG8142
gene6170,Ranbp21
gene3280,IRSp53
gene3281,Spn
gene3283,Gbs-76A
gene13377,5-HT1A
gene3762,Det
gene11286,CG31688
gene11287,CG15130
gene11281,chas
gene11282,mtRNApol
gene11283,CG5080
gene4037,beat-IIa
gene11288,lwr
gene11289,CG9864
gene1286,CG42322
gene1287,AP-1sigma
gene1282,CG32755
gene1283,prtp
gene1280,CG1703
gene1281,CG7084
gene4151,CG14450
gene1289,CG31140
gene7840,Dhc36C
gene11860,Ncc69
gene11861,CG32069
gene11863,Spt
gene11866,CG9666
gene11867,CG42374
gene6880,CG8654
gene6883,dpr4
gene7846,NC2beta
gene6886,CG34351
gene6889,Xpac
gene6777,l(2)37Bb
gene6776,Fer1
gene6775,rngo
gene5289,Hipk
gene6773,Ing5
gene6772,CG31475
gene6771,CG6656
gene5280,lmgA
gene5286,Nf-YA
gene5284,pod1
gene5285,Ufm1
gene8348,Tango2
gene7829,Schip1
gene8838,Manf
gene8839,CG3420
gene459,CG17816
gene328,chn
gene455,LanB1
gene454,siz
gene7822,JMJD7
gene324,CG3609
gene323,CG3860
gene450,cher
gene321,CG2269
gene320,CG9084
gene2700,CG3430
gene2701,Ccz1
gene2254,CG44422
gene2704,CG33722
gene2705,ecd
gene2709,Gk2
gene6412,SCCRO
gene6413,GluRS-m
gene6410,Idgf4
gene6411,ms(3)76Ca
gene6416,Gnf1
gene6417,nan
gene6414,CG34384
gene6418,l(1)G0289
gene13105,Vps51
gene13104,CG42382
gene13107,CG12179
gene13106,SmD2
gene13101,EMRE
gene13100,fliI
gene13103,NoSymbolFound
gene13102,RPA3
gene4223,RpS24
gene16559,SerT
gene16555,CG5110
gene16554,CG4074
gene16556,CG5543
gene16551,CG5056
gene4221,His2A:CG31618
gene9347,Orc6
gene8749,CG11007
gene9345,sro
gene7932,RpS8
gene8213,SmD3
gene8746,RpL6
gene236,CG18304
gene12417,CG8204
gene2425,CG12659
gene8217,Csp
gene3073,CG31915
gene14319,CG17707
gene3077,Sugb
gene3076,Mys45A
gene3075,mtDNA-helicase
gene3079,RanGAP
gene3078,CG14688
gene3400,CG12164
gene1501,CG45071
gene1500,CG5191
gene1503,CG13204
gene1509,tna
gene3616,Hn
gene3615,Clk
gene3614,CG32369
gene3619,frac
gene14952,tos
gene14956,AOX2
gene98,wal
gene99,Patj
gene93,DIP-delta
gene90,CG6013
gene91,CG15506
gene96,alien
gene5512,CG17746
gene5513,CoRest
gene5511,lin-52
gene5516,CG32532
gene5514,mRpL41
gene5515,Las
gene2888,CG12502
gene2884,TM9SF3
gene2883,CG4332
gene6962,MBD-R2
gene6960,mRpS14
gene6961,RpLP1
gene6967,phr6-4
gene6969,faf
gene10673,NoSymbolFound
gene8645,sals
gene8644,ND-B17.2
gene8647,CG17230
gene7610,kdn
gene7617,Ykt6
gene8640,mbo
gene7615,CG18003
gene8139,bsh
gene7618,CG10463
gene14049,Osi18
gene14048,Osi19
gene11679,dx
gene11678,CG15279
gene11677,CG1698
gene11671,CG4872
gene11670,jnj
gene11673,Rpn7
gene11672,CG12994
gene10817,Ser
gene10815,CG14322
gene10812,aub
gene1349,CG6907
gene1348,Tsp68C
gene1341,ALiX
gene7676,CG13284
gene10720,Mlc-c
gene10721,dUTPase
gene10722,HINT1
gene10724,CG8230
gene10725,Prosbeta1
gene10726,eIF2alpha
gene10727,Dek
gene10728,RpS20
gene10729,cora
gene7679,CG11122
gene4836,CG15445
gene4837,M6
gene4834,PI31
gene3827,LanB2
gene4832,moody
gene9510,Fs
gene3823,CG42673
gene3829,CG4570
gene4838,IntS6
gene9519,CG6665
gene154,CG5022
gene155,CG10194
gene156,PlexB
gene157,CG43915
gene150,Sra-1
gene151,Duba
gene152,CaMKI
gene158,Mkrn1
gene1758,CG4914
gene1759,CG11836
gene1750,nAChRalpha1
gene1752,phtf
gene9779,CG15080
gene9773,pug
gene9770,CG5214
gene9776,bun
gene9777,CG30159
gene9774,roh
gene9775,Rcd6
gene3089,CG16717
gene15947,QIL1
gene15943,CG4666
gene15941,CG14838
gene15949,CG10576
gene15948,Moca-cyp
gene13732,TpnC47D
gene13733,CG2258
gene13730,rogdi
gene2069,CG7860
gene2063,nAChRalpha4
gene2066,Slc45-1
gene2064,CG34031
gene3442,CG11307
gene3443,sqh
gene3440,Spg7
gene3441,cv
gene5878,CG8916
gene3444,fw
gene5877,Lcch3
gene5876,Lrp4
gene5871,CG17260
gene5873,CG5921
gene5872,CG13558
gene497,CG5745
gene14540,Pak3
gene14541,CG14882
gene14542,nsl1
gene14543,Hat1
gene14544,CG10979
gene14546,Scm
gene14547,Non3
gene12068,Rint1
gene7581,mRpS25
gene7580,msn
gene7587,Atg9
gene7586,CG16865
gene7589,Prosalpha4
gene12062,net
gene12065,CG9331
gene12067,sbr
gene6197,vnd
gene6196,Mf
gene6195,e(y)3
gene6194,Roc1a
gene15492,Gbs-70E
gene4589,Fkbp14
gene4581,MESK2
gene4050,AsnRS
gene4059,TkR99D
gene1323,CG42249
gene1322,rdgA
gene5354,Fgop2
gene5355,Sec24AB
gene9163,cer
gene4138,Uch
gene4135,CG4293
gene4134,wrapper
gene4911,Sfmbt
gene14135,Drip
gene14134,Gas8
gene9185,Hr51
gene9184,vanin-like
gene11804,Tk
gene9186,sano
gene9181,CG15649
gene9180,Rich
gene9183,cert
gene9182,CG34115
gene9188,RpS11
gene3663,Gem3
gene2474,Bin1
gene8588,GlyS
gene8589,CG14395
gene8586,wkd
gene2476,Ptpmeg2
gene8584,nes
gene8585,Nmt
gene7117,CG16798
gene9989,Hil
gene9985,CG5608
gene9984,SerRS
gene9986,CG11710
gene9981,Rpn13
gene9980,CG31729
gene9982,Ogg1
gene7112,CG13784
gene6750,Wnt6
gene6753,ninaC
gene6752,Wnt10
gene5260,v
gene5261,CG4822
gene5262,CG3164
gene5265,ND-42
gene5266,CG34172
gene5267,CG43338
gene5268,MESR3
gene5269,CG13272
gene309,jagn
gene7808,PIG-V
gene8369,CG10011
gene7807,dib
gene303,rha
gene8365,CG3556
gene307,Kat60
gene306,osa
gene2273,CG32816
gene16379,P58IPK
gene13123,mge
gene13122,CG17124
gene13121,CG6495
gene13127,ND-13B
gene13126,Iml1
gene13125,upSET
gene13129,CG8974
gene16573,CG7536
gene12651,BBS9
gene12654,CSN7
gene16574,barc
gene16578,CG10280
gene4280,HDAC1
gene13385,CG42450
gene13389,CG9917
gene5239,stops
gene12470,Esp
gene3050,CG12338
gene3055,DEF8
gene3054,APP-BP1
gene3586,Pp2B-14D
gene3584,Pep
gene3583,mbf1
gene3582,Prosbeta6
gene3589,sesB
gene2188,sra
gene2189,Nup54
gene2184,kar
gene2185,Ufl1
gene2187,CG6126
gene1569,pb
gene2183,CG9919
gene9206,spag
gene3630,RIOK2
gene3632,robo1
gene9203,ITP
gene4320,CG1677
gene2920,mRpL4
gene12388,AstC
gene12389,AstCC
gene354,MAPk-Ak2
gene12382,CG15309
gene12383,PAN2
gene4328,Uev1A
gene9209,Dab
gene7248,NoSymbolFound
gene7249,RpS4
gene7247,MTF-1
gene6039,Lztr1
gene13840,CG13484
gene6031,CG6567
gene6032,Pomp
gene6034,CG42542
gene6035,Gyc88E
gene6037,CG14434
gene2863,Atg13
gene2865,Pxn
gene2864,CG7879
gene2869,tomboy20
gene2868,CG3618
gene1987,Cad88C
gene1983,CG15247
gene1988,Ude
gene14069,Osi24
gene14063,Loxl2
gene7630,CG32448
gene8113,CG1231
gene8112,P5CDh1
gene7634,mad2
gene7637,PIG-S
gene7636,Hsp83
gene11653,heix
gene11120,RpL32
gene11123,14-3-3epsilon
gene11122,Osbp
gene11125,Pph13
gene11656,MAGE
gene11127,Fibp
gene11654,CG9934
gene11129,CG8027
gene11658,Chchd2
gene10835,Hnf4
gene10292,Zpr1
gene10293,CG8800
gene10526,Rx
gene10295,spas
gene10524,CG11127
gene10525,hbn
gene10298,Xpc
gene10838,blw
gene10839,yip2
gene1363,CG31272
gene1367,Mco1
gene1366,Shawn
gene1369,CysRS-m
gene792,CG12773
gene790,Cerk
gene791,msl-2
gene824,CG6443
gene825,Tnpo
gene794,Dcr-1
gene827,CG34367
gene798,scramb1
gene799,NoSymbolFound
gene3809,CG17075
gene9578,COX7A
gene9579,Alg12
gene9574,Ugt49B2
gene3803,magu
gene4856,CG1578
gene3806,Cc2d2a
gene3807,CG3645
gene4852,ArfGAP3
gene3805,CG31917
gene178,spok
gene179,Tapdelta
gene1773,SAK
gene1771,Kaz1-ORFB
gene1777,noi
gene1774,CG11899
gene1775,mask
gene1778,sws
gene1779,Fpgs
gene9794,ea
gene13249,CG15908
gene13718,CG7970
gene13714,CG12567
gene1,Hey
gene2,Asph
gene5,CG9297
gene13244,CG15429
gene13713,gammaCOP
gene757,CG2493
gene755,ari-2
gene10786,dpr13
gene5091,pain
gene5090,Grip84
gene5097,CG12516
gene5094,CG5567
gene8275,Nep3
gene750,NoSymbolFound
gene7033,Mmp1
gene7032,SiaT
gene2511,CG40470
gene2042,CG14757
gene2516,CG43740
gene2515,NoSymbolFound
gene2514,Rrp4
gene2519,Surf4
gene2518,CG3262
gene16296,ppk9
gene16295,dmrt93B
gene16292,boss
gene16293,prt
gene16290,CG42749
gene6204,AGO3
gene9686,CG3984
gene6208,Vps39
gene16298,NoSymbolFound
gene9931,CG43066
gene3996,ph-p
gene5898,Mlp84B
gene15920,Fer3
gene14527,CG16890
gene14524,CG43366
gene14523,Sec16
gene12048,Usp16-45
gene12047,CG30389
gene12046,CG2701
gene12045,CG16989
gene12043,CG13449
gene12042,mmy
gene12040,levy
gene14294,CG32536
gene14295,CG30197
gene14291,jdp
gene14298,CG6066
gene2931,Mcm10
gene3894,JIL-1
gene6938,CG43901
gene4079,Mtor
gene4070,RpA-70
gene4071,Pbp95
gene4077,CG7650
gene4119,shu
gene4118,Alk
gene3890,emc
gene11358,yellow-g
gene11359,yellow-e
gene11352,CG12880
gene11353,CG13096
gene11820,Cluap1
gene11357,yellow-g2
gene11822,Phae1
gene11823,CG17600
gene10193,SMC5
gene5309,eIF5B
gene10197,NaCP60E
gene10195,CG6765
gene5303,sty
gene5301,Edem1
gene5300,CG31036
gene8560,sea
gene8563,CG31715
gene8564,CG2021
gene8567,CG12025
gene8568,CG13193
gene8569,Vinc
gene7793,Cpr49Ab
gene7790,Cpr49Af
gene7791,Cpr49Ae
gene9961,AkhR
gene9960,Aatf
gene9966,Tmhs
gene9969,CG10512
gene5246,dos
gene5247,Tmem131
gene360,trh
gene5242,CG7264
gene5243,HDAC11
gene5240,Gycbeta100B
gene5241,Gycalpha99B
gene368,CG3703
gene9063,O-fut2
gene8300,mRpL44
gene8301,Sas-4
gene7862,Nha1
gene7868,CG9175
gene7869,stai
gene3576,CG30427
gene3570,CG1142
gene5906,clos
gene3899,CG7246
gene2007,Rcd1
gene2553,Cog6
gene2000,CG5023
gene584,lid
gene2551,UbcE2M
gene581,Chd1
gene2002,Ask1
gene1092,Akr1B
gene1090,CG3295
gene2214,IntS1
gene2216,Vps33B
gene2213,CG2260
gene3037,ssp7
gene3033,snf
gene3032,CG9205
gene3031,fz2
gene1544,Ubx
gene12679,CG14220
gene12673,CG3104
gene12674,RpS21
gene12677,CG32264
gene4685,Adck5
gene4684,eIF2beta
gene4686,DOR
gene4681,CG12974
gene4680,RhoGEF4
gene4688,CG1246
gene15026,MESR4
gene13508,CG14621
gene13504,mfrn
gene13507,Sfxn1-3
gene7941,CG10616
gene12909,CG11997
gene12458,CG30373
gene12459,HEATR2
gene12454,CG6398
gene12450,CG2519
gene12451,unk
gene12452,gig
gene12453,CNPYb
gene7268,CG12213
gene59,stg
gene7267,CG2202
gene7265,CG18547
gene6018,DAAM
gene6016,Sgs1
gene6017,CG13875
gene6012,MCTS1
gene6010,mesh
gene6011,NAT1
gene14889,ec
gene2848,pnut
gene14881,Cdc5
gene14880,CG4603
gene2842,CG13510
gene2845,trio
gene2846,CG6610
gene8021,Blos2
gene14662,ND-SGDH
gene14080,Osi12
gene14083,loqs
gene14082,Wdr24
gene14084,5-HT7
gene7657,rdo
gene8174,Ptip
gene8173,Pp1alpha-96A
gene8172,ATPsynbeta
gene8170,sff
gene14669,Pcl
gene14668,CG1622
gene11104,CdGAPr
gene11102,schlank
gene11100,TBPH
gene1307,CG8067
gene1309,CG6144
gene1308,thoc7
gene7804,CG17221
gene8798,Fas3
gene778,tipE
gene779,Teh3
gene774,MICU3
gene775,bnl
gene800,CG7071
gene8790,Rev1
gene770,PlexA
gene8796,CG32436
gene772,NoSymbolFound
gene773,CG3709
gene13886,Tsp29Fb
gene13887,Eip63F-1
gene13882,mys
gene13883,Ret
gene13888,spict
gene9220,cype
gene9221,Gss1
gene4870,CG17807
gene9551,CG5846
gene9224,cyst
gene9225,CG12822
gene4306,CG13991
gene4307,CG13634
gene4309,CG44249
gene9558,Not11
gene9559,Mau2
gene10505,CG6607
gene13088,Cog3
gene13089,IFT20
gene112,CG7518
gene113,Lap1
gene13080,lost
gene115,CG2765
gene116,lbk
gene117,spidey
gene15979,mago
gene6658,ND-MLRQ
gene6651,Fadd
gene6652,eIF4E7
gene10769,mRpS17
gene10764,CG9313
gene10765,CG15651
gene10767,Sema1a
gene10763,CG31051
gene13260,w
gene13261,Pi3K92E
gene13262,Nsun5
gene13268,DCX-EMAP
gene13269,bin3
gene7019,Hacd1
gene7018,CG7168
gene7011,CngB
gene7010,RasGAP1
gene2533,CG18549
gene2535,CG1806
gene2534,RhoGAP92B
gene2537,Mvd
gene2536,RhoGAP15B
gene2027,Abi
gene2023,CG11791
gene6223,Dbp21E2
gene6222,tam
gene6225,FucT6
gene6224,CG31957
gene2028,Cyp304a1
gene12026,Drgx
gene12021,Mtp
gene12022,cutlet
gene14268,exd
gene9816,TTLL15
gene9814,l(2)05714
gene3877,NoSymbolFound
gene14265,RpL7A
gene3207,CG1662
gene4091,CG6707
gene4093,CG5027
gene4095,PDCD-5
gene4096,CG5262
gene3209,Not1
gene4098,CG30094
gene11594,CG13894
gene11590,CG33120
gene11591,chk
gene11593,Chrac-16
gene13943,CG17211
gene11371,Rrp47
gene11372,tzn
gene11374,CG13097
gene11376,CG11125
gene11377,CG10778
gene11378,UK114
gene11379,CG4382
gene6827,CG10877
gene6825,Fbw5
gene6828,SLC5A11
gene5325,slp2
gene5327,CG42399
gene5329,crm
gene8094,CG3328
gene8095,PTP-ER
gene8096,Ada3
gene8090,CCT6
gene8091,Cdk1
gene8092,CG8245
gene8093,Trx-2
gene8099,CG1441
gene6799,CG11342
gene6791,CG2225
gene6797,ND-51
gene5228,mbt
gene5229,Sik2
gene5222,CG1582
gene5223,Ork1
gene7849,Dsk
gene349,blow
gene348,Ssdp
gene8894,ImpL2
gene344,CG11693
gene347,CG5676
gene8897,CG1418
gene341,alphaSnap
gene7847,CG42588
gene8892,asf1
gene7845,rau
gene9943,CG14367
gene9942,CG5382
gene9944,flfl
gene3936,RhoGEF64C
gene9375,CG14253
gene8209,Cpr57A
gene3933,Ibf1
gene14302,Dhod
gene14300,sw
gene2230,Cam
gene2231,CG42700
gene2236,CG6523
gene2237,CG14903
gene8756,CG42340
gene9053,RhoGAP5A
gene2239,CG31106
gene9057,Txl
gene9056,MTPAP
gene9055,tun
gene9054,PIP5K59B
gene3015,CG32599
gene3542,CG7339
gene3541,CG32085
gene8754,CG18278
gene3011,rdgB
gene3010,CG15312
gene5918,MED25
gene5919,Vps2
gene8753,Nnp-1
gene3549,CG2685
gene3548,CG11539
gene5912,Ir76b
gene3018,Usp5
gene227,Nrk
gene3938,Sb
gene15520,Rdl
gene13691,CSN5
gene13690,NoSymbolFound
gene8750,dj-1beta
gene13694,ball
gene15524,ppl
gene12610,KdelR
gene15041,Osi22
gene13529,CG7956
gene13527,Octbeta1R
gene13524,Octbeta2R
gene2498,MESK4
gene2499,CCHa2
gene2494,Ect3
gene2493,mRpS30
gene12920,MRP
gene12923,NoSymbolFound
gene12924,CG4101
gene12925,Vps24
gene12927,bic
gene12928,Rala
gene12929,DNAlig4
gene7204,Nup214
gene7205,CG6724
gene7206,SA
gene7207,Hyccin
gene7200,GMF
gene7201,cni
gene7203,aph-1
gene70,COX5A
gene71,Nrg
gene73,htl
gene7208,CG14321
gene75,Synj
gene76,CG33003
gene77,CG6785
gene6074,eIF2Bepsilon
gene6070,CCKLR-17D3
gene6071,snz
gene6078,Arl1
gene2827,CG15708
gene2826,CG3335
gene2825,Tim10
gene2823,Ehbp1
gene2822,Cpr56F
gene7674,CG43340
gene8156,CNT2
gene7673,CG1316
gene7672,Hk
gene8159,Ubc10
gene11169,CG4849
gene11164,CG32544
gene11167,Mks1
gene11166,CG15725
gene11161,CG9636
gene11163,slgA
gene1859,otu
gene1858,NoSymbolFound
gene1852,dsf
gene1851,Ppox
gene1850,Taf13
gene1857,NoSymbolFound
gene1856,shtd
gene1855,Caf1-105
gene1854,Jafrac2
gene10824,PIG-U
gene282,Msh6
gene287,ERp60
gene11788,Dlg5
gene11782,Rhau
gene4326,CG14921
gene4327,CG11771
gene4324,Naa60
gene4325,Rnf146
gene4322,CG5274
gene4323,CG9107
gene9200,CG30069
gene4321,NoSymbolFound
gene9208,PIG-F
gene4329,Cyt-c1
gene10569,CG12009
gene10566,CG14968
gene10564,CG13676
gene10565,CG13675
gene10563,CG15561
gene10560,en
gene10561,GalT1
gene13062,rut
gene13063,CG4884
gene13060,CG14464
gene13061,Pfdn4
gene13066,bru1
gene13064,Ocrl
gene13065,NoSymbolFound
gene12436,kraken
gene12437,Rrp40
gene12342,IPIP
gene6679,Rcd-1
gene6671,Dbp80
gene10782,inaF-D
gene10783,CG7523
gene754,sina
gene10781,CG3735
gene752,NfI
gene10784,CG12947
gene10785,RpS29
gene10788,Rtca
gene7823,Coq7
gene758,rtet
gene759,Sc2
gene13208,CG3732
gene13209,SNRPG
gene4746,HLH4C
gene132,CG8031
gene131,CG16952
gene137,a
gene134,Arfip
gene139,Ranbp9
gene7079,CG8997
gene2558,Awh
gene2556,Mbs
gene2555,Rab21
gene2554,CG44774
gene7073,spn-B
gene2552,msk
gene7071,mib2
gene7070,alpha-Man-IIb
gene16253,CG7841
gene16256,Vps45
gene16257,Sirt7
gene16255,IleRS-m
gene16258,mRpS6
gene16259,CG5013
gene12009,frj
gene12550,CG16935
gene12001,Dic1
gene12007,Amun
gene12006,asun
gene12004,Wdr81
gene16077,CG43446
gene16071,CG13331
gene1661,Ace
gene1663,CG8483
gene3200,CG4038
gene3201,GstS1
gene3204,CG7220
gene3205,CG15743
gene3758,Rcd5
gene3759,Rrp42
gene3757,Ids
gene3754,CG10347
gene3752,vir
gene3753,CG8768
gene15252,p53
gene15251,CG7139
gene15525,CG9391
gene15256,CG32281
gene15526,Prp4k
gene14789,CG7519
gene14787,CG3902
gene11572,CG9272
gene11570,CG10747
gene11576,Exo70
gene5691,CG11436
gene5693,SH3PX1
gene5692,NoSymbolFound
gene5696,Ets98B
gene11314,Ubr3
gene11312,B9d1
gene6801,velo
gene6800,Tap42
gene6803,fs(2)ltoPP43
gene6802,Chmp1
gene6804,ush
gene11318,l(1)G0193
gene14578,Vha16-1
gene14128,CG7706
gene5343,Tsp2A
gene5342,Tmtc3
gene5340,CG33769
gene14123,CG32099
gene14121,CG3634
gene14126,Ssadh
gene14127,stac
gene14124,Nrx-IV
gene5348,CG16786
gene9323,CG16896
gene7006,CG14661
gene5202,OtopLb
gene5203,Rpt3
gene10954,Hrs
gene5206,Aasdh
gene5207,Gdi
gene5204,bbx
gene5205,Yippee
gene5208,CG33298
gene10959,CG11975
gene10958,Shmt
gene16363,alphaCOP
gene10049,Afti
gene10048,CG6171
gene10041,lig
gene10040,puf
gene10043,mRpL45
gene10042,loco
gene10045,UGP
gene10044,CG2846
gene10046,CG8372
gene3989,PGAP5
gene3988,CG6870
gene9929,Cep89
gene9695,Lgr1
gene9694,Mgstl
gene9697,Sirt2
gene3980,neo
gene3987,CG14414
gene7003,CG31800
gene1053,Ranbp16
gene10957,CG10311
gene1057,Tnks
gene10956,CG3436
gene1059,CG5196
gene1058,Rab27
gene9071,cpa
gene9073,Calx
gene9072,PNPase
gene9074,CG8243
gene10952,CG7215
gene5975,CG3156
gene5971,gol
gene5973,PPP4R2r
gene10950,Aldh-III
gene5978,CG3386
gene7001,Atu
gene9210,CG14230
gene1581,betaCOP
gene1580,up
gene1582,CG5160
gene1584,ChT
gene12860,beta4GalT7
gene11796,CG15449
gene12636,Ack
gene12637,htt
gene9217,CG9588
gene12633,CG8854
gene12867,CG3862
gene4462,Uch-L5
gene13544,Hsepi
gene13546,PGAP3
gene13540,CG8545
gene13543,Drep2
gene12498,Nmdmc
gene7197,CG10628
gene7190,CG12007
gene7191,CSN8
gene7192,pcm
gene7193,SCAP
gene12491,Lsp2
gene12493,CG6227
gene7198,CG14231
gene12497,CG1236
gene12947,Vha55
gene12944,Uros1
gene12945,mino
gene6581,CG15269
gene12940,Hmx
gene12941,slou
gene3561,CG17712
gene3560,Rh3
gene6588,p23
gene6589,GlyRS
gene3567,CG11141
gene3566,Mesh1
gene12,CG31635
gene13,cic
gene7228,vvl
gene16,Klf15
gene17,CG30440
gene15,pygo
gene2611,CG8314
gene7221,SmydA-8
gene2616,Su(P)
gene2617,ValRS-m
gene11794,CG10019
gene6053,CG14196
gene6050,Capa
gene6051,HemK1
gene6056,CG8028
gene16442,Sce
gene16441,gkt
gene6055,CG8034
gene3696,CG11247
gene3695,Tgs1
gene3694,gwl
gene3692,ND-24
gene3691,Ced-12
gene3690,CG16790
gene5592,Atf3
gene5593,Sec61gamma
gene5594,Npc2a
gene5598,AANAT1
gene2804,CG42324
gene14334,CG9044
gene2801,CG17249
gene2800,Alg14
gene2803,GEFmeso
gene2802,scu
gene14338,Peritrophin-A
gene13407,CG11562
gene11142,wbl
gene4759,UQCR-Q
gene4752,FMRFa
gene4757,CG6836
gene4756,Ts
gene4755,RASSF8
gene4754,CG7379
gene9268,CG17985
gene4344,CG43347
gene4345,CG9300
gene4346,Sf3b3
gene9267,NoSymbolFound
gene9260,CG7083
gene9261,Mettl3
gene4343,CG10077
gene10232,CG5910
gene10230,Arl2
gene10540,tor
gene10237,Rab23
gene10542,Grip71
gene10543,Sox14
gene6616,brn
gene6617,CG31759
gene6610,usp
gene6613,CG17508
gene6619,Lamp1
gene730,EndoA
gene731,fuss
gene732,Dsor1
gene4968,fipi
gene4969,Tps1
gene4960,Epg5
gene9481,Cht8
gene4963,alc
gene4965,Ccdc85
gene15850,CrebB
gene277,Rip11
gene13048,r
gene13049,CG15865
gene13042,CG30357
gene13043,arm
gene13045,CG1632
gene13046,CG15343
gene2575,Nelf-E
gene7054,sad
gene7057,CG18635
gene12798,tws
gene7051,Tpr2
gene2570,beg
gene2573,Snx16
gene7052,CG31816
gene12793,Dhc62B
gene12791,TAF1B
gene12790,CG12395
gene2579,acj6
gene7058,312
gene12795,CG15482
gene6267,CG5026
gene6261,DCTN3-p24
gene6268,CG5828
