GeneName,GeneSymbolOrthologs
AGAP006575,CG12975
AGAP006576,CG10512
AGAP006579,CG42337
AGAP006580,park
AGAP006584,CG42259
AGAP006590,sif
AGAP006591,lin-28
AGAP006592,Blimp-1
AGAP006593,CG15528
AGAP006594,MFS9
AGAP006596,CG10510
AGAP006598,ko
AGAP006599,mle
AGAP006600,CG42245
AGAP006601,MEP-1
AGAP006602,CG14949
AGAP006604,CG6610
AGAP006605,ssp6
AGAP006607,eIF3i
AGAP006608,CG13933
AGAP006609,CG42269
AGAP006611,nopo
AGAP006612,RpL29
AGAP006613,eIF3j
AGAP006614,bic
AGAP006615,zda
AGAP006616,CG3107
AGAP006617,CG5721
AGAP006618,Tsen54
AGAP006619,CG16753
AGAP006620,CG7974
AGAP006621,Atxn7
AGAP006623,Vps53
AGAP006624,ValRS-m
AGAP006625,epsilonCOP
AGAP006627,ICA69
AGAP006629,RSG7
AGAP006630,ND-MWFE
AGAP006631,Corin
AGAP006632,Mad1
AGAP006633,Syn2
AGAP006634,Sema2a
AGAP006635,CG4409
AGAP006638,Oatp58Dc
AGAP006642,dve
AGAP006643,CG5819
AGAP006644,wdp
AGAP006645,Gp150
AGAP006646,T3dh
AGAP006647,Lapsyn
AGAP006648,Sec15
AGAP006649,Upf3
AGAP006650,mRpS28
AGAP006651,Dci
AGAP006652,Usp10
AGAP006653,rogdi
AGAP006654,CG7724
AGAP006655,CG31036
AGAP006656,Rbp6
AGAP006657,CG42304
AGAP006658,Snup
AGAP006659,mkg-p
AGAP006660,Idh
AGAP006661,Ndc80
AGAP006662,CG3165
AGAP006663,CG9386
AGAP006665,Mbs
AGAP006669,Gug
AGAP006670,l(3)72Dp
AGAP006671,wac
AGAP006674,CG10472
AGAP006678,CycT
AGAP006680,dgt1
AGAP006682,Exo70
AGAP006683,CG14977
AGAP006684,mRpL46
AGAP006685,sra
AGAP006686,alpha-Spec
AGAP006687,Ccz1
AGAP006688,SrpRbeta
AGAP006691,Ir52b
AGAP006699,h
AGAP006702,smg
AGAP006705,CG15020
AGAP006709,CG4053
AGAP006713,Gr59f
AGAP006714,BTBD9
AGAP006715,fray
AGAP006719,CG33506
AGAP006720,ppk3
AGAP006721,CG33143
AGAP006727,clt
AGAP006729,CG9119
AGAP006730,CG17019
AGAP006733,Ref1
AGAP006734,Xrcc2
AGAP006735,CG34124
AGAP006736,sug
AGAP006738,CG34454
AGAP006739,CG7173
AGAP006740,CG12016
AGAP006741,CG42324
AGAP006744,NijA
AGAP006746,sqa
AGAP006747,Rel
AGAP006749,narya
AGAP006755,snRNP-U1-70K
AGAP006758,pad
AGAP006761,GNBP1
AGAP006762,Dgk
AGAP006763,CG14464
AGAP006765,RYa
AGAP006766,Nacalpha
AGAP006767,CG8080
AGAP006768,Dgkepsilon
AGAP006769,CNMa
AGAP006771,egr
AGAP006772,CG2269
AGAP006773,CG9084
AGAP006774,nwk
AGAP006776,rno
AGAP006777,mri
AGAP006778,Gk1
AGAP006780,CG6638
AGAP006783,Gmd
AGAP006784,CG5961
AGAP006786,FoxL1
AGAP006788,AgmNAT
AGAP006789,CG14985
AGAP006791,scrt
AGAP006797,mre11
AGAP006798,tra2
AGAP006799,Fdx1
AGAP006800,jigr1
AGAP006802,mRpS35
AGAP006803,Klp67A
AGAP006804,mRRF1
AGAP006805,ldbr
AGAP006806,Tpc1
AGAP006807,CG7550
AGAP006808,CG32409
AGAP006809,akirin
AGAP006810,Eaf6
AGAP006811,l(3)mbt
AGAP006814,ntc
AGAP006815,CG30428
AGAP006817,dre4
AGAP006818,RnrS
AGAP006819,Hydr1
AGAP006820,Pex5
AGAP006821,yip2
AGAP006823,CG30377
AGAP006824,Mthfs
AGAP006825,Trpm
AGAP006828,Cpr66Cb
AGAP006830,Cpr62Bb
AGAP006835,GV1
AGAP006838,Cpr62Ba
AGAP006866,Cpr76Bb
AGAP006867,Cpr76Bc
AGAP006868,Cpr76Bd
AGAP006871,RpS4
AGAP006872,niki
AGAP006873,RabX4
AGAP006878,CG34150
AGAP006879,ATPsynE
AGAP006880,lili
AGAP006882,CG6980
AGAP006883,CG5726
AGAP006884,Golgin245
AGAP006885,Prp8
AGAP006887,CG8407
AGAP006888,Git
AGAP006889,Elp2
AGAP006890,Arf51F
AGAP006892,CG15236
AGAP006893,CG33993
AGAP006894,qm
AGAP006895,Srp19
AGAP006896,CG14834
AGAP006898,Cht7
AGAP006900,CG32369
AGAP006901,Zasp52
AGAP006903,SiaT
AGAP006904,Mmp1
AGAP006905,CG34251
AGAP006907,Adgf-A
AGAP006908,Ccn
AGAP006911,Spn27A
AGAP006913,CG13313
AGAP006914,CG31832
AGAP006915,CG12093
AGAP006916,mRpL54
AGAP006918,ND-19
AGAP006921,ced-6
AGAP006923,unpg
AGAP006924,DCTN6-p27
AGAP006925,Pgant1
AGAP006926,Pdh
AGAP006931,Cpr72Ec
AGAP006932,sti
AGAP006933,CG12025
AGAP006934,CG13924
AGAP006935,tral
AGAP006936,Cyt-c1
AGAP006937,Uev1A
AGAP006938,Art7
AGAP006939,armi
AGAP013107,Mitf
AGAP006940,CG4558
AGAP006941,Dbp73D
AGAP006942,Arts
AGAP006943,CG9706
AGAP006944,eIF3e
AGAP006946,Pfdn4
AGAP006947,CG6479
AGAP006948,ringer
AGAP006949,CG6512
AGAP006950,CG13876
AGAP006951,CG4645
AGAP006952,NoSymbolFound
AGAP006953,NoSymbolFound
AGAP006954,CG4998
AGAP006955,CG3955
AGAP006956,CG10339
AGAP006958,Hsp83
AGAP006960,Wsck
AGAP006962,Mipp1
AGAP006963,Mtch
AGAP006964,CG32147
AGAP006965,l(3)76BDm
AGAP006966,Gabat
AGAP006967,CG32521
AGAP006969,CG8195
AGAP006974,Toll-9
AGAP006977,CG17738
AGAP006988,Nrk
AGAP006989,sub
AGAP006990,Bap170
AGAP006991,CG3348
AGAP006992,anchor
AGAP006993,f-cup
AGAP006994,Herc4
AGAP006995,Sk2
AGAP006996,mEFTu1
AGAP006997,AlaRS-m
AGAP006998,SA
AGAP006999,CG14086
AGAP007000,CG10674
AGAP007001,CG4603
AGAP007002,TfIIFbeta
AGAP007003,TORIP
AGAP007005,CG30089
AGAP007006,jbug
AGAP007008,CG42260
AGAP007010,Iml1
AGAP007012,NKAIN
AGAP007018,vis
AGAP007019,Strump
AGAP007020,Prx6005
AGAP007023,cue
AGAP007024,Ntf-2
AGAP007025,CG30001
AGAP007026,Ccs
AGAP007027,Sans
AGAP007029,Ugt302C1
AGAP007031,sca
AGAP007038,luna
AGAP007044,twz
AGAP007046,Shal
AGAP007049,CG10433
AGAP007050,Non1
AGAP007051,pio
AGAP007052,CG4681
AGAP007054,Indy
AGAP007056,SIFa
AGAP007057,Start1
AGAP007058,Dll
AGAP007062,ETH
AGAP007063,Orc4
AGAP007065,gem
AGAP007066,CG10927
AGAP007068,mdlc
AGAP007071,CG4576
AGAP007079,CG9447
AGAP007080,fdl
AGAP007081,s-cup
AGAP007082,ND-18
AGAP007083,CG7110
AGAP007085,CG11737
AGAP007086,NaCP60E
AGAP007088,CG2852
AGAP007092,Dscam4
AGAP007093,cert
AGAP007094,CG7201
AGAP007096,Rab19
AGAP007097,eIF2Bbeta
AGAP007098,CG2063
AGAP007099,sha
AGAP007100,nompA
AGAP007101,Mur2B
AGAP007102,CG7741
AGAP007103,Cals
AGAP007104,Fpps
AGAP007105,CG14085
AGAP007106,Usp47
AGAP007108,Patj
AGAP007109,CG13287
AGAP007110,vn
AGAP007111,kri
AGAP007112,CG4364
AGAP007113,Agpat3
AGAP007114,roq
AGAP007115,CG11596
AGAP007116,CG1943
AGAP007117,Not11
AGAP007118,PTP-ER
AGAP007119,Sfxn2
AGAP007120,awd
AGAP007121,Cyt-b5
AGAP007123,Sardh
AGAP007125,l(2)09851
AGAP007126,Pms2
AGAP007127,Dhit
AGAP007128,CG5033
AGAP007129,CG1233
AGAP007130,Ptpmeg
AGAP007131,AP-2mu
AGAP007133,NoSymbolFound
AGAP007135,tn
AGAP007136,5-HT1A
AGAP007137,Liprin-gamma
AGAP007138,wus
AGAP007139,CG42249
AGAP007141,CG31269
AGAP007143,Ltn1
AGAP007144,Rcd7
AGAP007145,CG9300
AGAP007146,CG9231
AGAP007147,Rrp47
AGAP007157,RpS27
AGAP007162,l(2)efl
AGAP007163,Pde8
AGAP007164,CG7884
AGAP007166,l(2)dtl
AGAP007167,Tim9b
AGAP007168,Alg3
AGAP007169,Sesn
AGAP007170,Mabi
AGAP007172,eIF4E1
AGAP007173,Fadd
AGAP007174,CG4080
AGAP007175,Cds
AGAP007176,Snx16
AGAP007177,spz5
AGAP007180,Tet
AGAP007181,Svil
AGAP007197,Npc2d
AGAP007201,CG8993
AGAP007202,CG15877
AGAP007203,shg
AGAP007204,CG1317
AGAP007205,Rai1
AGAP007208,ND-B14.7
AGAP007209,Tsp42Ea
AGAP007210,TM4SF
AGAP007211,rswl
AGAP007212,pea
AGAP007213,CG5189
AGAP007214,CG17669
AGAP007215,nst
AGAP007217,Prp19
AGAP007218,eIF2beta
AGAP007220,Rcp
AGAP007221,CG7879
AGAP007237,Pxn
AGAP007238,CG16986
AGAP007239,CG12182
AGAP007240,CG16984
AGAP007242,Cpsf5
AGAP007243,Rpt6
AGAP007244,CG6724
AGAP007246,SmD1
AGAP007247,Nca
AGAP007248,CG7646
AGAP007249,fln
AGAP007253,CG11537
AGAP007254,CG13096
AGAP007256,drpr
AGAP007257,CG14135
AGAP007258,Irp-1B
AGAP007259,CG1161
AGAP007273,CG5770
AGAP007279,tna
AGAP007280,ndl
AGAP007281,Obp93a
AGAP007283,Obp58c
AGAP007284,CG5895
AGAP007285,NoSymbolFound
AGAP007288,CG4660
AGAP007294,Diap1
AGAP007295,CG5645
AGAP007296,Atg12
AGAP007297,ND-SGDH
AGAP007299,msk
AGAP007300,NoSymbolFound
AGAP007301,Rpp25
AGAP007302,Tdc1
AGAP007305,Tdc2
AGAP007306,Mob4
AGAP007307,Epac
AGAP007308,kmg
AGAP007309,SdhB
AGAP007311,koi
AGAP007316,tow
AGAP007323,Gr58c
AGAP007324,CG15237
AGAP007325,Rbp1
AGAP007326,Lsm11
AGAP007327,Eip74EF
AGAP007332,GAPcenA
AGAP007333,NoSymbolFound
AGAP007334,Tektin-C
AGAP007335,Bre1
AGAP007336,corn
AGAP007338,CG14744
AGAP007339,TpnC47D
AGAP007340,Glut1
AGAP007342,Hipk
AGAP007347,CG7798
AGAP007348,CG31638
AGAP007349,prc
AGAP007358,CG10657
AGAP007359,CG15021
AGAP007361,Sec63
AGAP007362,Sh3beta
AGAP007363,galla-1
AGAP007365,exu
AGAP007366,CG13585
AGAP007367,DAT
AGAP007371,CG5928
AGAP007373,Tsp5D
AGAP007374,Ugt49C1
AGAP007375,Hyccin
AGAP013291,Bet3
AGAP007376,Nf-YA
AGAP007377,MTF-1
AGAP007378,CG11539
AGAP013544,NoSymbolFound
AGAP007380,NP15.6
AGAP007381,Grasp65
AGAP007382,Fem-1
AGAP007383,CG13437
AGAP007384,Lrt
AGAP007385,CG11159
AGAP007387,DMAP1
AGAP007388,CG13185
AGAP007390,Pngl
AGAP007391,CG9410
AGAP007392,CG17266
AGAP007393,ERp60
AGAP007394,Aatf
AGAP007395,Dis3l2
AGAP007396,lqf
AGAP007397,CG33786
AGAP007398,CG11110
AGAP007400,CG9449
AGAP007402,cerv
AGAP007406,NoSymbolFound
AGAP007413,MCPH1
AGAP007416,exp
AGAP007417,CG7376
AGAP007418,PI31
AGAP007419,Parp16
AGAP007420,NoSymbolFound
AGAP007422,MAN1
AGAP007423,Ctf4
AGAP007450,Hey
AGAP007452,Exn
AGAP007458,dgrn
AGAP007459,BBS1
AGAP007460,Acbp2
AGAP007472,melt
AGAP007473,Fkbp39
AGAP007474,rhea
AGAP007475,CG10672
AGAP007476,Prpk
AGAP007477,RfC4
AGAP007478,stau
AGAP007479,CG7560
AGAP007481,Chrac-16
AGAP007482,Rint1
AGAP007485,CG10795
AGAP007488,CG13203
AGAP007489,magu
AGAP007490,CG15373
AGAP007491,Qsox1
AGAP007492,Srp9
AGAP007493,CG7840
AGAP007494,Flo1
AGAP007497,CG5948
AGAP007499,ClC-b
AGAP007500,Lac
AGAP007501,CG13920
AGAP007502,Klp61F
AGAP007503,htk
AGAP007505,CG4572
AGAP007506,CG3862
AGAP007507,mRpL48
AGAP007509,CG16989
AGAP007510,CG30467
AGAP007511,CG32344
AGAP007512,fwd
AGAP007519,mRpS22
AGAP007520,PMP34
AGAP007521,scny
AGAP007522,or
AGAP007523,zip
AGAP007524,CG3634
AGAP007529,bou
AGAP007531,CG17691
AGAP007532,Vinc
AGAP007533,DNApol-theta
AGAP013228,CG6000
AGAP007537,CG14073
AGAP007540,IntS14
AGAP007541,CG10565
AGAP007542,Vta1
AGAP007543,Jafrac2
AGAP007544,Caf1-105
AGAP007545,Nrx-IV
AGAP007546,CG32099
AGAP007547,CG9760
AGAP007548,Rh7
AGAP007549,yellow-h
AGAP007550,CAH2
AGAP007551,CG3437
AGAP007552,MESK4
AGAP007553,CG18622
AGAP007556,CG14964
AGAP007558,CG13905
AGAP007560,CG15822
AGAP007562,zormin
AGAP007563,sls
AGAP007564,CG7330
AGAP007565,CG5504
AGAP007566,Xpac
AGAP007567,oys
AGAP007568,Cap-G
AGAP007569,Mzt1
AGAP007570,CG12128
AGAP007571,CG12129
AGAP007573,CG4049
AGAP007574,ND-B18
AGAP007575,CG7519
AGAP007576,CG8270
AGAP007577,CG34015
AGAP007578,Vps8
AGAP007579,BHD
AGAP007580,RpL18
AGAP007581,CG1271
AGAP007582,mus312
AGAP007583,CG16995
AGAP007585,SLO2
AGAP007586,Cog6
AGAP007587,Pkn
AGAP007590,CG34141
AGAP007591,Tsen15
AGAP007592,Khc-73
AGAP007593,Gpdh1
AGAP007594,CG42361
AGAP007595,CG42360
AGAP007596,pnut
AGAP007597,CG12836
AGAP007598,Mos
AGAP007599,Taz
AGAP007600,Usp15-31
AGAP007601,CG8389
AGAP007603,Ote
AGAP007604,Xxylt
AGAP007605,CG15099
AGAP007606,NoSymbolFound
AGAP007607,CG2906
AGAP007608,Mef2
AGAP007611,nahoda
AGAP007613,CG8192
AGAP007614,HSPC300
AGAP007615,Rgk2
AGAP007616,pwn
AGAP007617,Br140
AGAP007618,asrij
AGAP007619,Cndp2
AGAP007620,Csp
AGAP007621,COX7C
AGAP007623,chb
AGAP007625,CG11722
AGAP007626,CG3909
AGAP007627,CG42673
AGAP007628,NoSymbolFound
AGAP007629,LanB2
AGAP007631,ACXD
AGAP007632,CG3408
AGAP007633,path
AGAP007634,RagC-D
AGAP007635,RpL7-like
AGAP007636,Lpin
AGAP007637,uri
AGAP007638,OstDelta
AGAP007640,shn
AGAP007642,Pfk
AGAP007643,14-3-3zeta
AGAP007644,RpLP0-like
AGAP007645,CG15080
AGAP007646,Mctp
AGAP007647,Jabba
AGAP007648,pk
AGAP007651,Gadd45
AGAP007653,CG8026
AGAP007654,Rab32
AGAP007655,bw
AGAP007656,apt
AGAP007657,Sdc
AGAP007658,SCCRO3
AGAP007659,CG30471
AGAP007660,CG4324
AGAP007661,CG4610
AGAP007664,CG7251
AGAP007665,CG9917
AGAP007666,CG10126
AGAP007668,eIF3g1
AGAP007669,png
AGAP007670,U2A
AGAP007674,kermit
AGAP007676,CG10062
AGAP007678,fest
AGAP007679,CG34045
AGAP007681,Rgk1
AGAP007682,CG3309
AGAP007683,Vps35
AGAP007684,Swim
AGAP007685,GEFmeso
AGAP007686,Scgalpha
AGAP007687,CG3860
AGAP007688,Pask
AGAP007689,Neos
AGAP007690,Cdc27
AGAP007696,emc
AGAP007698,Syx1A
AGAP007699,Ran
AGAP007701,cbc
AGAP007703,CG10809
AGAP007704,CG10907
AGAP007705,CG15014
AGAP007706,pav
AGAP007709,sei
AGAP007710,CG42638
AGAP007712,cyst
AGAP007713,Zip48C
AGAP007714,CG10075
AGAP007715,Ack-like
AGAP007717,CAP
AGAP007718,CG12910
AGAP007720,Csgalnact
AGAP007721,Syb
AGAP007722,NoSymbolFound
AGAP007723,CG30440
AGAP007724,Gyg
AGAP007725,CG11414
AGAP007726,Asap
AGAP007727,Cul4
AGAP007728,CG7791
AGAP007729,sax
AGAP007730,CG11883
AGAP001096,CG17162
AGAP013094,CG6660
AGAP001099,polybromo
AGAP001101,CG6414
AGAP001102,Crag
AGAP001103,Dsor1
AGAP001104,Caf1-180
AGAP001106,NoSymbolFound
AGAP001107,CG42354
AGAP001108,ttm50
AGAP001109,Ptpmeg2
AGAP001110,Snx27
AGAP001111,CG33080
AGAP001112,CG11449
AGAP001113,AdamTS-B
AGAP001116,CG11236
AGAP001118,CG9411
AGAP001124,CG6415
AGAP001126,dpr8
AGAP001130,Gld2
AGAP001133,Upf1
AGAP001134,mRpS30
AGAP001135,NoSymbolFound
AGAP001136,EMC2B
AGAP001138,ATPsynB
AGAP001139,mRpL19
AGAP001140,woc
AGAP013376,mRpL41
AGAP001141,row
AGAP001143,HDAC3
AGAP001144,CG14194
AGAP001145,Prp38
AGAP001146,CG8064
AGAP001147,CG14312
AGAP001148,l(3)05822
AGAP001149,CG12608
AGAP001150,CG8202
AGAP001151,14-3-3epsilon
AGAP001152,CG2656
AGAP001153,POLDIP2
AGAP001154,Snr1
AGAP001156,Pbp95
AGAP001157,poe
AGAP001159,Wdr24
AGAP001160,CG31100
AGAP012982,Rh6
AGAP001165,DZIP1
AGAP001166,Sld5
AGAP001167,CG14543
AGAP001168,ZAP3
AGAP001175,hec
AGAP001177,CBP
AGAP001179,mbo
AGAP001181,CG13102
AGAP001184,CheA7a
AGAP001185,CG9657
AGAP001187,ct
AGAP001190,CG7142
AGAP001194,futsch
AGAP001195,Cbp80
AGAP013523,CG15473
AGAP013230,CG15478
AGAP013386,DNApol-zeta
AGAP001200,CG9485
AGAP001201,dpr7
AGAP001203,CG32036
AGAP001206,CG32037
AGAP001207,CG34039
AGAP013518,Lk
AGAP001208,CG6340
AGAP001209,Usp32
AGAP001211,Rab8
AGAP013011,CG17230
AGAP001212,PGRP-LB
AGAP001213,sals
AGAP001214,CG5281
AGAP001217,CG5276
AGAP001220,Sirt7
AGAP001222,CG5013
AGAP013048,SLIRP2
AGAP001223,CG9630
AGAP001224,Cpsf73
AGAP001227,Grip128
AGAP001228,Rpb4
AGAP001229,Dlc90F
AGAP001230,CG15570
AGAP001231,CG7183
AGAP001232,Alg2
AGAP001233,Vps16B
AGAP001234,obe
AGAP001235,Pisd
AGAP001237,ix
AGAP001239,dpr4
AGAP001240,CG3734
AGAP001253,CG14883
AGAP001255,RecQ5
AGAP001256,Papss
AGAP001257,UGP
AGAP001261,CG14230
AGAP001265,CG12531
AGAP001267,AP-1-2beta
AGAP001268,CG14229
AGAP001270,CG31223
AGAP001271,Pcf11
AGAP001272,Regnase-1
AGAP001273,Kap-alpha3
AGAP001274,RpS15
AGAP001275,CG14551
AGAP001276,AsnRS-m
AGAP001277,CG5934
AGAP001278,CG5938
AGAP001279,NoSymbolFound
AGAP001280,Irk1
AGAP001281,Irk2
AGAP012950,CG4374
AGAP001285,Vps2
AGAP001286,IntS4
AGAP001287,Cdep
AGAP001290,Gnf1
AGAP001291,opa
AGAP001293,CG17387
AGAP001294,CG14655
AGAP001296,ctrip
AGAP001297,Shawn
AGAP001298,Saf-B
AGAP001299,CG1129
AGAP013277,betaggt-II
AGAP001300,CG4686
AGAP001301,BBS5
AGAP001302,atms
AGAP001306,NoSymbolFound
AGAP001307,Ufd1-like
AGAP001308,CG32137
AGAP001309,CG14905
AGAP001310,ste14
AGAP001311,mRpL20
AGAP001312,Scsalpha1
AGAP001313,Chd64
AGAP001314,CG5986
AGAP001315,ens
AGAP001318,CG9149
AGAP001319,CG2277
AGAP001320,Glg1
AGAP001321,CG9471
AGAP001322,Cog1
AGAP001324,CG6511
AGAP001325,Prx5
AGAP001326,Rev7
AGAP001328,bon
AGAP001330,Fur1
AGAP001334,CG4553
AGAP001335,ctp
AGAP001336,CG14439
AGAP001337,CG3078
AGAP001338,CG32533
AGAP001339,PIG-V
AGAP001341,CG1440
AGAP001342,CG12123
AGAP001344,org-1
AGAP001347,Es2
AGAP001349,CG7785
AGAP001352,CG7953
AGAP001357,CG11964
AGAP001358,mura
AGAP001361,CG9062
AGAP001362,Wdr33
AGAP001363,Mau2
AGAP001364,Ufm1
AGAP001367,GlcAT-P
AGAP001368,Camp
AGAP001369,IRSp53
AGAP001370,RASSF8
AGAP001371,Dtd
AGAP001372,Jupiter
AGAP001373,CG7379
AGAP001375,Spn100A
AGAP001380,eIF6
AGAP001381,LanB1
AGAP001382,Dh31
AGAP013112,FDY
AGAP001384,Pka-C1
AGAP001386,CG8677
AGAP001388,dmrt93B
AGAP001389,HHEX
AGAP001391,rtet
AGAP001393,Sgf11
AGAP001394,Snap25
AGAP001395,CG6865
AGAP001396,CG15743
AGAP001397,CG6294
AGAP001398,CG6299
AGAP001399,betaCOP
AGAP001400,CG31109
AGAP001401,CG13601
AGAP001402,CG2938
AGAP001403,CG1662
AGAP001404,DNApol-eta
AGAP013257,Bdbt
AGAP001406,wuho
AGAP001407,Rpt4
AGAP001408,RpL35
AGAP001410,side-IV
AGAP001411,BNIP3
AGAP001412,hh
AGAP001413,CG15210
AGAP001414,Smu1
AGAP001415,CG42613
AGAP001417,Mpc1
AGAP001418,CG31195
AGAP001419,Syp
AGAP001420,Pglym78
AGAP001421,RpA-70
AGAP001422,CG31076
AGAP001423,CG11089
AGAP001424,Gp93
AGAP001425,St4
AGAP001426,140up
AGAP001427,CG31635
AGAP013122,CG7049
AGAP001429,IFT54
AGAP001430,NoSymbolFound
AGAP001432,Dlip2
AGAP001433,CG7432
AGAP001434,GluClalpha
AGAP001435,Naam
AGAP001438,CG9775
AGAP001440,Rpn6
AGAP001441,CG34348
AGAP001442,CG6073
AGAP001444,Hs6st
AGAP001445,CG10005
AGAP001446,SNF4Agamma
AGAP001447,meigo
AGAP001448,Fer1
AGAP001449,CG31248
AGAP001450,CG10068
AGAP001451,Alh
AGAP001452,CG2924
AGAP001453,TAF1C-like
AGAP001454,CG14270
AGAP001455,CG14200
AGAP001458,Sirt6
AGAP001459,RpL17
AGAP001460,NoSymbolFound
AGAP001461,CG2126
AGAP001463,Vps33B
AGAP001469,Liprin-alpha
AGAP001471,Pdk1
AGAP001472,Mrtf
AGAP001473,CG6432
AGAP001474,Ms
AGAP001475,CG6454
AGAP001476,ogre
AGAP001477,Inx7
AGAP001478,Nmdar1
AGAP001480,smash
AGAP001481,Hcs
AGAP001482,ksr
AGAP001483,CG9876
AGAP001484,cm
AGAP001485,CG32645
AGAP001486,pot
AGAP001487,shakB
AGAP001488,Inx2
AGAP001490,CG12096
AGAP001491,CG3040
AGAP001492,CG4332
AGAP001495,unc-4
AGAP001497,Actn
AGAP001498,CG4313
AGAP001500,CG4281
AGAP001502,CG11267
AGAP001503,Sse
AGAP001505,opm
AGAP001504,nkt
AGAP001506,Gbeta76C
AGAP001507,Plod
AGAP001512,Gclc
AGAP001513,CG17754
AGAP001514,Fip1
AGAP001515,CG3630
AGAP001518,CG9776
AGAP001519,l(3)72Ab
AGAP001520,Gbs-70E
AGAP001522,pch2
AGAP001523,Eato
AGAP001524,CG15546
AGAP001526,RIOK2
AGAP001527,garz
AGAP001528,CG14966
AGAP013478,CG1236
AGAP013519,LSm3
AGAP001529,CG4038
AGAP001531,CG6125
AGAP001533,Rab3-GAP
AGAP001535,ash1
AGAP001536,Atf3
AGAP001537,CG11403
AGAP001538,Spx
AGAP001539,Tip60
AGAP001545,RpL24-like
AGAP001546,ninaG
AGAP001548,CG32276
AGAP012990,RpS23
AGAP001549,Exd2
AGAP001550,CG6723
AGAP001551,CG10324
AGAP013124,CG1561
AGAP013450,CG13813
AGAP013250,CG7492
AGAP001554,CG9593
AGAP001555,wdn
AGAP013288,CG32104
AGAP001556,Obp69a
AGAP001557,Ncc69
AGAP001558,CrzR
AGAP001559,Ctr9
AGAP001560,ind
AGAP001561,CG7497
AGAP001563,Gk2
AGAP001564,Trf4-1
AGAP001565,YL-1
AGAP001566,unc80
AGAP001568,CG6793
AGAP001569,Mlc1
AGAP001570,tau
AGAP001573,Mtl
AGAP001577,foxo
AGAP001581,CG31191
AGAP001583,gukh
AGAP001584,snRNP-U1-C
AGAP001585,dnk
AGAP001586,CG9636
AGAP001587,Vha100-2
AGAP001589,CG11334
AGAP001590,stumps
AGAP001591,Cad88C
AGAP001592,TkR99D
AGAP001593,Gsc
AGAP001595,RpS29
AGAP001597,mtg
AGAP001602,ppk28
AGAP001603,CG7772
AGAP001604,CG3632
AGAP001606,CG4752
AGAP001608,px
AGAP001609,dnr1
AGAP001610,CG4269
AGAP001611,Mvd
AGAP001612,Pex6
AGAP001613,CG5554
AGAP001614,CG2321
AGAP001615,Rnb
AGAP001617,Rab7
AGAP001618,ems
AGAP001620,CG10252
AGAP001621,CG1983
AGAP001622,Mlc2
AGAP001623,CG31028
AGAP001624,CG31030
AGAP001625,CG11498
AGAP001626,CG15529
AGAP001627,CG1607
AGAP001629,CG4957
AGAP001630,Tpi
AGAP001631,ppk24
AGAP001632,CG34347
AGAP001633,bt
AGAP001634,CG7720
AGAP001636,gwl
AGAP001637,sosie
AGAP001638,CG7381
AGAP001639,Paip2
AGAP001644,CG1764
AGAP001645,NoSymbolFound
AGAP001649,Gba1b
AGAP001650,CG10365
AGAP001651,Rpn9
AGAP001653,ND-75
AGAP001654,Sap30
AGAP001655,CG5274
AGAP001656,CG9107
AGAP001658,beat-VI
AGAP001659,Lsp2
AGAP001660,Dhc98D
AGAP001661,CG31051
AGAP001662,Ppn
AGAP001665,Cpr92A
AGAP001670,mIF2
AGAP001671,fkh
AGAP001674,side
AGAP001677,CG16903
AGAP001678,by
AGAP001681,CG11070
AGAP001682,CG9240
AGAP001683,CASK
AGAP001684,phu
AGAP001685,Nup107
AGAP001686,LSm1
AGAP001687,RhoGAP54D
AGAP001688,botv
AGAP001690,Rim
AGAP013145,cpo
AGAP001694,Sec8
AGAP001695,Amun
AGAP001696,tinc
AGAP001697,Prosbeta3
AGAP001699,CG5191
AGAP001700,NoSymbolFound
AGAP001702,Cnb
AGAP001703,AP-2sigma
AGAP001704,Idi
AGAP001705,CG41284
AGAP001707,CG31326
AGAP001710,Ptip
AGAP001711,ND-23
AGAP001712,Arpc3A
AGAP001713,Desat1
AGAP001715,Srlp
AGAP001716,Tusp
AGAP001719,CG12811
AGAP001720,mtTFB2
AGAP001721,l(1)G0320
AGAP001724,Sply
AGAP001726,wake
AGAP001727,CG14921
AGAP001729,CG17565
AGAP001730,CycG
AGAP001731,FBXO11
AGAP001733,Sec5
AGAP001734,Nct
AGAP001735,CG7264
AGAP001736,HDAC11
AGAP001737,Uba4
AGAP001738,mRpL1
AGAP001739,CG9626
AGAP001742,CG13408
AGAP001743,ERR
AGAP001744,CG3803
AGAP001745,Rpn2
AGAP001746,Tango11
AGAP001747,CG1172
AGAP001748,kkv
AGAP001749,CG11999
AGAP001751,mtd
AGAP001752,CG8485
AGAP001754,Mtor
AGAP001759,Sec23
AGAP001760,elm
AGAP001762,Atg9
AGAP001761,schlank
AGAP001763,Fatp2
AGAP001765,cbs
AGAP001768,GILT3
AGAP001769,beat-IV
AGAP001773,AstA-R1
AGAP001778,CG11077
AGAP001780,hyd
AGAP001783,Kat60
AGAP001786,osa
AGAP013270,CG11693
AGAP001787,CG14882
AGAP001788,CG8326
AGAP001790,Pak3
AGAP001791,Nep2
AGAP001792,NoSymbolFound
AGAP013125,mrt
AGAP001793,aurA
AGAP001794,Cp190
AGAP001795,MRG15
AGAP001796,CG14903
AGAP001797,Tm1
AGAP001798,modSP
AGAP001799,Tm2
AGAP001800,Syt4
