OFAS018188,ppk23
OFAS009375,CG1785
OFAS002581,Cp110
OFAS003984,Dph4
OFAS003987,Taf12
OFAS003986,CG13016
OFAS003981,CG13855
OFAS003983,CG5614
OFAS013002,CG31917
OFAS010323,Gcn2
OFAS002053,Cap-H2
OFAS017189,gsb
OFAS002056,mms4
OFAS017446,CG42304
OFAS006357,Cyp6a2
OFAS006354,CG17839
OFAS006353,CG6839
OFAS006352,IntS9
OFAS006351,Nhe3
OFAS005913,nub
OFAS005914,SIFa
OFAS005669,CG7601
OFAS017961,Galphas
OFAS014325,Ttc7
OFAS014324,l(2)k14505
OFAS014326,CG11134
OFAS014323,mTTF
OFAS014322,CG2614
OFAS018121,CG15824
OFAS018126,CG30416
OFAS015337,CG34457
OFAS015336,Ubc4
OFAS015331,ema
OFAS015333,pav
OFAS015332,CG1486
OFAS016511,CG32147
OFAS016678,Dmtn
OFAS007408,CARPA
OFAS007404,Gat
OFAS007406,CG9205
OFAS007403,CG33665
OFAS007749,CG2017
OFAS007743,eco
OFAS007741,Cbp53E
OFAS007740,Tsp68C
OFAS007747,pasha
OFAS007746,SLC22A
OFAS017679,Cpr5C
OFAS017674,frm
OFAS009967,AdipoR
OFAS009966,Deaf1
OFAS009969,CG34141
OFAS009968,Pkn
OFAS012958,O-fut2
OFAS012954,CycT
OFAS012955,Mgat1
OFAS012956,Bap55
OFAS008188,SPoCk
OFAS017209,CG10466
OFAS010923,CG30371
OFAS008181,wake
OFAS010921,TfIIA-L
OFAS008183,CG8613
OFAS017206,zda
OFAS003409,CG32409
OFAS003158,Plod
OFAS006439,CG7741
OFAS003152,Wdr62
OFAS006430,Sam-S
OFAS003403,crn
OFAS003156,CG1620
OFAS003405,CG11779
OFAS003154,CG6617
OFAS003155,Dpck
OFAS014057,Alg1
OFAS000174,bin3
OFAS008764,CG7914
OFAS008763,CG6907
OFAS001802,Smu1
OFAS001803,Rab11
OFAS001372,Tomosyn
OFAS001801,CREG
OFAS001807,Pop4
OFAS001376,MED8
OFAS001378,CG6454
OFAS001379,nero
OFAS001809,Atu
OFAS009587,Lsm12a
OFAS009580,toc
OFAS013102,CG10257
OFAS011322,GluClalpha
OFAS014131,CG12880
OFAS014132,CG13857
OFAS011454,Usp47
OFAS011455,CG42747
OFAS014137,Mlh1
OFAS014138,Dpm1
OFAS014139,CG14647
OFAS011329,CG1236
OFAS015521,dpy
OFAS015522,CG9485
OFAS018803,Pex12
OFAS015524,Desi
OFAS018808,Smr
OFAS013783,Rpn13
OFAS002440,Smyd3
OFAS013787,Mcm6
OFAS013784,mRpL53
OFAS002444,CG14868
OFAS002448,Pp1-87B
OFAS010892,Tektin-A
OFAS017421,Non2
OFAS012789,Pdhb
OFAS012781,sit
OFAS012780,CG4617
OFAS008305,mRpS30
OFAS010493,ss
OFAS010492,Mcm5
OFAS010491,Raf
OFAS010490,CG3631
OFAS010497,akirin
OFAS010496,CG13933
OFAS010495,CG7912
OFAS010326,Tmtc3
OFAS002058,IPIP
OFAS017448,Nup62
OFAS012430,Cad96Ca
OFAS012436,CG31886
OFAS012435,eIF4A
OFAS012438,CG12129
OFAS018374,Fpps
OFAS010147,CG2926
OFAS010146,HERC2
OFAS015886,Tbc1d15-17
OFAS015885,frtz
OFAS005492,CG12512
OFAS005495,nompC
OFAS016794,Sec15
OFAS006602,CG44250
OFAS007364,CG10050
OFAS006609,Pdss2
OFAS003239,Ir48c
OFAS000406,Vsp37A
OFAS002942,Cmpk
OFAS002940,CG5355
OFAS002941,CG5676
OFAS002949,fy
OFAS003099,mbf1
OFAS003098,CG14722
OFAS003093,CG2021
OFAS003092,CG5555
OFAS016422,mRpL30
OFAS016423,CG10731
OFAS013144,CG45490
OFAS016425,p120ctn
OFAS016427,exu
OFAS008782,Sep2
OFAS014493,CG7168
OFAS012898,NoSymbolFound
OFAS012895,Naxe
OFAS012897,Drice
OFAS012890,CLS
OFAS017665,CG4332
OFAS017664,Rab35
OFAS013205,Ku80
OFAS013204,CG11857
OFAS013203,pea
OFAS013200,RnpS1
OFAS017666,St1
OFAS013209,CG4045
OFAS000766,trpl
OFAS000760,CG17816
OFAS008512,wcd
OFAS008515,5-HT1A
OFAS008514,CG43780
OFAS001495,Tsp
OFAS001494,Stoml2
OFAS001496,Ssdp
OFAS002618,CG5969
OFAS009179,CG12163
OFAS002616,CG33298
OFAS002617,Capr
OFAS002614,Gdi
OFAS009175,CG33511
OFAS002612,wol
OFAS005516,CG9132
OFAS002611,CG8813
OFAS004471,Cpr73D
OFAS007269,2mit
OFAS014183,CG8916
OFAS007261,Ipp
OFAS007262,CG10068
OFAS008833,wls
OFAS012235,ALiX
OFAS000545,mip120
OFAS007266,timeout
OFAS009392,Atox1
OFAS009391,SMC3
OFAS009396,ATPsynE
OFAS009395,S-Lap4
OFAS009398,CG34370
OFAS004517,Bx
OFAS004514,CG3226
OFAS004513,Agpat1
OFAS004511,CG30373
OFAS004510,CG8326
OFAS004518,CG12860
OFAS012156,Bdp1
OFAS012159,CG31036
OFAS015593,CG14641
OFAS015776,stet
OFAS007080,mor
OFAS005700,CG9399
OFAS005703,NoSymbolFound
OFAS005702,Cortactin
OFAS005704,Tollo
OFAS005707,Patj
OFAS001149,CG4598
OFAS001144,CG15365
OFAS001142,NAT1
OFAS001141,Syx13
OFAS001636,CG1671
OFAS015779,Pdf
OFAS015778,RpL38
OFAS005644,Swip-1
OFAS005645,CG6415
OFAS005640,CG9044
OFAS005643,Tsp29Fb
OFAS005648,CG17059
OFAS017803,hzg
OFAS017805,Glg1
OFAS017806,DNApol-alpha60
OFAS014309,CG3955
OFAS014308,CG6123
OFAS011150,NoSymbolFound
OFAS011152,Sec61gamma
OFAS011155,U2af50
OFAS011154,mRpS11
OFAS011157,CG13096
OFAS017504,dar1
OFAS018149,CG9257
OFAS018148,HPS4
OFAS015315,sff
OFAS015313,Ask1
OFAS015312,Sec24CD
OFAS010793,vap
OFAS010797,CG3165
OFAS010799,CG45122
OFAS016653,CG13907
OFAS002171,Coq7
OFAS016651,wcy
OFAS016650,fmt
OFAS007467,DIP2
OFAS005661,Herc4
OFAS007727,RpLP0-like
OFAS007726,14-3-3zeta
OFAS007721,Usp39
OFAS007723,Eip55E
OFAS017659,Kua
OFAS009945,dimm
OFAS017657,ninaC
OFAS017650,CG6752
OFAS009942,xit
OFAS017652,CG44247
OFAS009940,CG7990
OFAS004287,l(3)02640
OFAS004286,tomboy20
OFAS004285,GCS2alpha
OFAS004283,CG11110
OFAS004288,Snx21
OFAS012937,Daxx
OFAS007094,CG4752
OFAS007092,Incenp
OFAS012930,CG14607
OFAS007090,alphaCOP
OFAS018520,CG7888
OFAS007099,l(2)37Cg
OFAS007098,ProRS-m
OFAS000552,cbc
OFAS003398,CG30022
OFAS003392,CG12848
OFAS003393,e(y)2
OFAS008162,CG4080
OFAS008163,CG7728
OFAS008166,C901
OFAS017268,Nnp-1
OFAS010945,Sec22
OFAS010947,rumi
OFAS010946,NUCB1
OFAS017261,vanin-like
OFAS010940,RpS15Aa
OFAS010943,Sec16
OFAS010942,Mcad
OFAS000437,Elk
OFAS006418,sfl
OFAS003175,spok
OFAS003176,anchor
OFAS006410,Top3beta
OFAS003171,Sirt4
OFAS006412,bbx
OFAS006413,Nc73EF
OFAS000150,Ran
OFAS017279,ohgt
OFAS008707,CG14105
OFAS008704,RpS6
OFAS008705,l(3)neo43
OFAS008700,CG18003
OFAS008708,Trp1
OFAS008709,CG43322
OFAS001824,Fip1
OFAS001820,CG5903
OFAS001821,wbl
OFAS001822,Membrin
OFAS017272,Osi20
OFAS010953,CG7518
OFAS014688,CG10417
OFAS014689,Chchd2
OFAS014680,bdg
OFAS017271,CG5021
OFAS014685,Pat1
OFAS017883,CG5885
OFAS017885,IntS6
OFAS017887,Atg16
OFAS018964,SiaT
OFAS018962,kdn
OFAS018960,CG31612
OFAS013417,Mkp3
OFAS016135,aurB
OFAS013418,CG5966
OFAS016139,CG31688
OFAS001207,Alk
OFAS011306,Mco1
OFAS011307,MED14
OFAS011301,Klp3A
OFAS011303,eve
OFAS006429,Chchd3
OFAS002421,Rab40
OFAS002423,CG12521
OFAS003148,Atet
OFAS002429,cm
OFAS008519,CG13220
OFAS006421,CG11843
OFAS004700,Cht2
OFAS004704,ced-6
OFAS003145,rempA
OFAS003410,HEATR2
OFAS017469,CG42675
OFAS010303,dod
OFAS010301,Evi5
OFAS010307,CG2269
OFAS010305,phr
OFAS006258,Ephrin
OFAS019488,CG12093
OFAS006252,CG6136
OFAS002619,CG7884
OFAS012455,CG9005
OFAS012454,Atf-2
OFAS012450,Irbp
OFAS012452,qvr
OFAS010167,Rpn1
OFAS010166,Ublcp1
OFAS010164,CG4186
OFAS017790,B52
OFAS002613,CG8043
OFAS008955,CycH
OFAS008958,BORCS5
OFAS006621,btz
OFAS006625,px
OFAS014519,CG18600
OFAS014512,PIG-Q
OFAS014510,CG8778
OFAS014517,sls
OFAS014514,mwh
OFAS018358,Cpr64Ab
OFAS018422,TSG101
OFAS018426,Rpb10
OFAS018427,path
OFAS018424,kud
OFAS018425,RN-tre
OFAS012238,CG5087
OFAS001362,rod
OFAS014470,CG14073
OFAS011955,betaggt-II
OFAS001817,Serinc
OFAS014477,ACC
OFAS011959,Argk
OFAS014478,Mct1
OFAS001360,dib
OFAS000541,CSN4
OFAS012232,put
OFAS007264,CG14442
OFAS000708,CG31678
OFAS000707,CG15373
OFAS000704,CG9541
OFAS000702,CG13587
OFAS000703,Ak1
OFAS000700,mRpS18B
OFAS007610,beat-IIIc
OFAS002968,Vha14-1
OFAS002960,NoSymbolFound
OFAS002961,Mesh1
OFAS002962,CG11899
OFAS002963,NoSymbolFound
OFAS008570,CASK
OFAS008573,CG8060
OFAS003619,CG2790
OFAS009620,CG18547
OFAS009621,CG34228
OFAS002634,Coq9
OFAS009156,ci
OFAS003611,CG42697
OFAS002639,CG8635
OFAS009629,Eip93F
OFAS003614,CG17687
OFAS004492,Syn2
OFAS004497,Hey
OFAS007282,Piezo
OFAS012211,row
OFAS012210,CG4681
OFAS012217,Csk
OFAS012215,CG9003
OFAS012219,Dek
OFAS011073,Ndae1
OFAS012132,Rrp45
OFAS012133,CG11986
OFAS008393,Paf-AHalpha
OFAS012680,pins
OFAS012682,Coq4
OFAS012683,Arp3
OFAS003944,CG6511
OFAS012686,RpL14
OFAS012687,DNApol-epsilon255
OFAS005722,e(r)
OFAS005721,Alg10
OFAS005727,w
OFAS005728,CycB
OFAS001612,CG45050
OFAS001616,orb
OFAS001615,CG13827
OFAS001614,CG13850
OFAS001619,Cdc16
OFAS006399,NoSymbolFound
OFAS006391,Axs
OFAS006397,Vap33
OFAS006395,mRRF1
OFAS011798,Skp2
OFAS011794,p38b
OFAS011791,Arp8
OFAS015488,yellow-c
OFAS015484,hyd
OFAS019261,CG45073
OFAS013622,CG6024
OFAS016860,Prosalpha2
OFAS011178,Syn1
OFAS018166,CG8292
OFAS012226,pps
OFAS016732,CG5762
OFAS007910,fal
OFAS007916,Sr-CI
OFAS007446,Rrp1
OFAS007447,Neb-cGP
OFAS002397,beat-IIIb
OFAS002396,PLCXD
OFAS002395,CG11447
OFAS002394,CG6398
OFAS004939,CG5554
OFAS004930,eys
OFAS004933,Mer
OFAS007707,Hel25E
OFAS007704,AlaRS
OFAS007703,Wdr82
OFAS007700,AspRS-m
OFAS007709,NoSymbolFound
OFAS017630,nompA
OFAS017631,CG9130
OFAS017639,ush
OFAS018502,barc
OFAS012918,Gapvd1
OFAS011446,spel1
OFAS003371,CG7886
OFAS003376,CG31635
OFAS003374,Ero1L
OFAS003375,Ktl
OFAS003378,mRpS10
OFAS003379,CG14655
OFAS007563,GM130
OFAS007562,EndoB
OFAS008144,Son
OFAS017246,CG15403
OFAS008146,CG5938
OFAS008147,CG5934
OFAS010963,P58IPK
OFAS008490,NoSymbolFound
OFAS008491,geminin
OFAS008498,CG15412
OFAS010968,Cad74A
OFAS018817,Pof
OFAS006476,RpL28
OFAS003115,Tpi
OFAS003113,Ts
OFAS003111,CG2841
OFAS006478,RecQ4
OFAS000135,LSm-4
OFAS000134,CG4558
OFAS007568,Socs16D
OFAS000131,trr
OFAS000133,SmydA-5
OFAS000132,bug
OFAS008720,mre11
OFAS008721,Ire1
OFAS008722,CG43783
OFAS008723,gprs
OFAS000138,CG8516
OFAS001842,Scamp
OFAS001840,senju
OFAS002436,Rrp47
OFAS002434,NoSymbolFound
OFAS002433,CG6424
OFAS013434,CG32447
OFAS013436,Stt3A
OFAS013430,ckd
OFAS013438,Archease
OFAS005356,qtc
OFAS001262,CG2875
OFAS001263,Ranbp21
OFAS001260,Vm32E
OFAS001261,edl
OFAS001267,Akt1
OFAS001264,Fer3HCH
OFAS001265,Hsp83
OFAS009458,GckIII
OFAS002406,cactin
OFAS002405,CG3744
OFAS008238,cathD
OFAS002401,mRpL51
OFAS009456,Hs2st
OFAS008239,CG34107
OFAS003797,cin
OFAS006892,Nop17l
OFAS006893,Tsp86D
OFAS017379,Rhp
OFAS006896,CkIalpha
OFAS014881,Ndg
OFAS019170,bnl
OFAS001637,CG7506
OFAS011361,tay
OFAS017408,CG34183
OFAS010361,Cpr92F
OFAS017403,CCT4
OFAS016805,CngB
OFAS012479,CG8950
OFAS012477,Myo10A
OFAS006275,Claspin
OFAS006277,yrt
OFAS012473,sturkopf
OFAS006272,Cpr97Ea
OFAS006273,Cpr97Eb
OFAS011588,CG18473
OFAS014006,MAN1
OFAS011583,CG5131
OFAS011580,CG17075
OFAS011581,CG3645
OFAS011587,IKKepsilon
OFAS011584,CG6028
OFAS003001,CG5455
OFAS008935,bves
OFAS008936,CG18577
OFAS015292,ps
OFAS015293,CG15080
OFAS015296,Oscillin
OFAS008938,Drsl2
OFAS016751,Cpr49Ae
OFAS006648,eIF2Bgamma
OFAS006645,Sec8
OFAS006647,aux
OFAS013982,Rsph4a
OFAS014535,Lk6
OFAS014530,RPA2
OFAS014531,CG11396
OFAS015128,RIOK2
OFAS002774,Ir68a
OFAS018404,SLO2
OFAS018405,l(2)k10201
OFAS015127,CG5953
OFAS015120,Wnt5
OFAS015121,Btk29A
OFAS015123,r-l
OFAS002776,NoSymbolFound
OFAS013185,Alp12
OFAS013187,Kr-h2
OFAS013180,Hacd2
OFAS002773,CG9527
OFAS011973,Lrp4
OFAS011970,mRpS25
OFAS011977,Oseg4
OFAS011976,Dhx15
OFAS014454,CG4467
OFAS002183,frj
OFAS002181,Rad23
OFAS002186,Mur89F
OFAS003589,CG14221
OFAS003583,Dh31
OFAS003582,Pka-C1
OFAS003585,fsd
OFAS004121,Vps8
OFAS014989,Kif19A
OFAS014985,CG4984
OFAS004128,Hip1
OFAS014980,RfC38
OFAS014982,CG7639
OFAS000720,GC
OFAS000724,FucT6
OFAS007117,Cdk1
OFAS000727,CG15097
OFAS000728,Vha68-2
OFAS000729,san
OFAS007119,Atac3
OFAS008557,bif
OFAS002980,CG1161
OFAS008554,TyrRS
OFAS002986,ND-30
OFAS002987,Cpsf5
OFAS002984,Cwc25
OFAS002985,Pfdn6
OFAS002989,smt3
OFAS008559,CG31465
OFAS008558,CG15747
OFAS009604,PDCD-5
OFAS009600,CG13743
OFAS003636,kcc
OFAS015604,Gabat
OFAS003639,Snap29
OFAS012275,DOR
OFAS000585,CG10425
OFAS000586,Cdk7
OFAS000582,CG10268
OFAS012272,snf
OFAS017181,Sgf11
OFAS012278,RtGEF
OFAS012113,rept
OFAS012117,CG5906
OFAS012118,CG2938
OFAS017981,Sf3b5
OFAS017982,NoSymbolFound
OFAS017983,nop5
OFAS017984,Rad9
OFAS017985,ATPsynO
OFAS005295,CG13231
OFAS016514,CG15506
OFAS005299,Mob2
OFAS001453,Art1
OFAS001452,Mtpbeta
OFAS001454,Swim
OFAS001988,EbpIII
OFAS003969,Klp68D
OFAS003968,Mob3
OFAS003966,Gnpnat
OFAS003965,CG4554
OFAS005745,CG11873
OFAS005740,Patronin
OFAS001183,Cpr50Cb
OFAS015723,unc-45
OFAS015726,CG42553
OFAS001186,CG17266
OFAS014957,CG3337
OFAS001674,sad
OFAS001677,CG31663
OFAS001670,Dhc62B
OFAS001678,bun
OFAS002040,DNaseII
OFAS011770,Khc-73
OFAS005604,CG11085
OFAS005605,CG4709
OFAS011777,Sesn
OFAS005608,CG33253
OFAS005609,poe
OFAS015460,CG10804
OFAS015467,GCS2beta
OFAS015468,PCNA
OFAS013602,CG5862
OFAS013601,eca
OFAS013600,Smyd5
OFAS013606,CG15249
OFAS011112,RIOK1
OFAS002218,spz4
OFAS002219,Pif1
OFAS002213,NoSymbolFound
OFAS002210,CG10958
OFAS002216,CG13999
OFAS002217,Lon
OFAS002214,Den1
OFAS018563,emp
OFAS007938,CG7974
OFAS007936,wus
OFAS007937,CG7206
OFAS007933,CG4374
OFAS002371,rho-5
OFAS002373,koi
OFAS002374,M6
OFAS002377,Tfb1
OFAS002378,IFT54
OFAS004913,lab
OFAS004911,nos
OFAS004917,CG9813
OFAS004918,fusl
OFAS019493,CG10082
OFAS009988,t
OFAS009981,CG10435
OFAS010644,Oseg5
OFAS013453,CG7492
OFAS016652,Mtch
OFAS003354,Ufc1
OFAS006187,ave
OFAS003356,KLHL18
OFAS003357,Slimp
OFAS017787,Tbce
OFAS003359,CG7131
OFAS006188,Sf3b2
OFAS006189,Sec31
OFAS004097,Nse4
OFAS008126,rdgBbeta
OFAS008127,swi2
OFAS008124,CG15642
OFAS008125,mRpL16
OFAS008122,dom
OFAS013049,CG14982
OFAS003139,APP-BP1
OFAS003130,CG8679
OFAS006451,l(2)41Ab
OFAS006452,CG5098
OFAS006455,CG9853
OFAS006456,CG2656
OFAS006457,Acf
OFAS005193,nahoda
OFAS005195,CG30423
OFAS005197,brat
OFAS015911,SmF
OFAS001862,CG1983
OFAS001863,CG11041
OFAS015914,Tgs1
OFAS001867,Sf3b1
OFAS001868,CG5597
OFAS017381,dtr
OFAS002621,CG8207
OFAS009299,CG31637
OFAS013459,lid
OFAS013456,Shal
OFAS009296,raw
OFAS013454,brwl
OFAS009294,CG5535
OFAS009293,CG33695
OFAS009292,Rs1
OFAS009291,CG2076
OFAS009290,CG3309
OFAS004359,dyl
OFAS004358,CG1814
OFAS004357,CG2765
OFAS000449,cib
OFAS007328,CG18304
OFAS000119,Alas
OFAS000117,RNaseZ
OFAS000440,CG15387
OFAS000115,RhoGDI
OFAS008464,Vps50
OFAS000445,CG9272
OFAS007324,Hmgcl
OFAS000447,CG34039
OFAS000446,CG11109
OFAS001248,maf-S
OFAS001249,CG3704
OFAS001245,lt
OFAS001246,bab1
OFAS001247,Mt2
OFAS001241,CG2034
OFAS001243,CG10413
OFAS009472,CG13744
OFAS009471,CG8172
OFAS009478,CG33998
OFAS002515,Kank
OFAS004746,Hr96
OFAS004742,Nph
OFAS008310,AnxB9
OFAS019110,Nup54
OFAS011341,H
OFAS005232,CG3376
OFAS011348,lark
OFAS005235,CG5882
OFAS005234,CG5174
OFAS017427,dco
OFAS010344,scaf6
OFAS010435,mRpL18
OFAS005237,CG6180
OFAS010341,AP-2mu
OFAS010340,Dd
OFAS010438,5PtaseI
OFAS008316,Orc5
OFAS010349,Taf6
OFAS010348,Trax
OFAS005239,C15
OFAS005238,CG17919
OFAS006217,TBCB
OFAS006214,Gdn1
OFAS006215,AGBE
OFAS006212,NoSymbolFound
OFAS006213,Ras64B
OFAS006210,hrm
OFAS012498,CG17187
OFAS001435,Usp20-33
OFAS001433,GAA1
OFAS014088,CG43867
OFAS001431,lolal
OFAS008918,CG4842
OFAS008917,tral
OFAS008916,Uev1A
OFAS008915,Cyt-c1
OFAS008914,Dci
OFAS014080,CG17168
OFAS014081,sev
OFAS018642,subdued
OFAS018649,CycG
OFAS006665,aralar1
OFAS006661,Usp1
OFAS007357,fuss
OFAS016778,mRpS14
OFAS016779,RpLP1
OFAS006668,jus
OFAS014554,CG44085
OFAS014551,Lsp1beta
OFAS014558,CG34126
OFAS015146,ATP8B
OFAS018397,NoSymbolFound
OFAS015140,NoSymbolFound
OFAS018399,NoSymbolFound
OFAS006249,CG34351
OFAS016784,RpS15
OFAS016485,gek
OFAS016482,140up
OFAS014439,CG14200
OFAS011918,Pcf11
OFAS011915,ImpL2
OFAS014434,Oatp74D
OFAS014431,Sf3b6
OFAS011910,Vsx2
OFAS016783,CG5902
OFAS016782,CG13392
OFAS016789,fau
OFAS004104,CG42342
OFAS004102,bwa
OFAS004103,CG5854
OFAS007136,cac
OFAS007130,TkR99D
OFAS003659,Sirt6
OFAS012257,lobo
OFAS012256,CG9175
OFAS012255,CG5599
OFAS012253,CG16854
OFAS012251,shv
OFAS017166,CG2608
OFAS002956,ND-B17.2
OFAS001479,CG18675
OFAS001478,Ip259
OFAS001473,Es2
OFAS001472,CG18659
OFAS001477,galla-2
OFAS001476,OXA1L
OFAS001474,Vps26
OFAS019602,Ih
OFAS001695,OSCP1
OFAS009668,CG9915
OFAS009669,Amacr
OFAS009666,Uvrag
OFAS009665,eIF6
OFAS003908,rhea
OFAS003904,Larp7
OFAS000307,cn
OFAS003903,ND-AGGG
OFAS003902,CG17829
OFAS005769,lama
OFAS005764,CG10376
OFAS005763,GatA
OFAS007096,Hrs
OFAS001657,CG10960
OFAS001656,beta4GalT7
OFAS001655,Nmnat
OFAS001654,CG5510
OFAS016957,Trm7-32
OFAS011758,CG10738
OFAS011752,Trim9
OFAS011751,PMCA
OFAS011750,CG4627
OFAS011754,LTV1
OFAS011285,NoSymbolFound
OFAS011286,CG15649
OFAS011280,Dad
OFAS009088,hppy
OFAS009082,Fen1
OFAS009080,CG3294
OFAS009081,MED15
OFAS009085,CycC
OFAS013664,CG10710
OFAS013661,msn
OFAS017512,CG15544
OFAS012939,aft
OFAS019323,CG5728
OFAS017833,Zip42C.1
OFAS011132,CG4537
OFAS011130,jef
OFAS002239,CG31997
OFAS002234,svr
OFAS002235,CG7706
OFAS002237,PPP1R15
OFAS002233,CHMP2B
OFAS004683,l(1)G0193
OFAS004681,Ubr3
OFAS004680,aph-1
OFAS004687,CG9095
OFAS004686,RpL27
OFAS005882,Sin
OFAS005881,Trs33
OFAS005889,CG9154
OFAS007956,Atg6
OFAS010089,rad50
OFAS007954,RhoBTB
OFAS007955,CG2691
OFAS007950,Klf15
OFAS002352,CG31648
OFAS002351,NoSymbolFound
OFAS007488,Cdk5alpha
OFAS007958,OtopLa
OFAS010087,CG4078
OFAS012538,CG3408
OFAS012539,dikar
OFAS004973,CG10910
OFAS012533,SmD1
OFAS012531,Gmd
OFAS012536,Ns4
OFAS012534,CG3918
OFAS011958,dnc
OFAS018076,CG33489
OFAS010668,PAPLA1
OFAS010669,por
OFAS010666,Fife
OFAS010667,CG9288
OFAS010660,CG15027
OFAS005265,CG3603
OFAS003339,MICU3
OFAS003336,Nha1
OFAS003335,CG15160
OFAS003333,CG7457
OFAS008101,bmm
OFAS008450,CG42399
OFAS008105,RhoGAPp190
OFAS008455,Alg14
OFAS002822,ATPsynCF6
OFAS003480,CG2091
OFAS016542,zfh2
OFAS003482,Marf1
OFAS013060,CG9773
OFAS013065,CG8435
OFAS003489,CG5181
OFAS013069,CG7945
OFAS013068,Gdap1
OFAS015938,ect
OFAS015932,CG7943
OFAS015931,CG14661
OFAS015930,CG10674
OFAS015936,CG8611
OFAS015935,CG12301
OFAS017265,udt
OFAS017266,Cks85A
OFAS000684,Uxs
OFAS000683,RpL11
OFAS000682,CG12379
OFAS009271,p115
OFAS009270,DIP-kappa
OFAS009273,CG9934
OFAS009272,smo
OFAS016154,Galphai
OFAS013475,NoSymbolFound
OFAS013477,CG13606
OFAS013479,DCTN5-p25
OFAS004371,Osi9
OFAS004377,Glut1
OFAS004374,CG16719
OFAS004379,CG30467
OFAS007300,stops
OFAS000464,Sarm
OFAS007309,nonC
OFAS001228,CG32795
OFAS001229,Atg1
OFAS009414,Mad
OFAS009411,KaiR1D
OFAS009413,NoSymbolFound
OFAS017399,CG8034
OFAS010871,tgo
OFAS010873,Tret1-2
OFAS017392,Secp43
OFAS010875,Naa15-16
OFAS010877,CG9380
OFAS004761,Nup133
OFAS004765,CG10681
OFAS004767,Uba2
OFAS004769,ckn
OFAS012703,Ets97D
OFAS012702,aPKC
OFAS003170,NoSymbolFound
OFAS003173,gammaTub23C
OFAS016846,tw
OFAS016847,CG4393
OFAS016844,CG9588
OFAS016843,BBS1
OFAS016841,brp
OFAS006949,CG13502
OFAS006230,in
OFAS006943,CG10463
OFAS006233,Rpb7
OFAS006946,CG16798
OFAS006235,thoc7
OFAS006236,CG6144
OFAS002604,Syt12
OFAS002607,Plap
OFAS003601,NoSymbolFound
OFAS005411,PlexB
OFAS005412,CG12581
OFAS005417,pigeon
OFAS018665,Hsepi
OFAS010419,ort
OFAS010418,Tsp2A
OFAS018660,CG5196
OFAS018661,eas
OFAS018662,epsilonCOP
OFAS010413,REPTOR-BP
OFAS010412,spn-A
OFAS010414,CG9902
OFAS016714,CG12375
OFAS016712,trbl
OFAS016713,ND-51
OFAS016710,myo
OFAS014571,Ptp99A
OFAS014573,Zw
OFAS014577,Pde9
OFAS007549,alphaTub84B
OFAS007548,Tnpo
OFAS015160,CG7564
OFAS015161,MED28
OFAS015163,Ubc10
OFAS007547,mRpL47
OFAS014417,CG43689
OFAS011935,AP-2alpha
OFAS011933,HLH3B
OFAS011930,CCT3
OFAS014418,Tif-IA
OFAS007621,S-Lap2
OFAS007277,Prosbeta4
OFAS003160,CG3777
OFAS000556,CG10646
OFAS007625,NetA
OFAS007626,vig2
OFAS004163,CG11777
OFAS004161,nocte
OFAS007159,mbm
OFAS007155,Oatp58Dc
OFAS007150,CG42258
OFAS017144,CG8861
OFAS002317,SMC1
OFAS017142,smg
OFAS002315,aos
OFAS000098,Nrx-IV
OFAS000099,CG32099
OFAS009380,Papst2
OFAS015899,Spn28Dc
OFAS001414,Pino
OFAS015896,Hmu
OFAS001410,Mipp2
OFAS001412,CG5281
OFAS009644,CG34384
OFAS003679,CG3770
OFAS003675,Phax
OFAS003673,Ork1
OFAS003672,CG4646
OFAS003671,ras
OFAS003923,mRpL44
OFAS003922,CG10336
OFAS003920,AdamTS-B
OFAS000320,CG3358
OFAS000322,Ncc69
OFAS000323,CG1105
OFAS005780,Syx16
OFAS005784,CG43066
OFAS015760,CG1137
OFAS013395,l(2)37Cd
OFAS013394,SCCRO4
OFAS013397,TfIIB
OFAS013390,CG5068
OFAS013393,Pex3
OFAS018267,Or82a
OFAS015428,CG45049
OFAS015426,CG33958
OFAS015421,Rcd5
OFAS015422,pall
OFAS002784,CG14082
OFAS002786,CG6465
OFAS013644,loj
OFAS013643,Exn
OFAS002781,serp
OFAS015390,trio
OFAS002256,brun
OFAS002255,Sdc
OFAS002250,futsch
OFAS019092,Sgsh
OFAS019096,mRpL54
OFAS010062,CG10809
OFAS018392,CG18815
OFAS010064,clu
OFAS010065,EMRE
OFAS002337,REPTOR
OFAS010069,CG5921
OFAS002331,hop
OFAS002330,CG8507
OFAS002332,Srlp
OFAS004956,Rpb11
OFAS004954,CLIP-190
OFAS004952,pelo
OFAS012519,Nup98-96
OFAS019274,CG14194
OFAS019275,Rbfox1
OFAS012517,CG18094
OFAS019272,CG10283
OFAS012513,dysc
OFAS018055,cno
OFAS007632,Atx-1
OFAS010604,CG31549
OFAS010600,ben
OFAS001709,Cisd2
OFAS016918,CG5445
OFAS008892,bap
OFAS008890,ADD1
OFAS008896,NoSymbolFound
OFAS008894,P5CDh1
OFAS003310,CG7044
OFAS003313,FoxK
OFAS003315,Dnah3
OFAS003318,mRpS33
OFAS003319,CNPYb
OFAS006149,CG14997
OFAS002803,eIF4G1
OFAS008475,CG32645
OFAS002801,Irk2
OFAS002807,CG11586
OFAS002806,Gcn5
OFAS008473,Dys
