GeneName_TC	GeneName_OGid	Ortholog_id_symb	Dmel_paralogs	Dmel_paralogs_ids	Dmel_paralogs_Symbols	listOfParalogsIfAny	ifParalogHasOrtholog_id_symb	Dmel_Pparalogs	Dmel_Pparalogs_ids	Dmel_Pparalogs_Symbols
AGAP007161	7165:001935	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007162	7165:001936	7227:0004a7__FBgn0011296/l(2)efl	NoParalogs	-	-	-	-	-	-	-
AGAP007163	7165:001937	7227:003602__FBgn0266377/Pde8	NoParalogs	-	-	-	-	-	-	-
AGAP007164	7165:001938	7227:000ec4__FBgn0031001/CG7884	NoParalogs	-	-	-	-	-	-	-
AGAP007165	7165:001939	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007166	7165:00193a	7227:000531__FBgn0013548/l(2)dtl	NoParalogs	-	-	-	-	-	-	-
AGAP007167	7165:00193b	7227:000981__FBgn0027358/Tim9b	NoParalogs	-	-	-	-	-	-	-
AGAP007168	7165:00193c	7227:0004a8__FBgn0011297/Alg3	NoParalogs	-	-	-	-	-	-	-
AGAP007169	7165:00193d	7227:001882__FBgn0034897/Sesn	NoParalogs	-	-	-	-	-	-	-
AGAP007170	7165:00193e	7227:0012a4__FBgn0032493/Mabi	NoParalogs	-	-	-	-	-	-	-
AGAP007171	7165:00193f	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007172	7165:001940	7227:0005c5__FBgn0015218/eIF4E1	NoParalogs	-	-	-	-	-	-	-
AGAP007173	7165:001941	7227:002311__FBgn0038928/Fadd	NoParalogs	-	-	-	-	-	-	-
AGAP007174	7165:001942	7227:001b3e__FBgn0035983/CG4080	NoParalogs	-	-	-	-	-	-	-
AGAP007175	7165:001943	7227:000422__FBgn0010350/Cds	NoParalogs	-	-	-	-	-	-	-
AGAP007176	7165:001944	7227:0016e0__FBgn0034265/Snx16	NoParalogs	-	-	-	-	-	-	-
AGAP007177	7165:001945	7227:0019b6__FBgn0035379/spz5	NoParalogs	-	-	-	-	-	-	-
AGAP007178	7165:001946	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007180	7165:001947	7227:00345b__FBgn0263392/Tet	NoParalogs	-	-	-	-	-	-	-
AGAP007181	7165:001948	7227:00364c__FBgn0266696/Svil	NoParalogs	-	-	-	-	-	-	-
AGAP007182	7165:001949	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007184	7165:00194a	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007185	7165:00194b	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007186	7165:00194c	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007187	7165:00194d	NO ortholog	-	-	-	['7165:00194d', '7165:00194e', '7165:00194f', '7165:001950']	NULL	-	-	-
AGAP007188	7165:00194e	NO ortholog	-	-	-	['7165:00194d', '7165:00194e', '7165:00194f', '7165:001950']	-	-	-	-
AGAP007189	7165:00194f	NO ortholog	-	-	-	['7165:00194d', '7165:00194e', '7165:00194f', '7165:001950']	-	-	-	-
AGAP007190	7165:001950	NO ortholog	-	-	-	['7165:00194d', '7165:00194e', '7165:00194f', '7165:001950']	-	-	-	-
AGAP007191	7165:001951	NO ortholog	-	-	-	['7165:001951', '7165:001952']	NULL	-	-	-
AGAP007192	7165:001952	NO ortholog	-	-	-	['7165:001951', '7165:001952']	-	-	-	-
AGAP007193	7165:001953	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007194	7165:001954	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007195	7165:001955	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007196	7165:001956	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007197	7165:001957	7227:002012__FBgn0037782/Npc2d	NoParalogs	-	-	-	-	-	-	-
AGAP007198	7165:001958	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007199	7165:001959	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007200	7165:00195a	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007201	7165:00195b	7227:0019a3__FBgn0035334/CG8993	NoParalogs	-	-	-	-	-	-	-
AGAP007202	7165:00195c	7227:0019a6__FBgn0035337/CG15877	NoParalogs	-	-	-	-	-	-	-
AGAP007203	7165:00195d	7227:000255__FBgn0003391/shg	NoParalogs	-	-	-	-	-	-	-
AGAP007204	7165:00195e	7227:0019a2__FBgn0035333/CG1317	NoParalogs	-	-	-	-	-	-	-
AGAP007205	7165:00195f	7227:000e34__FBgn0030793/Rai1	NoParalogs	-	-	-	-	-	-	-
AGAP007206	7165:001960	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007207	7165:001961	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007208	7165:001962	7227:0017bb__FBgn0034576/ND-B14.7	NoParalogs	-	-	-	-	-	-	-
AGAP028464	-	-	-	-	-	-	-	-	-	-
AGAP007209	7165:001963	7227:000b3d__FBgn0029508/Tsp42Ea	NoParalogs	-	-	-	-	-	-	-
AGAP007210	7165:001964	7227:0006df__FBgn0020372/TM4SF	NoParalogs	-	-	-	-	-	-	-
AGAP007211	7165:001965	7227:001717__FBgn0034351/rswl	NoParalogs	-	-	-	-	-	-	-
AGAP007212	7165:001966	7227:002fc3__FBgn0086895/pea	NoParalogs	-	-	-	-	-	-	-
AGAP007213	7165:001967	7227:001716__FBgn0034350/CG5189	NoParalogs	-	-	-	-	-	-	-
AGAP007214	7165:001968	7227:001718__FBgn0034352/CG17669	NoParalogs	-	-	-	-	-	-	-
AGAP007215	7165:001969	7227:001c05__FBgn0036298/nst	NoParalogs	-	-	-	-	-	-	-
AGAP007216	7165:00196a	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007217	7165:00196b	7227:0031c6__FBgn0261119/Prp19	NoParalogs	-	-	-	-	-	-	-
AGAP007218	7165:00196c	7227:00039a__FBgn0004926/eIF2beta	NoParalogs	-	-	-	-	-	-	-
AGAP007219	7165:00196d	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007220	7165:00196e	7227:000e3c__FBgn0030801/Rcp	NoParalogs	-	-	-	-	-	-	-
AGAP029058	-	-	-	-	-	-	-	-	-	-
AGAP007221	7165:00196f	7227:001963__FBgn0035235/CG7879	NoParalogs	-	-	-	-	-	-	-
AGAP007223	7165:001970	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007224	7165:001971	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007225	7165:001972	NO ortholog	-	-	-	['7165:001976', '7165:001972', '7165:00197b']	-	-	-	-
AGAP007226	7165:001973	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007227	7165:001974	NO ortholog	-	-	-	['7165:001974', '7165:00197d']	NULL	-	-	-
AGAP007228	7165:001975	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007229	7165:001976	NO ortholog	-	-	-	['7165:001976', '7165:001972', '7165:00197b']	NULL	-	-	-
AGAP007230	7165:001977	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007231	7165:001978	NO ortholog	-	-	-	['7165:001978', '7165:00197c']	NULL	-	-	-
AGAP007232	7165:001979	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007233	7165:00197a	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007234	7165:00197b	NO ortholog	-	-	-	['7165:001976', '7165:001972', '7165:00197b']	-	-	-	-
AGAP007235	7165:00197c	NO ortholog	-	-	-	['7165:001978', '7165:00197c']	-	-	-	-
AGAP007236	7165:00197d	NO ortholog	-	-	-	['7165:001974', '7165:00197d']	-	-	-	-
AGAP007237	7165:00197e	7227:000509__FBgn0011828/Pxn	NoParalogs	-	-	-	-	-	-	-
AGAP007238	7165:00197f	7227:0019ac__FBgn0035356/CG16986	NoParalogs	-	-	-	-	-	-	-
AGAP007239	7165:001980	7227:000a53__FBgn0028504/CG12182	NoParalogs	-	-	-	-	-	-	-
AGAP007240	7165:001981	7227:002df1__FBgn0062517/CG16984	NoParalogs	-	-	-	-	-	-	-
AGAP007241	7165:001982	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007242	7165:001983	7227:001b41__FBgn0035987/Cpsf5	NoParalogs	-	-	-	-	-	-	-
AGAP007243	7165:001984	7227:0006dc__FBgn0020369/Rpt6	NoParalogs	-	-	-	-	-	-	-
AGAP007244	7165:001985	7227:001222__FBgn0032298/CG6724	NoParalogs	-	-	-	-	-	-	-
AGAP007245	7165:001986	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007246	7165:001987	7227:0032bb__FBgn0261933/SmD1	NoParalogs	-	-	-	-	-	-	-
AGAP007247	7165:001988	7227:000520__FBgn0013303/Nca	NoParalogs	-	-	-	-	-	-	-
AGAP007248	7165:001989	7227:001dc4__FBgn0036926/CG7646	NoParalogs	-	-	-	-	-	-	-
AGAP007249	7165:00198a	7227:0003bd__FBgn0005633/fln	NoParalogs	-	-	-	-	-	-	-
AGAP007250	7165:00198b	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007251	7165:00198c	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007252	7165:00198d	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007253	7165:00198e	7227:0019c2__FBgn0035400/CG11537	NoParalogs	-	-	-	-	-	-	-
AGAP007254	7165:00198f	7227:001179__FBgn0032050/CG13096	NoParalogs	-	-	-	-	-	-	-
AGAP007255	7165:001990	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007256	7165:001991	7227:0009d5__FBgn0027594/drpr	NoParalogs	-	-	-	-	-	-	-
AGAP007257	7165:001992	7227:001bc0__FBgn0036193/CG14135	NoParalogs	-	-	-	-	-	-	-
AGAP007258	7165:001993	7227:00081b__FBgn0024957/Irp-1B	NoParalogs	-	-	-	-	-	-	-
AGAP007259	7165:001994	7227:001eca__FBgn0037313/CG1161	NoParalogs	-	-	-	-	-	-	-
AGAP007262	7165:001995	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007263	7165:001996	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007264	7165:001997	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007265	7165:001998	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007266	7165:001999	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007269	7165:00199a	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007270	7165:00199b	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007271	7165:00199c	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007272	7165:00199d	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007273	7165:00199e	7227:0016f5__FBgn0034291/CG5770	NoParalogs	-	-	-	-	-	-	-
AGAP007274	7165:00199f	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007275	7165:0019a0	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP028465	-	-	-	-	-	-	-	-	-	-
AGAP007276	7165:0019a1	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007279	7165:0019a3	7227:0008ce__FBgn0026160/tna	NoParalogs	-	-	-	-	-	-	-
AGAP007280	7165:0019a4	7227:0001cd__FBgn0002926/ndl	NoParalogs	-	-	-	-	-	-	-
AGAP007281	7165:0019a5	7227:0022e3__FBgn0038859/Obp93a	NoParalogs	-	-	-	-	-	-	-
AGAP007282	7165:0019a6	NO ortholog	-	-	-	['7165:0019a6', '7165:002d6b']	NULL	-	-	-
AGAP007283	7165:0019a7	7227:001836__FBgn0034769/Obp58c	NoParalogs	-	-	-	-	-	-	-
AGAP007284	7165:0019a8	7227:001cb8__FBgn0036560/CG5895	NoParalogs	-	-	-	-	-	-	-
AGAP007285	7165:0019a9	7227:001bb0__FBgn0036169/NoSymb	NoParalogs	-	-	-	-	-	-	-
AGAP007286	7165:0019aa	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007287	7165:0019ab	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007288	7165:0019ac	7227:000bd8__FBgn0029839/CG4660	NoParalogs	-	-	-	-	-	-	-
AGAP007289	7165:0019ad	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007290	7165:0019ae	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007291	7165:0019af	NO ortholog	-	-	-	['7165:0019af', '7165:002d7d']	NULL	-	-	-
AGAP007292	7165:0019b0	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007293	7165:0019b1	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007294	7165:0019b2	7227:00313f__FBgn0260635/Diap1	NoParalogs	-	-	-	-	-	-	-
AGAP007295	7165:0019b3	7227:001bea__FBgn0036254/CG5645	NoParalogs	-	-	-	-	-	-	-
AGAP007296	7165:0019b4	7227:001beb__FBgn0036255/Atg12	NoParalogs	-	-	-	-	-	-	-
AGAP007297	7165:0019b5	7227:0004af__FBgn0011455/ND-SGDH	NoParalogs	-	-	-	-	-	-	-
AGAP007298	7165:0019b6	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007299	7165:0019b7	7227:0008df__FBgn0026252/msk	NoParalogs	-	-	-	-	-	-	-
AGAP007300	7165:0019b8	7227:001e35__FBgn0037083/NoSymb	NoParalogs	-	-	-	-	-	-	-
AGAP007301	7165:0019b9	7227:0013f4__FBgn0033092/Rpp25	NoParalogs	-	-	-	-	-	-	-
AGAP007302	7165:0019ba	7227:0030e1__FBgn0259977/Tdc1	NoParalogs	-	-	-	-	-	-	-
AGAP007303	7165:0019bb	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007304	7165:0019bc	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007305	7165:0019bd	7227:0028fd__FBgn0050446/Tdc2	NoParalogs	-	-	-	-	-	-	-
AGAP007306	7165:0019be	7227:003075__FBgn0259483/Mob4	NoParalogs	-	-	-	-	-	-	-
AGAP007307	7165:0019bf	7227:002f18__FBgn0085421/Epac	NoParalogs	-	-	-	-	-	-	-
AGAP007308	7165:0019c0	7227:001290__FBgn0032473/kmg	NoParalogs	-	-	-	-	-	-	-
AGAP007309	7165:0019c1	7227:000578__FBgn0014028/SdhB	NoParalogs	-	-	-	-	-	-	-
AGAP007310	7165:0019c2	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007311	7165:0019c3	7227:003560__FBgn0265003/koi	NoParalogs	-	-	-	-	-	-	-
AGAP007312	7165:0019c4	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007313	7165:0019c5	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007314	7165:0019c6	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007315	7165:0019c7	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007316	7165:0019c8	7227:001a97__FBgn0035719/tow	NoParalogs	-	-	-	-	-	-	-
AGAP007317	7165:0019c9	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007318	7165:0019ca	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007319	7165:0019cb	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007320	7165:0019cc	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007321	7165:0019cd	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007322	7165:0019ce	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007323	7165:0019cf	7227:002734__FBgn0041237/Gr58c	NoParalogs	-	-	-	-	-	-	-
AGAP007324	7165:0019d0	7227:0013fb__FBgn0033104/CG15237	NoParalogs	-	-	-	-	-	-	-
AGAP007325	7165:0019d1	7227:003190__FBgn0260944/Rbp1	NoParalogs	-	-	-	-	-	-	-
AGAP007326	7165:0019d2	7227:0014d0__FBgn0033450/Lsm11	NoParalogs	-	-	-	-	-	-	-
AGAP007327	7165:0019d3	7227:0000b9__FBgn0000567/Eip74EF	NoParalogs	-	-	-	-	-	-	-
AGAP007331	7165:0019d4	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007332	7165:0019d5	7227:001afe__FBgn0035879/GAPcenA	NoParalogs	-	-	-	-	-	-	-
AGAP007333	7165:0019d6	7227:00063c__FBgn0015806/NoSymb	NoParalogs	-	-	-	-	-	-	-
AGAP007334	7165:0019d7	7227:001a62__FBgn0035638/Tektin-C	NoParalogs	-	-	-	-	-	-	-
AGAP007335	7165:0019d8	7227:002faf__FBgn0086694/Bre1	NoParalogs	-	-	-	-	-	-	-
AGAP007336	7165:0019d9	7227:00303a__FBgn0259173/corn	NoParalogs	-	-	-	-	-	-	-
AGAP007337	7165:0019da	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007338	7165:0019db	7227:001482__FBgn0033324/CG14744	NoParalogs	-	-	-	-	-	-	-
AGAP007339	7165:0019dc	7227:000445__FBgn0010423/TpnC47D	NoParalogs	-	-	-	-	-	-	-
AGAP028466	-	-	-	-	-	-	-	-	-	-
AGAP007340	7165:0019dd	7227:00351b__FBgn0264574/Glut1	NoParalogs	-	-	-	-	-	-	-
AGAP007341	7165:0019de	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007342	7165:0019df	7227:001924__FBgn0035142/Hipk	NoParalogs	-	-	-	-	-	-	-
AGAP007343	7165:0019e0	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007344	7165:0019e1	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007345	7165:0019e2	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007346	7165:0019e3	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007347	7165:0019e4	7227:001672__FBgn0034092/CG7798	NoParalogs	-	-	-	-	-	-	-
AGAP007348	7165:0019e5	7227:002a18__FBgn0051638/CG31638	NoParalogs	-	-	-	-	-	-	-
AGAP007349	7165:0019e6	7227:000a7c__FBgn0028573/prc	NoParalogs	-	-	-	-	-	-	-
AGAP007353	7165:0019e7	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007354	7165:0019e8	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007355	7165:0019e9	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007356	7165:0019ea	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007357	7165:0019eb	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007358	7165:0019ec	7227:001c00__FBgn0036289/CG10657	NoParalogs	-	-	-	-	-	-	-
AGAP007359	7165:0019ed	7227:001a24__FBgn0035544/CG15021	NoParalogs	-	-	-	-	-	-	-
AGAP007361	7165:0019ee	7227:001ab7__FBgn0035771/Sec63	NoParalogs	-	-	-	-	-	-	-
AGAP007362	7165:0019ef	7227:001ab8__FBgn0035772/Sh3beta	NoParalogs	-	-	-	-	-	-	-
AGAP007363	7165:0019f0	7227:0017a7__FBgn0034543/galla-1	NoParalogs	-	-	-	-	-	-	-
AGAP007364	7165:0019f1	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007365	7165:0019f2	7227:0000c7__FBgn0000615/exu	NoParalogs	-	-	-	-	-	-	-
AGAP007366	7165:0019f3	7227:0018d8__FBgn0035020/CG13585	NoParalogs	-	-	-	-	-	-	-
AGAP007367	7165:0019f4	7227:00168f__FBgn0034136/DAT	NoParalogs	-	-	-	-	-	-	-
AGAP007368	7165:0019f5	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007369	7165:0019f6	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007370	7165:0019f7	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007371	7165:0019f8	7227:000bd5__FBgn0029836/CG5928	NoParalogs	-	-	-	-	-	-	-
AGAP007372	7165:0019f9	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007373	7165:0019fa	7227:000bd6__FBgn0029837/Tsp5D	NoParalogs	-	-	-	-	-	-	-
AGAP007374	7165:0019fb	7227:0017cb__FBgn0034605/Ugt49C1	NoParalogs	-	-	-	-	-	-	-
AGAP007375	7165:0019fc	7227:0016e3__FBgn0034269/Hyccin	NoParalogs	-	-	-	-	-	-	-
AGAP013291	7165:002fd1	7227:003179__FBgn0260859/Bet3	NoParalogs	-	-	-	-	-	-	-
AGAP007376	7165:0019fd	7227:001b44__FBgn0035993/Nf-YA	NoParalogs	-	-	-	-	-	-	-
AGAP007377	7165:0019fe	7227:00262c__FBgn0040305/MTF-1	NoParalogs	-	-	-	-	-	-	-
AGAP007378	7165:0019ff	7227:002595__FBgn0039859/CG11539	NoParalogs	-	-	-	-	-	-	-
AGAP013544	7165:0030cd	7227:000e0d__FBgn0030737/NoSymb	NoParalogs	-	-	-	-	-	-	-
AGAP007379	7165:001a00	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007380	7165:001a01	7227:0009f2__FBgn0027785/NP15.6	NoParalogs	-	-	-	-	-	-	-
AGAP007381	7165:001a02	7227:001dbd__FBgn0036919/Grasp65	NoParalogs	-	-	-	-	-	-	-
AGAP007382	7165:001a03	7227:0017a6__FBgn0034542/Fem-1	NoParalogs	-	-	-	-	-	-	-
AGAP007383	7165:001a04	7227:0017a5__FBgn0034541/CG13437	NoParalogs	-	-	-	-	-	-	-
AGAP007384	7165:001a05	7227:0017a4__FBgn0034540/Lrt	NoParalogs	-	-	-	-	-	-	-
AGAP007385	7165:001a06	7227:0017a3__FBgn0034539/CG11159	NoParalogs	-	-	-	-	-	-	-
AGAP007386	7165:001a07	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007387	7165:001a08	7227:0017a1__FBgn0034537/DMAP1	NoParalogs	-	-	-	-	-	-	-
AGAP007388	7165:001a09	7227:001555__FBgn0033661/CG13185	NoParalogs	-	-	-	-	-	-	-
AGAP007389	7165:001a0a	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007390	7165:001a0b	7227:0013d9__FBgn0033050/Pngl	NoParalogs	-	-	-	-	-	-	-
AGAP007391	7165:001a0c	7227:0013ef__FBgn0033086/CG9410	NoParalogs	-	-	-	-	-	-	-
AGAP007392	7165:001a0d	7227:0013f2__FBgn0033089/CG17266	NoParalogs	-	-	-	-	-	-	-
AGAP007393	7165:001a0e	7227:001556__FBgn0033663/ERp60	NoParalogs	-	-	-	-	-	-	-
AGAP007394	7165:001a0f	7227:0010f3__FBgn0031851/Aatf	NoParalogs	-	-	-	-	-	-	-
AGAP007395	7165:001a10	7227:001915__FBgn0035111/Dis3l2	NoParalogs	-	-	-	-	-	-	-
AGAP007396	7165:001a11	7227:000a80__FBgn0028582/lqf	NoParalogs	-	-	-	-	-	-	-
AGAP007397	7165:001a12	7227:002de4__FBgn0061361/CG33786	NoParalogs	-	-	-	-	-	-	-
AGAP007398	7165:001a13	7227:0017a0__FBgn0034535/CG11110	NoParalogs	-	-	-	-	-	-	-
AGAP007399	7165:001a14	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007400	7165:001a15	7227:001d9e__FBgn0036875/CG9449	NoParalogs	-	-	-	-	-	-	-
AGAP007401	7165:001a16	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007402	7165:001a17	7227:000dd0__FBgn0030657/cerv	NoParalogs	-	-	-	-	-	-	-
AGAP007403	7165:001a18	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007405	7165:001a19	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007406	7165:001a1a	7227:0000b1__FBgn0000556/NoSymb	NoParalogs	-	-	-	-	-	-	-
AGAP007407	7165:001a1b	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007408	7165:001a1c	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007409	7165:001a1d	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007410	7165:001a1e	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007411	7165:001a1f	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007412	7165:001a20	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007413	7165:001a21	7227:003195__FBgn0260959/MCPH1	NoParalogs	-	-	-	-	-	-	-
AGAP007414	7165:001a22	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007415	7165:001a23	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007416	7165:001a24	7227:001559__FBgn0033668/exp	NoParalogs	-	-	-	-	-	-	-
AGAP007417	7165:001a25	7227:001a81__FBgn0035689/CG7376	NoParalogs	-	-	-	-	-	-	-
AGAP007418	7165:001a26	7227:00155a__FBgn0033669/PI31	NoParalogs	-	-	-	-	-	-	-
AGAP007419	7165:001a27	7227:00168a__FBgn0034129/Parp16	NoParalogs	-	-	-	-	-	-	-
AGAP007420	7165:001a28	7227:0006b6__FBgn0019948/NoSymb	NoParalogs	-	-	-	-	-	-	-
AGAP007421	7165:001a29	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007422	7165:001a2a	7227:0018af__FBgn0034962/MAN1	NoParalogs	-	-	-	-	-	-	-
AGAP007423	7165:001a2b	7227:0015f1__FBgn0033890/Ctf4	NoParalogs	-	-	-	-	-	-	-
AGAP007439	7165:001a2c	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007440	7165:001a2d	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007442	7165:001a2e	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007443	7165:001a2f	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007445	7165:001a30	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007446	7165:001a31	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007450	7165:001a32	7227:0009f4__FBgn0027788/Hey	NoParalogs	-	-	-	-	-	-	-
AGAP007451	7165:001a33	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007452	7165:001a34	7227:00322a__FBgn0261547/Exn	NoParalogs	-	-	-	-	-	-	-
AGAP007453	7165:001a35	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007454	7165:001a36	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007455	7165:001a37	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007456	7165:001a38	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007457	7165:001a39	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007458	7165:001a3a	7227:001ef8__FBgn0037384/dgrn	NoParalogs	-	-	-	-	-	-	-
AGAP007459	7165:001a3b	7227:001aa5__FBgn0035741/BBS1	NoParalogs	-	-	-	-	-	-	-
AGAP007460	7165:001a3c	7227:00042f__FBgn0010387/Acbp2	NoParalogs	-	-	-	-	-	-	-
AGAP007461	7165:001a3d	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007462	7165:001a3e	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007463	7165:001a3f	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007464	7165:001a40	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007465	7165:001a41	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007466	7165:001a42	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP007467	7165:001a43	NO ortholog	-	-	-	['7165:001a43', '7165:001a44']	NULL	-	-	-
AGAP007468	7165:001a44	NO ortholog	-	-	-	['7165:001a43', '7165:001a44']	-	-	-	-
AGAP007469	7165:001a45	NO ortholog	-	-	-	NoParalogs	-	-	-	-
